directory,path,results_present,stage_state_present,stage,verdict,next_stage,B2C2B_authorization,state_status,state_next_stage
Bianchi_Reionization_Stage_P0_1_PUBLIC_WORKAROUND_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_1_PUBLIC_WORKAROUND_LOCK,False,False,,,,,,
Bianchi_Reionization_Stage_P0_2_ZENODO_ASSET_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_2_ZENODO_ASSET_LOCK,False,False,,,,,,
Bianchi_Reionization_Stage_P0_3_GLOBAL_OPACITY_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_3_GLOBAL_OPACITY_LOCK,True,False,Bianchi_Reionization_Stage_P0_3_GLOBAL_OPACITY_LOCK,CONDITIONAL_PASS,,,,
Bianchi_Reionization_Stage_P0_4_PAPER_CODE_CHECKPOINT_REGRESSION,/mnt/data/Bianchi_Reionization_Stage_P0_4_PAPER_CODE_CHECKPOINT_REGRESSION,True,False,P0.4-PAPER-CODE-CHECKPOINT-REGRESSION,CONDITIONAL_PASS,,,,
Bianchi_Reionization_Stage_P0_4_WORK,/mnt/data/Bianchi_Reionization_Stage_P0_4_WORK,False,False,,,,,,
Bianchi_Reionization_Stage_P0_5_AB,/mnt/data/Bianchi_Reionization_Stage_P0_5_AB,True,False,P0.5-A/B,PARTIAL_PASS__P0_5_C_NOT_AUTHORIZED,,,,
Bianchi_Reionization_Stage_P0_5_B1_PHOTON_ALLOCATION_QMASS_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B1_PHOTON_ALLOCATION_QMASS_LOCK,True,False,P0.5-B1-PHOTON-ALLOCATION-AND-QMASS-LOCK,PARTIAL_PASS__P0_5_C_NOT_AUTHORIZED,,,,
Bianchi_Reionization_Stage_P0_5_B2A_MONOLITHIC_RESIDUAL_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2A_MONOLITHIC_RESIDUAL_LOCK,True,True,P0.5-B2A-DURABLE-MONOLITHIC-RESIDUAL-LOCK,DURABLE_PASS_WITH_RECONSTRUCTED_FIXTURE_SCOPE,,,COMPLETED,
Bianchi_Reionization_Stage_P0_5_B2B_PHYSICAL_HISTORY_DT_BRANCH_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2B_PHYSICAL_HISTORY_DT_BRANCH_LOCK,True,False,P0.5-B2B-PHYSICAL-HISTORY-AND-DT-BRANCH-LOCK,DURABLE_PASS__PHYSICAL_HISTORY_AND_DT_BRANCH_LOCK,P0.5-B2C-MAINTENANCE-TOPOLOGY-LOCK,,,
Bianchi_Reionization_Stage_P0_5_B2C0_PHASESPACE_MAINTENANCE_KERNEL_LOCK,/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C0_PHASESPACE_MAINTENANCE_KERNEL_LOCK,True,False,P0.5-B2C0-PHASESPACE-MAINTENANCE-KERNEL-LOCK,PASS,,,,
