node,status,completion_percent,claim_effect
PR45_IMPORT_FIREWALL,PASS,100,SOURCE_GOVERNANCE_ONLY
PR46_AUTHORITY_RED,COMPLETE,100,NONE
PR47_AUTHORITY_GREEN,PASS,100,SOURCE_GOVERNANCE_ONLY
PR48_FRESHNESS_LIVE_RED,COMPLETE,100,NONE
PR49_FRESHNESS_LIVE_GREEN,PASS,100,SOURCE_GOVERNANCE_ONLY
ATTEMPT_REF_SERVER_RULESET,NOT_CREATED,0,NONE
TARGET_HOST_STATIC_PREFLIGHT,NOT_RUN,0,NONE
GLOBAL_ATTEMPT_LEASE,NOT_ACQUIRED,0,NONE
PERSISTENT_LOCAL_LEASE,NOT_CREATED,0,NONE
ONE_NATIVE_WORKER,NOT_RUN,0,NONE
RUNTIME_RESULT_AUDIT,BLOCKED,0,NONE
FIRST_CANONICAL_INTERVAL,NO_PASS,0,NONE
REC_BASS_PROVIDER_REVIEW,NOT_AUTHORIZED,0,NONE
