shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,macro_index,violated_constraints,M_eq_nonnegative,M_eq_mass_cap_slack,M_eq_volume_cap_slack,kappa_eq_G1,kappa_eq_G2a,cycling_eq_slack,m_eq_nonnegative,m_eq_upper_slack,k_eq_G1,k_eq_G2a,shape_cycling_slack
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,0,cycling_eq_slack;m_eq_nonnegative;k_eq_G1;k_eq_G2a;shape_cycling_slack,3.236500981607654e+62,1.9770209647893827e+65,1.1094660828825156e+67,0.0033037989702632475,0.001472914047764706,-2.809665053277996e+49,-0.3419746244136229,0.6346342039256273,-0.34353922424651206,-0.4253873581569889,-0.012260287147102589
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,1,cycling_eq_slack;shape_cycling_slack,5.273242114014177e+64,3.265967534190774e+65,2.120031864360482e+67,0.0028697212780237876,0.0008237217169232901,-1.9235443363927414e+48,0.04677190195038888,0.5138335680050781,0.05776214007439638,0.03891465581647029,-0.0007777712119023047
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,2,cycling_eq_slack;shape_cycling_slack,2.690249340536158e+64,1.8672974199134247e+65,1.1942482179517943e+67,0.0014780404277891484,0.00038730777744256967,-8.934111469682846e+47,0.025330230198360816,0.2903939686096306,0.03185000903088533,0.02003031258261311,-0.000542361397327204
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,3,cycling_eq_slack;shape_cycling_slack,1.3111044980356208e+64,9.32092428095958e+64,5.9438009385071316e+66,0.0007344507209815596,0.00017825885052406856,-4.6708461289969335e+47,0.012325091676040416,0.14480422739504376,0.015900103875766066,0.009359308623364504,-0.0004478190001483955
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,4,cycling_eq_slack;shape_cycling_slack,1.3281533662855586e+63,9.339300897381234e+63,5.963478636708586e+65,7.781653915754619e-05,1.6006406582027535e-05,-5.756610244080226e+46,0.0012055974904941168,0.01455968926252299,0.0016523806472475962,0.0008209413190235672,-8.780705812254331e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,5,cycling_eq_slack;shape_cycling_slack,3.396762805174836e+61,2.429166937663526e+62,1.547930428799671e+64,1.9958045999160304e-06,4.033839371728917e-07,-1.4754379532779315e+45,3.0947763946091717e-05,0.00037825584011759873,4.257448740160526e-05,2.0892997965777293e-05,-2.3180499997603072e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,6,cycling_eq_slack,6.109612758696127e+65,1.8965449252461188e+65,2.411753359609708e+67,0.027661238759833257,0.01441225497577582,-1.3539669405900714e+49,0.5004706747313272,0.6827485691244661,0.4539223059579287,0.5860330752572577,0.06336578476308319
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,7,cycling_eq_slack,4.753860431625375e+65,1.0582373558828737e+66,4.6893401652446065e+67,0.02362986774281314,0.009270134143831186,-1.325960013381349e+49,0.42241356450991113,1.844107768460569,0.45477591762668174,0.43768653382094425,0.017453131170329095
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,8,cycling_eq_slack,2.189628260178149e+65,6.447497934385473e+65,2.6458394683337044e+67,0.011329837782043852,0.0037850630387618284,-6.295767137637906e+48,0.20070908905562307,1.0757601398125347,0.2315277395941128,0.18298967112561904,0.004046953726109054
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,9,cycling_eq_slack,1.0401094360110846e+65,3.2584073162894267e+65,1.3172750976729429e+67,0.005480112433100186,0.0017004482875656952,-3.081321867042227e+48,0.0969862689417628,0.5382857232099173,0.11496425193639245,0.08523362192620472,0.000608212341348266
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,10,cycling_eq_slack;shape_cycling_slack,9.594479116177209e+63,3.3533913225425483e+64,1.322505475640576e+66,0.0005264209638828502,0.0001440733675036649,-3.4574696954550187e+47,0.008753008016748231,0.05498586122573175,0.010937426165980091,0.007248126913294255,-0.00022832052667722154
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,11,cycling_eq_slack;shape_cycling_slack,2.460766867076958e+62,8.733633755086243e+62,3.432989462286518e+64,1.359136170204135e-05,3.615648652779465e-06,-9.001851123302916e+45,0.00022521748596043609,0.0014291878808162888,0.0002840658657757095,0.0001836856705607044,-7.0068007552105595e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,12,cycling_eq_slack;m_eq_nonnegative;k_eq_G1;k_eq_G2a,1.8255550502356792e+65,2.3075801595533268e+64,2.288152346780049e+66,0.010454085218145401,0.006403818625768735,-2.868334222910055e+49,-0.16475265814932397,0.4686523922488989,-0.20617334050832015,-0.17313518295292346,0.014685991433881329
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,13,cycling_eq_slack,1.9226190175315934e+65,2.0163614005014765e+65,4.540514447794668e+66,0.008801264379957287,0.0044189323806416644,-4.241246186119705e+48,0.16147092468114455,0.42066567764129936,0.15063018508494874,0.18621639344804916,0.018216149289512512
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,14,cycling_eq_slack;m_eq_nonnegative;k_eq_G1;k_eq_G2a;shape_cycling_slack,2.256924839270465e+64,1.992679442951675e+65,2.6428560840021093e+66,0.0013197592867206817,0.0007525129444949595,-3.507429496048727e+48,-0.013149074543825717,0.34099926904810063,-0.016757206946815317,-0.004130167453944924,-0.0012928974179444858
