envelope_type,interval_index,substep,z_mid,lane_A,lane_B,mass_TV,mass_symmetric_KL,G1_TV,G1_symmetric_KL,G2a_TV,G2a_symmetric_KL
PROJECTION_DISTORTION,0,1,5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,0,1,5.95,RECOMBINATION_WEIGHTED_AUDITOR,RECOMBINATION_WEIGHTED_AUDITOR,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,0,1,5.95,SCRIPT_SELF_SHIELDING_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,0,2,5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,0,2,5.95,RECOMBINATION_WEIGHTED_AUDITOR,RECOMBINATION_WEIGHTED_AUDITOR,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,0,2,5.95,SCRIPT_SELF_SHIELDING_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,1,1,5.85,LOCAL_NEUTRAL_HAZARD_PRIMARY,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,1,1,5.85,RECOMBINATION_WEIGHTED_AUDITOR,RECOMBINATION_WEIGHTED_AUDITOR,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,1,1,5.85,SCRIPT_SELF_SHIELDING_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,1,2,5.85,LOCAL_NEUTRAL_HAZARD_PRIMARY,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,1,2,5.85,RECOMBINATION_WEIGHTED_AUDITOR,RECOMBINATION_WEIGHTED_AUDITOR,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,1,2,5.85,SCRIPT_SELF_SHIELDING_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.0,0.0,0.0,0.0,0.0,0.0
PROJECTION_DISTORTION,2,1,5.75,LOCAL_NEUTRAL_HAZARD_PRIMARY,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.0,0.0,0.0,0.0,0.0,0.0
