gate,status,value,requirement
full_coarse_history,PASS_DIAGNOSTIC_ONLY,5.0,5 intervals
reaction_limiter,FAIL,0.0535099308622841,<1e-4
energy_limiter,FAIL,0.0032188787719572,<1e-4
sink_volume_filling,FAIL,2769071.146755957,<=1
temporal_dt2_dt,FAIL_NONCONVERGENT,4.503279949306321,approach 1
dt4_first_interval,FAIL_CAPACITY,0.0,success
dt8_first_interval,FAIL_CAPACITY,0.0,success
post_photo_cloud_mass,FAIL_DIVERGENT,246686278.11799628,<=1
photon_partition,PASS,5.229096452132526e-16,<1e-10
H_nuclei,PASS,6.773759710757157e-16,<1e-12
He_nuclei,PASS,6.430784535528947e-16,<1e-12
