interval_index,substep,substeps_per_interval,z_mid,dt_Myr,N_H_sink_global_cMpc3,N_H_cosmic_cMpc3,N_sink_fraction,N_sink_fraction_inherited,N_sink_lock_relative_residual,x_HII_sink_global,T_sink_global_K,kappa_sink_G1_global_cMpc_inv,kappa_sink_G2a_global_cMpc_inv,kappa_sink_G2b_global_cMpc_inv,kappa_sink_G3_global_cMpc_inv,J_sink_G1_global_s_inv_cMpc3,J_sink_G2a_global_s_inv_cMpc3,J_sink_G2b_global_s_inv_cMpc3,J_sink_G3_global_s_inv_cMpc3,J_sink_total_s_inv_cMpc3,sink_rate_inherited_s_inv_cMpc3,sink_rate_vs_group_sum_relative_residual,diffuse_sink_mass_transfer_rate_H_s_inv_cMpc3,sink_recombination_global_s_inv_cMpc3,neutral_stock_turnover_global_s_inv_cMpc3,cycling_capacity_global_s_inv_cMpc3,cycling_capacity_over_J_sink,cloud_density_geometry_auditor_cm3,cloud_radius_geometry_auditor_proper_pc,cloud_neutral_column_geometry_auditor_cm2,inherited_global_sink_volume_filling
0,1,2,5.95,10.117419563765695,5.287538531899683e+65,5.5234380186611335e+66,0.0957291186039482,0.0957291186039482,0.0,0.9924460915359786,14548.268864607982,0.0191211547531404,0.0085371194289087,0.0,0.0,2.0202821952699795e+50,4.648655054551567e+49,0.0,0.0,2.4851477007251363e+50,2.485147700725136e+50,1.67146503429789e-16,7.401578490069115e+47,2.499013438967089e+50,1.2509833679299676e+49,2.624111775760086e+50,1.0559178333723993,0.0025441638682809,11513.14380771508,6.827493148860974e+17,0.0023747136181203
0,2,2,5.95,10.117419563765695,5.346006235809437e+65,5.5234380186611335e+66,0.09678765684973314,0.0967876568497331,4.163336342344337e-17,0.9924541886409322,14545.553199444144,0.0193286341878016,0.0086247927854879,0.0,0.0,2.0422038319672508e+50,4.696395184651105e+49,0.0,0.0,2.5118433504323612e+50,2.5118433504323616e+50,1.6537008512544643e-16,1.8312275418647798e+49,2.527014405730274e+50,1.2634605247738125e+49,2.653360458207655e+50,1.0563399416412391,0.0025440831275734,11512.274378159864,6.81944323481058e+17,0.002401048548108
1,1,2,5.85,10.48924395482891,6.76641943200005e+65,5.5234380186611335e+66,0.12250376322028887,0.1225037632202889,2.7755575615628914e-17,0.9912866590468676,14540.510555521789,0.0273643361923558,0.0122335117049039,0.0,0.0,1.691242714561651e+50,6.479631580844801e+49,0.0,0.0,2.3392058726461313e+50,2.339205872646131e+50,1.7757468615316887e-16,4.291079346321471e+50,2.410742545123509e+50,1.7811293907087252e+49,2.5888554841943817e+50,1.1067240872073583,0.0019214873718398,13251.203864874264,6.845861736892237e+17,0.0038524894602896
1,2,2,5.85,10.48924395482891,6.714036018719884e+65,5.5234380186611335e+66,0.12155537902364927,0.1215553790236492,6.938893903907228e-17,0.9908774625063912,14575.47476442353,0.0274466300035743,0.0125573759577451,0.0,0.0,1.6963288532385912e+50,6.651170309154143e+49,0.0,0.0,2.3614458841540053e+50,2.3614458841540053e+50,0.0,-1.5825070016188546e+49,2.3861341513922515e+50,1.85033843697446e+49,2.571167995089698e+50,1.0888108901173597,0.0019222720607911,13263.107173361564,7.176725492846196e+17,0.003821104296321
2,1,2,5.75,10.880437330974283,1.195703057371628e+66,5.5234380186611335e+66,0.21647804380748048,0.2164780438074805,2.7755575615628914e-17,0.988973385277363,14380.530572471063,0.0572746575343948,0.0262327144025159,0.0,0.0,1.8693321414003927e+50,8.838279021543827e+49,0.0,0.0,2.753160043554775e+50,2.753160043554776e+50,3.0175052820137433e-16,1.5269650181636996e+51,2.979693950017201e+50,3.8398585027246947e+49,3.363679800289671e+50,1.2217523671259647,0.0013374656794046,15805.477954971604,7.19255224732179e+17,0.0093583735403534
2,2,2,5.75,10.880437330974283,1.1375815617910117e+66,5.5234380186611335e+66,0.2059553412109725,0.2059553412109725,0.0,0.987436942171034,14294.049963317244,0.0563116437431057,0.0274649084604383,0.0,0.0,1.8379012658584919e+50,9.253427630471676e+49,0.0,0.0,2.7632440289056595e+50,2.7632440289056595e+50,0.0,-1.692725209305849e+50,2.8378591108126317e+50,4.1622444628798584e+49,3.2540835571006177e+50,1.1776316253868275,0.0013360949179031,15760.104747377449,8.162859394264558e+17,0.008912610247436
3,1,2,5.65,11.292312457807522,5.4077176455771e+65,5.5234380186611335e+66,0.09790492130638438,0.0979049213063844,1.3877787807814457e-17,0.9873659547025988,14235.240136797858,0.0239162595722885,0.0123261847450832,0.0,0.0,1.1747632598920327e+50,4.879711221373274e+49,0.0,0.0,1.66273438202936e+50,1.6627343820293599e+50,1.2490983321575758e-16,-1.6747465440460827e+51,1.676919974504598e+50,1.9172095499764197e+49,1.86864092950224e+50,1.123836103768764,0.001655193225141,14119.833658038382,9.111109273916282e+17,0.0032702323305514
3,2,2,5.65,11.292312457807522,6.188524406046253e+65,5.5234380186611335e+66,0.11204116684460115,0.1120411668446011,5.551115123125783e-17,0.987702174079066,14223.936264034564,0.0272426714041124,0.0138488108257305,0.0,0.0,1.3381561347471235e+50,5.482491053523208e+49,0.0,0.0,1.886405240099444e+50,1.8864052400994438e+50,2.2019857655870848e-16,2.191072314371457e+50,1.921407097116901e+50,2.1356427002196078e+49,2.134971367138862e+50,1.1317670889348856,0.0016549697119041,14116.327797932994,8.865243546993503e+17,0.0037429183927209
4,1,2,5.55,11.726292089942335,6.859678396727041e+65,5.5234380186611335e+66,0.12419218561974212,0.1241921856197421,1.3877787807814457e-17,0.9921932115120534,14613.51230556574,0.0245827311255435,0.0104266781188415,0.0,0.0,1.8162970293028783e+50,6.577519258111949e+49,0.0,0.0,2.474048955114073e+50,2.474048955114073e+50,0.0,1.8136667951218842e+50,2.4277546016102588e+50,1.4471431499736866e+49,2.5724689166076274e+50,1.0397809272488776,0.0019134994931911,13315.242695044695,6.137625654556155e+17,0.0034288435352375
4,2,2,5.55,11.726292089942335,7.123058011280247e+65,5.5234380186611335e+66,0.12896058554861556,0.1289605855486155,5.551115123125783e-17,0.9926607381059988,14765.054073920026,0.0249398023346488,0.0103043488882853,0.0,0.0,1.8426792637680155e+50,6.50034963029355e+49,0.0,0.0,2.4927142267973704e+50,2.492714226797371e+50,1.6663913745799477e-16,7.117336230730105e+49,2.5053693239192958e+50,1.4127138136222597e+49,2.646640705281522e+50,1.0617505515992964,0.0019168583675915,13373.881683457948,5.805644411412612e+17,0.0035542561259415
