item,status,evidence
R2B node lift,PASS,540/540 macro cases
nested macro/global moments,PASS,max global residual 7.160e-14
row cycling capacity,PASS,max relative overshoot 1.213e-15
KKT,PASS,stationarity 1.776e-15
exact zeros,PASS,150/150
finite relaxation inheritance,PASS_BYTE_EXACT,R2A CSV unchanged
temporal realizability,OPEN_BLOCKER,max TV G1/G2a 0.895/0.919
R2C audit,AUTHORIZED,P0.5-B2C2B0C-R2C-MOMENT-CONSTRAINED-NODE-CHEMISTRY-RELAXATION-AUDIT
production node chemistry,NOT_AUTHORIZED,requires R2C convergence
B2C2B,NOT_AUTHORIZED,later full-physics gate
