shape_lane,interval_index,substep,z_mid,macro_count,mass_relative_residual_max,ionization_absolute_residual_max,temperature_relative_residual_max,J_relative_residual_max,kappa_relative_residual_max,capacity_violation_max,transfer_relative_residual_max,KKT_stationarity_max,KKT_complementarity_max
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,18,2.165260153908721e-16,3.3306690738754696e-16,5.001253195068363e-16,4.240070275179888e-15,9.974659986866641e-18,3.2451855365842673e+32,2.683301886376102e-16,8.881784197001252e-16,4.9530364550902046e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,18,2.141454539044297e-16,4.440892098500626e-16,3.7516401994570456e-16,6.115178469229728e-15,1.3010426069826053e-17,3.2451855365842673e+32,2.132822745329944e-16,8.881784197001252e-16,5.435582836385603e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,18,3.4538038868027543e-16,4.440892098500626e-16,6.254902111587449e-16,4.898740201620804e-15,2.3418766925686896e-17,1.6225927682921336e+32,3.258470634155724e-16,8.881784197001252e-16,4.583125108913171e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,18,2.0974247318470337e-16,3.3306690738754696e-16,3.7439385672411724e-16,5.242246422510842e-15,3.0357660829594124e-17,3.2451855365842673e+32,2.469873154721498e-16,8.881784197001252e-16,4.360408704408337e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,18,2.067070501089268e-16,3.3306690738754696e-16,6.324486410216269e-16,9.924499907646521e-15,1.1622647289044608e-16,1.6225927682921336e+32,2.7089322576249314e-16,6.661338147750939e-16,3.425343961965905e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,18,2.182384338548736e-16,3.3306690738754696e-16,3.8176501583818177e-16,4.352401713312487e-15,3.469446951953614e-17,4.867778304876401e+32,1.920870813554571e-16,8.881784197001252e-16,3.834595215798792e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,18,1.8521036368096078e-16,3.3306690738754696e-16,3.833421957197194e-16,4.591735866721973e-15,1.5178830414797062e-17,1.6225927682921336e+32,3.1261644493076043e-16,8.881784197001252e-16,3.942230174359297e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,18,2.995585639403668e-16,5.551115123125783e-16,3.836468407437676e-16,3.466647330798264e-14,1.9949319973733282e-16,1.6225927682921336e+32,2.200769117710275e-16,8.881784197001252e-16,3.883609001809658e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,5.55,18,3.620129469000681e-16,3.3306690738754696e-16,8.713118077692726e-16,1.0814976200020989e-14,1.3877787807814457e-17,1.6225927682921336e+32,2.5566020420268587e-16,8.881784197001252e-16,6.562142349641958e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,5.55,18,2.1647942493699245e-16,3.3306690738754696e-16,6.159779010761613e-16,5.59092430986002e-15,1.9081958235744878e-17,1.6225927682921336e+32,2.1671357848841697e-16,8.881784197001252e-16,5.016682963995551e-18
RECOMBINATION_WEIGHTED_AUDITOR,0,1,5.95,18,2.451288716514582e-16,4.440892098500626e-16,3.7509398963012725e-16,9.68926671998576e-15,2.0816681711721685e-17,3.2451855365842673e+32,2.796274271987031e-16,8.881784197001252e-16,1.2041400931163954e-17
RECOMBINATION_WEIGHTED_AUDITOR,0,2,5.95,18,3.5965141543350996e-16,4.440892098500626e-16,5.002186932609394e-16,8.433999175136002e-15,3.3393426912553537e-17,6.490371073168535e+32,2.737189659182303e-16,8.881784197001252e-16,1.0737732113131574e-17
RECOMBINATION_WEIGHTED_AUDITOR,1,1,5.85,18,3.1545143770161344e-16,4.440892098500626e-16,3.7529412669524693e-16,1.8693864506510077e-14,1.6479873021779667e-17,3.2451855365842673e+32,2.9156439354921843e-16,8.881784197001252e-16,7.958459384264436e-18
RECOMBINATION_WEIGHTED_AUDITOR,1,2,5.85,18,2.8476240011332823e-16,4.440892098500626e-16,4.991918089654896e-16,9.154730486432857e-15,5.2909066017292616e-17,3.2451855365842673e+32,2.159628615402466e-16,8.881784197001252e-16,1.0042980713686675e-17
RECOMBINATION_WEIGHTED_AUDITOR,2,1,5.75,18,2.0670696237066072e-16,1.1102230246251565e-16,3.7946918461297614e-16,1.2621098746227685e-14,2.5153490401663703e-17,3.2451855365842673e+32,2.47722184113537e-16,8.881784197001252e-16,7.333208498993884e-18
RECOMBINATION_WEIGHTED_AUDITOR,2,2,5.75,18,2.0603811414907372e-16,4.440892098500626e-16,5.090200211175757e-16,9.69371731387734e-15,2.2551405187698492e-17,6.490371073168535e+32,3.25662198853152e-16,8.881784197001252e-16,9.465753078545393e-18
RECOMBINATION_WEIGHTED_AUDITOR,3,1,5.65,18,2.1791065510886542e-16,3.3306690738754696e-16,3.833421957197194e-16,1.0207586450383619e-14,2.42861286636753e-17,2.4338891524382005e+32,2.728793906997588e-16,8.881784197001252e-16,8.600049320317301e-18
RECOMBINATION_WEIGHTED_AUDITOR,3,2,5.65,18,3.120923522152722e-16,4.440892098500626e-16,3.836468407437676e-16,5.329086119630383e-15,9.107298248878237e-18,1.6225927682921336e+32,2.5421273199601175e-16,8.881784197001252e-16,8.508238679173596e-18
