shape_lane,interval_index,substep,z_mid,macro_index,mass_relative_residual,ionization_absolute_residual,temperature_relative_residual,J_G1_relative_residual,J_G2a_relative_residual,kappa_G1_relative_residual,kappa_G2a_relative_residual,capacity_violation_max,capacity_slack_min,transfer_relative_residual,kkt_stationarity_max,kkt_complementarity_max,active_capacity_nodes
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,0,0.0,2.220446049250313e-16,1.2503132987670907e-16,3.527799161700024e-15,1.3646784280660775e-16,4.336808689942018e-19,1.0842021724855044e-18,3.2451855365842673e+32,-3.2451855365842673e+32,0.0,8.881784197001252e-16,3.3588390930052447e-18,1408
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,1,1.6838031336487404e-16,2.220446049250313e-16,1.2503132987670907e-16,5.432453845220177e-16,1.310453587583007e-15,5.963111948670274e-19,2.710505431213761e-20,2.028240960365167e+31,-2.028240960365167e+31,0.0,8.881784197001252e-16,3.760787233634262e-18,1416
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,2,1.8182217414354993e-16,3.3306690738754696e-16,2.5006265975341813e-16,1.924465450270232e-15,2.0014816468065195e-15,1.3552527156068805e-19,0.0,1.0141204801825835e+31,-1.0141204801825835e+31,2.2532340143223225e-16,8.881784197001252e-16,3.7242494123541525e-18,1417
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,3,1.8601974812947882e-16,2.220446049250313e-16,1.2503132987670907e-16,1.75451483871953e-15,1.228084174128619e-15,5.421010862427522e-20,6.776263578034403e-21,5.070602400912918e+30,-5.070602400912918e+30,0.0,8.881784197001252e-16,2.8765987764943018e-18,1417
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,4,2.165260153908721e-16,3.3306690738754696e-16,2.5006265975341813e-16,2.3495217804161995e-15,3.879569308513195e-15,6.776263578034403e-21,1.2705494208814505e-21,6.338253001141147e+29,-6.338253001141147e+29,2.683301886376102e-16,8.881784197001252e-16,4.9116898152182385e-18,1416
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,5,1.3307275381518245e-16,1.1102230246251565e-16,0.0,2.195148431230474e-15,3.7630695704145394e-16,5.293955920339377e-23,1.9852334701272664e-23,9.903520314283042e+27,-9.903520314283042e+27,0.0,8.881784197001252e-16,3.6233543654954865e-18,1416
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,6,0.0,1.1102230246251565e-16,1.2503132987670907e-16,1.4704439053247496e-15,1.258014528866654e-16,6.071532165918825e-18,3.686287386450715e-18,1.6225927682921336e+32,-1.6225927682921336e+32,0.0,4.440892098500626e-16,3.462360142166817e-18,1408
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,7,0.0,1.1102230246251565e-16,0.0,3.005236468682084e-15,1.16350031057666e-16,9.974659986866641e-18,8.673617379884035e-19,1.6225927682921336e+32,-1.6225927682921336e+32,1.8567096022958677e-16,4.440892098500626e-16,3.0490099435174015e-18,1414
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,8,1.7077571898191327e-16,0.0,3.7509398963012725e-16,1.3087298701433687e-15,2.7987281794883716e-15,2.6020852139652106e-18,1.5178830414797062e-18,4.056481920730334e+31,-4.056481920730334e+31,0.0,4.440892098500626e-16,3.4707987925599374e-18,1414
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,9,1.8497490654546478e-16,1.1102230246251565e-16,3.7509398963012725e-16,4.000224478312866e-16,1.0389884689643227e-15,0.0,1.8973538018496328e-19,4.056481920730334e+31,-4.056481920730334e+31,1.1461521488992698e-16,4.440892098500626e-16,4.590059097376665e-18,1414
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10,1.208611961516295e-16,0.0,3.7509398963012725e-16,6.423547771547689e-16,4.240070275179888e-15,1.1519648082658485e-19,5.929230630780102e-20,5.070602400912918e+30,-5.070602400912918e+30,1.4977741821826879e-16,4.440892098500626e-16,4.9530364550902046e-18,1414
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,11,0.0,1.1102230246251565e-16,0.0,1.2538070104548324e-15,4.876548604712691e-16,1.6940658945086007e-21,6.352747104407253e-22,7.922816251426434e+28,-7.922816251426434e+28,1.8344629871459008e-16,4.440892098500626e-16,3.033063116908434e-18,1414
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,12,1.931771943832365e-16,1.1102230246251565e-16,5.001253195068363e-16,1.7403132150715247e-15,2.3522997985876345e-15,6.071532165918825e-18,0.0,1.6225927682921336e+32,-1.6225927682921336e+32,0.0,4.440892098500626e-16,2.21334538960325e-18,1394
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,13,1.7108064045889061e-16,0.0,2.5006265975341813e-16,1.396791718711585e-15,6.384244555955806e-16,6.505213034913027e-19,1.734723475976807e-18,8.112963841460668e+31,-8.112963841460668e+31,2.120119397371616e-16,4.440892098500626e-16,2.2771063655880945e-18,1398
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,14,1.1282151909979752e-16,1.1102230246251565e-16,3.7509398963012725e-16,3.937993028065756e-16,5.673329967611049e-16,8.673617379884035e-19,6.505213034913027e-19,2.028240960365167e+31,-2.028240960365167e+31,1.398142363991732e-16,4.440892098500626e-16,3.346358914635589e-18,1399
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,15,1.8800822309621064e-16,1.1102230246251565e-16,2.5006265975341813e-16,3.903299480718669e-15,1.9650602366524668e-15,6.505213034913027e-19,1.8973538018496328e-19,2.028240960365167e+31,-2.028240960365167e+31,1.1649473592759517e-16,4.440892098500626e-16,4.3427579093438184e-18,1399
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,16,1.1733617756360193e-16,1.1102230246251565e-16,2.5006265975341813e-16,9.372385671024418e-16,1.7730014350337786e-15,6.776263578034403e-21,1.1858461261560205e-20,2.535301200456459e+30,-2.535301200456459e+30,1.4540903365732335e-16,4.440892098500626e-16,3.720814774739563e-18,1399
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,17,1.3719788225830774e-16,1.1102230246251565e-16,2.5006265975341813e-16,9.406398682090553e-16,2.4337494226167525e-15,1.0587911840678754e-22,4.764560328305439e-22,3.961408125713217e+28,-3.961408125713217e+28,1.700226809262888e-16,4.440892098500626e-16,2.6376300576153288e-18,1399
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,0,1.2122560105817851e-16,4.440892098500626e-16,2.501093466304697e-16,2.47203424098814e-15,1.3508061019226487e-15,6.071532165918825e-18,6.505213034913027e-19,3.2451855365842673e+32,-3.2451855365842673e+32,1.9645438621278637e-16,4.440892098500626e-16,2.4813320272492677e-18,1408
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,1,0.0,2.220446049250313e-16,0.0,3.582760156235068e-16,1.6214155895522088e-16,6.505213034913027e-19,4.0657581468206416e-20,2.028240960365167e+31,-2.028240960365167e+31,1.3493866005378634e-16,8.881784197001252e-16,4.45290562276304e-18,1416
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,2,1.79825391699392e-16,1.1102230246251565e-16,2.501093466304697e-16,1.5230461225206519e-15,1.9811360433269265e-16,1.3552527156068805e-19,3.3881317890172014e-20,1.0141204801825835e+31,-1.0141204801825835e+31,0.0,8.881784197001252e-16,3.2032725053019747e-18,1416
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,3,0.0,2.220446049250313e-16,1.2505467331523485e-16,1.9285348256934144e-15,3.0942554760802227e-15,1.3552527156068805e-20,5.759824041329242e-20,2.535301200456459e+30,-2.535301200456459e+30,1.490727923400168e-16,8.881784197001252e-16,3.769821402070979e-18,1416
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,4,2.141454539044297e-16,1.1102230246251565e-16,3.7516401994570456e-16,8.854481140744407e-16,1.1815792107264138e-15,1.6940658945086007e-21,1.4823076576950256e-21,6.338253001141147e+29,-6.338253001141147e+29,1.7351868474903721e-16,8.881784197001252e-16,3.4024660434953608e-18,1416
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,5,1.3160954267171706e-16,0.0,1.2505467331523485e-16,3.1216534960269836e-15,2.79361271113458e-15,2.6469779601696886e-22,0.0,9.903520314283042e+27,-9.903520314283042e+27,2.132822745329944e-16,8.881784197001252e-16,4.1820086111944754e-18,1416
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,6,2.0630117832636723e-16,1.1102230246251565e-16,2.501093466304697e-16,8.485514995281741e-16,1.1207038231546863e-15,1.3010426069826053e-17,2.8189256484623115e-18,1.6225927682921336e+32,-1.6225927682921336e+32,0.0,4.440892098500626e-16,4.27335142589196e-18,1408
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,7,1.48183512331835e-16,0.0,3.7516401994570456e-16,2.9729773469310606e-15,3.3398517421389736e-15,7.806255641895632e-18,6.505213034913027e-19,1.6225927682921336e+32,-1.6225927682921336e+32,0.0,4.440892098500626e-16,2.4778968612122112e-18,1413
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,8,1.6890312721161668e-16,1.1102230246251565e-16,2.501093466304697e-16,1.4796360753200496e-15,5.832164945042477e-16,2.6020852139652106e-18,7.047314121155779e-19,8.112963841460668e+31,-8.112963841460668e+31,1.368595407906196e-16,4.440892098500626e-16,3.1478894560893155e-18,1414
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,9,1.829454852465414e-16,1.1102230246251565e-16,2.501093466304697e-16,1.9786424264108965e-16,1.1998313477962512e-15,6.505213034913027e-19,2.168404344971009e-19,4.056481920730334e+31,-4.056481920730334e+31,0.0,4.440892098500626e-16,2.905421220805785e-18,1414
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10,1.1953415241412934e-16,1.1102230246251565e-16,0.0,2.923113910318403e-15,6.359043653758641e-16,7.453889935837843e-20,6.776263578034403e-21,5.070602400912918e+30,-5.070602400912918e+30,1.9371327788025142e-16,4.440892098500626e-16,2.9389033070747996e-18,1414
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,11,1.4640426737333363e-16,2.220446049250313e-16,2.501093466304697e-16,1.3953917979981046e-15,5.309674882890624e-15,1.2705494208814505e-21,1.0587911840678754e-22,1.188422437713965e+29,-1.188422437713965e+29,1.1862906941561622e-16,4.440892098500626e-16,5.435582836385603e-18,1414
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,12,1.910673643262032e-16,1.1102230246251565e-16,3.7516401994570456e-16,9.18203820811278e-16,1.4817014758631465e-15,7.806255641895632e-18,8.673617379884035e-19,3.2451855365842673e+32,-3.2451855365842673e+32,1.5481887264879307e-16,4.440892098500626e-16,2.873098611326847e-18,1394
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,13,1.6920985811824596e-16,2.220446049250313e-16,2.501093466304697e-16,2.7635962636454612e-15,1.4745142952104056e-15,6.505213034913027e-19,1.734723475976807e-18,8.112963841460668e+31,-8.112963841460668e+31,1.371080800078656e-16,4.440892098500626e-16,3.2454665594225342e-18,1398
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,14,1.115876772153606e-16,1.1102230246251565e-16,2.501093466304697e-16,1.6881459460138067e-15,0.0,3.7947076036992655e-19,5.149960319306146e-19,2.028240960365167e+31,-2.028240960365167e+31,0.0,4.440892098500626e-16,1.875249041785235e-18,1399
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,15,1.8595136343370873e-16,1.1102230246251565e-16,1.2505467331523485e-16,1.9307001388069433e-15,7.294068250049281e-16,6.505213034913027e-19,1.3552527156068805e-19,1.0141204801825835e+31,-1.0141204801825835e+31,1.5067345779241832e-16,4.440892098500626e-16,2.9365754128623133e-18,1398
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,16,0.0,2.220446049250313e-16,2.501093466304697e-16,3.1788958746256606e-15,1.2763479235205662e-15,2.371692252312041e-20,1.1858461261560205e-20,1.2676506002282294e+30,-1.2676506002282294e+30,0.0,4.440892098500626e-16,3.042731955908482e-18,1398
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,17,0.0,0.0,1.2505467331523485e-16,4.032351933724868e-15,6.115178469229728e-15,1.6940658945086007e-21,1.3234889800848443e-21,3.961408125713217e+28,-3.961408125713217e+28,0.0,4.440892098500626e-16,2.6397523185247875e-18,1398
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,1.345821348716845e-16,1.1102230246251565e-16,2.5019608446349793e-16,1.993162012249695e-15,2.259131942846617e-15,6.5052130349130266e-18,6.5052130349130266e-18,8.112963841460668e+31,-8.112963841460668e+31,1.8848639140791826e-16,8.881784197001252e-16,2.9006641860745707e-18,1376
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,1,0.0,1.1102230246251565e-16,3.7529412669524693e-16,1.0598067287420179e-15,1.859282714579934e-15,6.505213034913027e-19,2.981555974335137e-19,2.028240960365167e+31,-2.028240960365167e+31,0.0,4.440892098500626e-16,2.034221845814952e-18,1379
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,2,1.1529806876130097e-16,1.1102230246251565e-16,0.0,8.97719796621579e-16,2.114884378511722e-16,4.336808689942018e-19,1.4907779871675686e-19,1.0141204801825835e+31,-1.0141204801825835e+31,0.0,8.881784197001252e-16,4.192514984868496e-18,1380
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,3,1.1809873940931825e-16,1.1102230246251565e-16,1.2509804223174897e-16,1.0875747497959572e-15,8.141152285125343e-16,2.710505431213761e-20,6.098637220230962e-20,5.070602400912918e+30,-5.070602400912918e+30,1.6540089249074553e-16,8.881784197001252e-16,4.294378451325732e-18,1380
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,4,1.4083524760307607e-16,1.1102230246251565e-16,1.2509804223174897e-16,2.3203679029699306e-15,7.942940692152416e-16,3.3881317890172014e-21,2.541098841762901e-21,6.338253001141147e+29,-6.338253001141147e+29,0.0,4.440892098500626e-16,2.560943694863817e-18,1380
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,5,3.4538038868027543e-16,3.3306690738754696e-16,2.5019608446349793e-16,2.0627712558907667e-15,1.9854040752905939e-16,1.164670302474663e-21,2.117582368135751e-22,1.9807040628566084e+28,-1.9807040628566084e+28,1.209289464524351e-16,4.440892098500626e-16,2.940246383600168e-18,1380
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,6,1.4354788843070625e-16,1.1102230246251565e-16,1.2509804223174897e-16,2.6234079165072324e-16,4.810078099268118e-15,7.806255641895632e-18,1.3010426069826053e-17,1.6225927682921336e+32,-1.6225927682921336e+32,2.0104320317349135e-16,4.440892098500626e-16,3.0019717037928136e-18,1376
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,7,1.975276357161079e-16,1.1102230246251565e-16,6.254902111587449e-16,1.335601724560838e-15,1.9817349221177715e-15,1.734723475976807e-18,1.951563910473908e-18,1.6225927682921336e+32,-1.6225927682921336e+32,1.3832174417118835e-16,4.440892098500626e-16,2.2168111520001155e-18,1376
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,8,2.2073296997598803e-16,2.220446049250313e-16,1.2509804223174897e-16,1.2649966823358491e-15,1.6449025544350457e-16,8.673617379884035e-19,1.734723475976807e-18,8.112963841460668e+31,-8.112963841460668e+31,1.545716339512455e-16,4.440892098500626e-16,3.638872636866143e-18,1376
