shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,relaxation_lambda,absolute_state_feasible,shape_only_feasible,absolute_mass_min_cMpc3,absolute_mass_cap_slack_min_cMpc3,absolute_volume_cap_slack_min_cMpc3,absolute_opacity_min_cMpc_inv,absolute_cycling_slack_min_s_inv_cMpc3,shape_mass_simplex_residual,shape_mass_min,shape_mass_upper_slack_min,shape_opacity_simplex_residual_max,shape_opacity_min,shape_cycling_slack_min,blocking_for_R2B_core_gate,definition
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,10.0,0.6364149217279105,True,True,5.3640286157926174e+60,2.62064619419259e+62,4.358673045601639e+63,3.866529890896117e-08,1.4161790392048522e+44,0.0,1.0142071417917203e-05,0.0004956369211407047,3.3306690738754696e-16,4.529080239645162e-06,5.671226595980681e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,100.0,0.09622441459146866,True,True,5.385170615250883e+60,2.619825941270036e+62,4.358591020309384e+63,3.866529890896117e-08,1.5211030400548602e+44,2.220446049250313e-16,1.0142071417917203e-05,0.0004956369211402527,1.4432899320127035e-15,4.5290802396451684e-06,5.671226595980681e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,300.0,0.0331623924176628,True,True,5.4325360471759445e+60,2.6179882894414445e+62,4.358407255126524e+63,3.866529890896117e-08,1.7561692942838584e+44,8.881784197001252e-16,1.0142071417917203e-05,0.00049563692113924,3.9968028886505635e-15,4.529080239645185e-06,5.671226595980647e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,2,5.95,10.0,0.6364149217279105,True,True,5.4563420581395e+60,2.6170817033076903e+62,4.358177610717379e+63,3.928923095905849e-08,1.4488729188213852e+44,0.0,1.0143019946702448e-05,0.0004897854463847105,4.440892098500626e-16,4.529080239645161e-06,5.718020227757662e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,2,5.95,100.0,0.09622441459146866,True,True,5.9822638254831724e+60,2.5967729145241267e+62,4.356146731839023e+63,4.279189888373956e-08,1.6574848575123345e+44,6.661338147750939e-16,1.0148344855642772e-05,0.0004897826633810871,3.3306690738754696e-15,4.529080239645161e-06,5.774269367750344e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,2,5.95,300.0,0.0331623924176628,True,True,7.160511498708141e+60,2.551274164299144e+62,4.3515968568165246e+63,5.06390932548338e-08,2.124848154930182e+44,1.5543122344752192e-15,1.0160274503660118e-05,0.0004897764284850484,9.992007221626409e-15,4.529080239645161e-06,5.900287004654774e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,10.0,0.6496856537667187,True,True,9.797483529861803e+60,2.5141743210094014e+62,3.418501480110437e+63,9.490268000198407e-08,1.987664735690765e+44,2.220446049250313e-16,1.33315130852397e-05,0.00037602035018887873,1.1102230246251565e-16,7.037210974096745e-06,1.0876101193506017e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,0.09957863289317179,False,False,3.396762805174836e+61,1.681917283471618e+62,3.335275776356658e+63,4.033839371728917e-07,-2.868334222910055e+49,4.440892098500626e-16,-0.3419746244136229,0.0003232591172783808,1.9984014443252818e-15,-0.4253873581569889,-0.012260287147102589,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,0.034359962803547535,False,False,-1.8213077291016636e+65,-7.548637817043824e+65,3.1487096394828275e+63,1.09490294935963e-06,-9.913293777898053e+49,1.5543122344752192e-15,-1.33351710295871,0.0002049848467485251,5.995204332975845e-15,-1.6211992281867542,-0.06699057488774351,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,10.0,0.6496856537667187,True,True,8.126006931123443e+60,2.57073760776988e+62,3.425568584920955e+63,7.841103349783479e-08,2.2704517095330493e+44,0.0,1.2154398748038338e-05,0.0003826984118164642,1.1102230246251565e-16,6.158576795589739e-06,1.0584175828858833e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,0.09957863289317179,False,True,7.359336912331766e+60,2.5916613075188567e+62,3.427660954895853e+63,9.537084914511782e-08,-4.1357662291042415e+48,2.220446049250313e-16,1.1822834923954392e-05,0.00038279270003113583,1.1102230246251565e-15,6.158576795589739e-06,6.974072804543269e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,0.034359962803547535,False,False,5.6407012359532794e+60,2.638565733137455e+62,3.4323513974577125e+63,1.333894797447094e-07,-2.3502413222395177e+49,4.440892098500626e-16,1.1079571977575907e-05,0.0003830040648760167,3.552713678800501e-15,6.158576795589739e-06,-3.4701191647444163e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
