shape_lane,interval_index,substep,z_mid,dt_Myr,tau_Myr,node_equilibrium_all_macros_feasible,failed_macro_count,inherited_R2A_absolute_feasible,inherited_R2A_shape_feasible,node_gate_stricter_than_R2A
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.117419563765695,10.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.117419563765695,100.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.117419563765695,300.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.117419563765695,10.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.117419563765695,100.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.117419563765695,300.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.48924395482891,10.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.48924395482891,100.0,False,12,False,False,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.48924395482891,300.0,False,18,False,False,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10.48924395482891,10.0,False,18,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10.48924395482891,100.0,False,18,False,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10.48924395482891,300.0,False,18,False,False,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,10.880437330974283,10.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,10.880437330974283,100.0,False,8,False,False,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,10.880437330974283,300.0,False,18,False,False,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,10.880437330974283,10.0,False,18,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,10.880437330974283,100.0,False,18,False,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,10.880437330974283,300.0,False,18,False,False,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,11.292312457807522,10.0,False,18,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,11.292312457807522,100.0,False,18,False,False,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,11.292312457807522,300.0,False,18,False,False,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,11.292312457807522,10.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,11.292312457807522,100.0,True,0,True,True,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,11.292312457807522,300.0,False,2,False,True,False
