shape_lane,interval_index,substep,z_mid,tau_Myr,quantity,value,exact_zero
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,100.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,100.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,100.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,100.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,100.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,300.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,300.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,300.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,300.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,300.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,100.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,100.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,100.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,100.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,100.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,300.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,300.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,300.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,300.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,300.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,100.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,100.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,100.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,100.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,100.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,300.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,300.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,300.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,300.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,300.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,100.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,100.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,100.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,100.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,100.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,300.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,300.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,300.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,300.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,300.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,10.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,10.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,10.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,10.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,10.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,100.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,100.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,100.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,100.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,100.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,300.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,300.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,300.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,300.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,300.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,10.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,10.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,10.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,10.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,10.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,100.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,100.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,100.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,100.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,100.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,300.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,300.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,300.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,300.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,300.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,10.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,10.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,10.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,10.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,10.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,100.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,100.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,100.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,100.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,100.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,300.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,300.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,300.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,300.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,300.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,10.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,10.0,kappa_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,10.0,J_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,10.0,J_sink_G3_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,10.0,HeII_G3_primary_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,100.0,kappa_sink_G2b_effective_HI,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,100.0,kappa_sink_G3_effective_HI,0,True
