shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,equilibrium_pass,violated_constraints,temperature_min_K,temperature_max_K,minimum_row_capacity_slack,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,0,10.0,True,,3512.6078804614986,79995.70935336091,-3.2451855365842673e+32,9.174578703020635e-211,9.169805547478733e-211,4.773155541901321e-214,3.514291773748204e-208,7.527312387134372e-210,1.944418497429202e-211,0.00742314563609309,0.9932160189239532,-6.8529028217373326e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,1,10.0,True,,3872.8601945293317,70830.64136831774,-4.056481920730334e+31,4.357869688739208e-212,4.3556024685725926e-212,2.2672201666148693e-215,3.514291773748204e-208,7.52731238713445e-210,1.935339855135683e-211,0.01388489169233961,0.9996777649801996,-9.414600385907871e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,2,10.0,True,,3873.1345092542215,70830.64136831777,-2.028240960365167e+31,3.582928750421413e-212,3.5810647001173187e-212,1.8640503040942903e-215,3.514291773748204e-208,7.52731238713448e-210,1.93417702678112e-211,0.013942193338886837,0.9997350666267467,-1.016617130976055e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,3,10.0,True,,3873.134509254224,70830.64136831777,-1.5211807202738753e+31,3.5184113434040135e-212,3.5165808588503284e-212,1.8304845536854934e-215,3.514291773748203e-208,7.527312387134482e-210,1.93430027281122e-211,0.01394696396522783,0.9997398372530877,-1.5601303598342313e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,4,10.0,True,,3873.134509254222,70830.64136831777,-1.901475900342344e+30,3.765832050129677e-212,3.763872842769669e-212,1.9592073600086255e-215,3.514291773748204e-208,7.527312387134511e-210,1.935178163677841e-211,0.013928668875648448,0.9997215421635084,-1.8159835915383678e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,5,10.0,True,,3873.1345092542224,70830.64136831774,-3.961408125713217e+28,3.6886235721941327e-212,3.686704533226185e-212,1.919038967947666e-215,3.5142917737482035e-208,7.52731238713445e-210,1.9351223941357447e-211,0.013934377920937387,0.9997272512087972,-1.4880917779353568e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,6,10.0,True,,3512.966690359761,79995.70935336091,-6.490371073168535e+32,4.837641745845546e-211,4.8351249200319605e-211,2.5168258135855503e-214,3.514291773748205e-208,6.551517713153211e-210,1.8147685603039029e-211,0.022010170128438377,0.9964228907812731,-1.16623484149723e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,7,10.0,True,,3513.6214576281395,75856.46188727299,-4.867778304876401e+32,1.7579237125015203e-211,1.75700913717528e-211,9.145753262401997e-215,3.514291773748204e-208,6.551517713153304e-210,1.8113125178852693e-211,0.02428741353481819,0.9987001341876528,-1.2565690760105644e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,8,10.0,True,,3514.5937842989892,75856.46188727299,-2.4338891524382005e+32,1.3692347061923623e-211,1.3685223497520861e-211,7.123564402762031e-215,3.5142917737482026e-208,6.551517713150674e-210,1.8100099044035448e-211,0.02457482279344722,0.9989875434462819,-1.4322801024370372e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,9,10.0,True,,3514.5937842989897,75856.46188727298,-8.112963841460668e+31,1.2700237727142705e-211,1.2693630316377366e-211,6.607410765337717e-215,3.514291773748203e-208,6.551517713150634e-210,1.8096168045987975e-211,0.024648182575627817,0.9990609032284624,-1.034244913639348e-17
