shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,constraint,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min,clipping_used
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,100.0,NEGATIVE_IONIZED_H,3.945032149933161e-213,-1.8725969347188023e-06,8.728121397098495e-214,-0.02963812993689761,-0.023472647526115508,-0.0313684749451989,0.017819051198719994,0.9999708291526882,-0.00048441991249369284,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,100.0,NEGATIVE_THERMAL_MEASURE,3.945032149933161e-213,-1.8725969347188023e-06,8.728121397098495e-214,-0.02963812993689761,-0.023472647526115508,-0.0313684749451989,0.017819051198719994,0.9999708291526882,-0.00048441991249369284,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,100.0,NEGATIVE_CYCLING_CAPACITY,3.945032149933161e-213,-1.8725969347188023e-06,8.728121397098495e-214,-0.02963812993689761,-0.023472647526115508,-0.0313684749451989,0.017819051198719994,0.9999708291526882,-0.00048441991249369284,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,100.0,NEGATIVE_PHOTON_CURRENT,3.945032149933161e-213,-1.8725969347188023e-06,8.728121397098495e-214,-0.02963812993689761,-0.023472647526115508,-0.0313684749451989,0.017819051198719994,0.9999708291526882,-0.00048441991249369284,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,100.0,CYCLING_CAPACITY_DEFICIT,3.945032149933161e-213,-1.8725969347188023e-06,8.728121397098495e-214,-0.02963812993689761,-0.023472647526115508,-0.0313684749451989,0.017819051198719994,0.9999708291526882,-0.00048441991249369284,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,100.0,NONPOSITIVE_OR_NONFINITE_TEMPERATURE,3.945032149933161e-213,-1.8725969347188023e-06,8.728121397098495e-214,-0.02963812993689761,-0.023472647526115508,-0.0313684749451989,0.017819051198719994,0.9999708291526882,-0.00048441991249369284,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,1,100.0,NEGATIVE_PHOTON_CURRENT,3.355505298548533e-211,3.353073177928931e-211,2.432120619602099e-214,3.521311897280425e-208,8.622111252812941e-210,-0.0033950394506469623,0.015367052590432227,0.9975188305444005,-4.001530468571894e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,6,100.0,NEGATIVE_PHOTON_CURRENT,3.3413156433167326e-210,3.3388465579367734e-210,2.4690853799594532e-213,3.5217963518145866e-208,8.179472154421317e-210,-0.03353086782597992,0.007669471737222978,0.9752932283572898,-5.2610685708569674e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,7,100.0,NEGATIVE_PHOTON_CURRENT,1.3572369042396567e-210,1.3562536121928982e-210,9.832920467583993e-214,3.5213004474240066e-208,7.927380423977654e-210,-0.0074272598233822715,0.02234039348195054,0.9899641501020173,-2.89897792514346e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,8,100.0,NEGATIVE_PHOTON_CURRENT,1.1100156029197814e-210,1.1092179143208836e-210,7.976885988978013e-214,3.5210999653541013e-208,7.838533365593526e-210,-0.00046221396129735655,0.02416842797164058,0.9917921845917074,-4.040958269632304e-17,False
