interval_index,substep,z_mid,q_refinement,dt_refined_Myr,neutral_inventory_H_cMpc3,recombination_rate_s_inv_cMpc3,C_original_s_inv_cMpc3,C_refined_s_inv_cMpc3,C_refined_over_original,C_change_relative_to_original,integrated_budget_original_H_cMpc3,integrated_budget_refined_one_substep_H_cMpc3
0,1,5.95,1,10.117419563765695,3.994158206995617e+63,2.499013438967089e+50,2.624111775760086e+50,2.624111775760086e+50,1.0,0.0,8.378302904673582e+64,8.378302904673582e+64
0,1,5.95,2,5.058709781882848,3.994158206995617e+63,2.499013438967089e+50,2.624111775760086e+50,2.7492101125530826e+50,1.0476726403000731,0.04767264030007315,8.378302904673582e+64,4.388859362686572e+64
0,1,5.95,4,2.529354890941424,3.994158206995617e+63,2.499013438967089e+50,2.624111775760086e+50,2.999406786139076e+50,1.1430179209002194,0.14301792090021945,8.378302904673582e+64,2.3941375916930667e+64
0,1,5.95,8,1.264677445470712,3.994158206995617e+63,2.499013438967089e+50,2.624111775760086e+50,3.499800133311063e+50,1.3337084821005118,0.3337084821005119,8.378302904673582e+64,1.396776706196314e+64
0,2,5.95,1,10.117419563765695,4.033995457981838e+63,2.527014405730274e+50,2.653360458207655e+50,2.653360458207655e+50,1.0,0.0,8.471688530763144e+64,8.471688530763144e+64
0,2,5.95,2,5.058709781882848,4.033995457981838e+63,2.527014405730274e+50,2.653360458207655e+50,2.7797065106850364e+50,1.0476173721842257,0.04761737218422557,8.471688530763144e+64,4.437544038280664e+64
0,2,5.95,4,2.529354890941424,4.033995457981838e+63,2.527014405730274e+50,2.653360458207655e+50,3.032398615639799e+50,1.1428521165526768,0.1428521165526767,8.471688530763144e+64,2.420471792039424e+64
0,2,5.95,8,1.264677445470712,4.033995457981838e+63,2.527014405730274e+50,2.653360458207655e+50,3.5377828255493237e+50,1.333321605289579,0.333321605289579,8.471688530763144e+64,1.4119356689188038e+64
1,1,5.85,1,10.48924395482891,5.895811954291667e+63,2.410742545123509e+50,2.5888554841943817e+50,2.5888554841943817e+50,1.0,0.0,8.569509431076957e+64,8.569509431076957e+64
1,1,5.85,2,5.244621977414455,5.895811954291667e+63,2.410742545123509e+50,2.5888554841943817e+50,2.7669684232652543e+50,1.068799877072435,0.06879987707243498,8.569509431076957e+64,4.579545313253062e+64
1,1,5.85,4,2.6223109887072273,5.895811954291667e+63,2.410742545123509e+50,2.5888554841943817e+50,3.123194301406999e+50,1.2063996312173049,0.20639963121730479,8.569509431076957e+64,2.5845632543411144e+64
1,1,5.85,8,1.3111554943536137,5.895811954291667e+63,2.410742545123509e+50,2.5888554841943817e+50,3.8356460576904895e+50,1.4815991395070447,0.4815991395070447,8.569509431076957e+64,1.5870722248851405e+64
