shape_lane,interval_index,substep,macro_index,endpoint_previous_C,endpoint_previous_I,endpoint_previous_J_G1,endpoint_previous_J_G2a,endpoint_previous_M,endpoint_previous_U,endpoint_target_C,endpoint_target_I,endpoint_target_J_G1,endpoint_target_J_G2a,endpoint_target_M,endpoint_target_U,M_sink_H_cap_cosmic_cMpc3,M_sink_H_cap_volume_cMpc3,prev_cap_cosmic,prev_cap_volume,neutral_previous,neutral_target,previous_state_cone_pass,target_state_cone_pass,previous_mass_caps_pass,target_mass_caps_pass,J_endpoint_nonnegative_pass,convex_state_segment_pass,minimum_endpoint_neutral_slack,minimum_endpoint_cosmic_cap_slack,minimum_endpoint_volume_cap_slack
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,4.732165632481849e+49,9.463198077408007e+64,3.532375821099304e+49,9.511942065891981e+48,9.53522954022476e+64,2.8729025858967924e+53,4.734281549410279e+49,9.467432617699559e+64,3.532375821099313e+49,9.511942065891985e+48,9.539493075182654e+64,2.874161432436065e+53,1.9982867080879831e+65,1.406538245611929e+67,1.9982867080879831e+65,1.406538245611929e+67,7.203146281675371e+62,7.2060457483095085e+62,True,True,True,True,True,True,7.203146281675371e+62,1.0443374005697177e+65,1.3969987525367464e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,4.305688755561037e+48,8.61034644980778e+63,3.584220643979812e+48,4.952766839411192e+47,8.675886222415873e+63,2.613988038586579e+52,4.307613979746749e+48,8.614199360701927e+63,3.5842206439798006e+48,4.952766839411186e+47,8.67976551489058e+63,2.615133434122169e+52,3.8278277477244722e+65,2.6943011245571405e+67,3.8278277477244722e+65,2.6943011245571405e+67,6.55397726080933e+61,6.55661541886527e+61,True,True,True,True,True,True,6.55397726080933e+61,3.7410300925755665e+65,2.6934331480056516e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,1.9936875832883684e+48,3.986897748384988e+63,1.686278928067318e+48,2.0267395043080718e+47,4.017245002512806e+63,1.210369766895823e+52,1.9945790308062927e+48,3.988681783656756e+63,1.686278928067313e+48,2.026739504308068e+47,4.019041253398051e+63,1.2109001259131374e+52,2.155772488130218e+65,1.5173880910684788e+67,2.155772488130218e+65,1.5173880910684788e+67,3.0347254127817845e+61,3.035946974129478e+61,True,True,True,True,True,True,3.0347254127817845e+61,2.1155820755962377e+65,1.516986186943139e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,9.743498058716205e+47,1.9484662891673528e+63,8.323289488555658e+47,9.083518472928465e+46,1.9632975202067746e+63,5.91528761724372e+51,9.747854717820239e+47,1.949338178241291e+63,8.323289488555663e+47,9.083518472928472e+46,1.964175379263532e+63,5.917879574027192e+51,1.0728828021765943e+65,7.551722624250346e+66,1.0728828021765943e+65,7.551722624250346e+66,1.4831231039421817e+61,1.48372010222408e+61,True,True,True,True,True,True,1.4831231039421817e+61,1.053241048383959e+65,7.549758448871083e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,1.0463425442842084e+47,2.0924345262588413e+62,9.064197770519011e+46,8.495508904457472e+45,2.1083616069922058e+62,6.352356267021392e+50,1.0468104006684378e+47,2.093370837454739e+62,9.064197770518976e+46,8.495508904457505e+45,2.10930432928089e+62,6.35513973825436e+50,1.0764576037551994e+64,7.5768846549060595e+65,1.0764576037551994e+64,7.5768846549060595e+65,1.5927080733364432e+60,1.5933491826151242e+60,True,True,True,True,True,True,1.5927080733364432e+60,1.0553645604623905e+64,7.574775350576778e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,2.6602034337461034e+45,5.3197698421509894e+60,2.3099132289977508e+45,2.105413174849616e+44,5.3602625804878726e+60,1.6150122200630772e+49,2.6613929038356318e+45,5.322150303761757e+60,2.3099132289977485e+45,2.105413174849612e+44,5.362659341551567e+60,1.6157198850406816e+49,2.794052134789696e+62,1.96665532123548e+64,2.794052134789696e+62,1.96665532123548e+64,4.0492738336883146e+58,4.050903778981019e+58,True,True,True,True,True,True,4.0492738336883146e+58,2.74042554137418e+62,1.966119055301325e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.561327798118322e+49,1.1121323853448371e+65,4.237330106697077e+49,1.031843579583412e+49,1.120597654898216e+65,3.3762877830323112e+53,5.563814462480155e+49,1.11263003628237e+65,4.2373301066970844e+49,1.0318435795834128e+49,1.1210987133420882e+65,3.3777672025615774e+53,8.021334743528933e+65,3.134891613405384e+67,8.021334743528933e+65,3.134891613405384e+67,8.46526955337879e+62,8.468677059718334e+62,True,True,True,True,True,True,8.46526955337879e+62,6.900236030186845e+65,3.1236806262719627e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,3.871144671018148e+49,7.741362338776442e+64,3.1099497303323287e+49,5.578314860914613e+48,7.800287624805044e+64,2.3501758812942995e+53,3.872875595330177e+49,7.744826401397439e+64,3.1099497303323204e+49,5.578314860914593e+48,7.803775406491857e+64,2.3512056797947327e+53,1.5365306480192269e+66,6.005056759539585e+67,1.5365306480192269e+66,6.005056759539585e+67,5.892528602860134e+62,5.894900509441828e+62,True,True,True,True,True,True,5.892528602860134e+62,1.4584928939543084e+66,5.997252984133093e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,1.6981178032452386e+49,3.3958289668856576e+64,1.388601224703541e+49,2.2030908770273165e+48,3.421677155411293e+64,1.0309290517251012e+53,1.6988770911665434e+49,3.397348513921012e+64,1.388601224703542e+49,2.203090877027314e+48,3.4232071070611386e+64,1.0313807835295035e+53,8.653499364327135e+65,3.381953683671262e+67,8.653499364327135e+65,3.381953683671262e+67,2.584818852563533e+62,2.5858593140126596e+62,True,True,True,True,True,True,2.584818852563533e+62,8.311178653621022e+65,3.378530476564201e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,7.838827822137991e+48,1.567577852017908e+64,6.490006856721114e+48,9.37022585001096e+47,1.5795098569105835e+64,4.7589603724011945e+52,7.842332836496336e+48,1.5682793032102228e+64,6.490006856721127e+48,9.370225850011002e+47,1.5802161110665916e+64,4.761045650483625e+52,4.30666533586075e+65,1.683127493716077e+67,4.30666533586075e+65,1.683127493716077e+67,1.193200489267555e+62,1.193680785636884e+62,True,True,True,True,True,True,1.193200489267555e+62,4.1486437247540906e+65,1.6815472776050105e+67
