shape_lane,interval_index,substep,z_mid,state_rows,M,I,N,U,C_old,C_local,B_old,B_local,R_rec,Q_coll,J_G1,J_G2a,kappa_G1,kappa_G2a,S_plus,S_minus,S_net,local_budget_violation_nodes,old_local_budget_mismatch_nodes,gamma_M_weight,recomb_down_M_weight,coll_up_M_weight,max_current_gamma_resid,max_old_capacity_rel_violation,max_local_budget_rel_violation,min_local_budget_slack,min_old_capacity_slack,x_mass_weighted,T_mass_weighted_K,gamma_mass_weighted_Myr_inv,recombination_down_mass_weighted_Myr_inv,collisional_up_mass_weighted_Myr_inv,old_to_local_budget_ratio,local_budget_to_J_ratio
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,46080,5.287538531899684e+65,5.247596949829728e+65,3.9941582069956154e+63,1.593086676737768e+54,2.624111775760086e+50,2.078850926143319e+49,8.378302904673582e+64,6.63738599619864e+63,8.278675582133519e+48,7.775214490496848e+48,2.0202821952699816e+50,4.6486550545515663e+49,0.01912115475313976,0.008537119428908394,7.401578490069115e+47,0.0,7.401578490069115e+47,36196,46080,3.070706866915917e+52,8.362690430957928e+48,4.305117405672305e+50,8.320520377948669e-16,8.093124515345596e-16,0.9399634594885631,-1.4798988765357426e+48,-4.867778304876401e+32,0.9924460915359786,14548.268864607979,1.832689037418143,0.00049911019645881,0.025694219005990573,12.622895383019763,0.08365100092588998
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,46080,5.346006235809439e+65,5.305666281229621e+65,4.0339954579818005e+63,1.610401794443071e+54,2.653360458207655e+50,2.100633181528814e+49,8.471688530763146e+64,6.70693270348925e+63,8.371726567550133e+48,7.845231820983718e+48,2.0422038319672508e+50,4.696395184651106e+49,0.019328634187800738,0.00862479278548743,1.8312275418647793e+49,0.0,1.8312275418647793e+49,36195,46080,3.106500431163063e+52,8.456594385836423e+48,4.348287285041483e+50,7.524627539733977e-16,7.756448439383076e-16,0.9400175404486566,-1.4963677659751147e+48,-3.2451855365842673e+32,0.9924541886409322,14545.55319944414,1.8337744791580513,0.0004991947469175833,0.025668041669548933,12.631241292097336,0.08362914754087805
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,46080,6.766419432000051e+65,6.707461312457136e+65,5.89581195429156e+63,2.037572698029098e+54,2.5888554841943812e+50,2.7801255009217255e+49,8.569509431076955e+64,9.20264257513783e+63,9.989961102130326e+48,1.1036746963685807e+49,1.6912427145616515e+50,6.479631580844807e+49,0.027364336192355128,0.012233511704903409,4.291079346321471e+50,0.0,4.291079346321471e+50,33685,46080,2.4803990632718817e+52,1.0107382041612736e+49,5.2887454384692855e+50,7.59212742674228e-16,8.546739427502233e-16,0.9160497310874519,-1.6222985057130843e+48,-3.2451855365842673e+32,0.9912866590468679,14540.510555521787,1.1568221903142015,0.00047139365616020784,0.02466594256036315,9.312009415891728,0.11884911599408823
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,46080,6.714036018719885e+65,6.652786973405671e+65,6.124904531421302e+63,2.0266601046124483e+54,2.571167995089698e+50,2.8386788811600526e+49,8.510961124452639e+64,9.396463260470492e+63,9.883404441855661e+48,1.1593982585054751e+49,1.6963288532385931e+50,6.651170309154144e+49,0.027446630003574033,0.012557375957744584,0.0,1.5825070016188549e+49,-1.5825070016188549e+49,33715,46080,2.406468469254072e+52,1.0005052020053055e+49,5.3139831356559374e+50,7.960057259113508e-16,7.29633987581097e-16,0.9129466647676783,-1.6106182373442712e+48,-3.2451855365842673e+32,0.990877462506391,14575.474764423527,1.131098629104639,0.00047026174531638156,0.024977011403306302,9.05762188232776,0.12020935564132205
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,46080,1.1957030573716285e+66,1.1825185004353123e+66,1.3184556936316084e+64,3.5610067031305e+54,3.3636798002896713e+50,5.490716395613116e+49,1.1549547414569161e+65,1.8852950671947074e+64,1.6508578928884135e+49,2.2003974053703795e+49,1.869332141400397e+50,8.838279021543817e+49,0.05727465753439419,0.02623271440251522,1.5269650181637e+51,0.0,1.5269650181637e+51,30438,46080,2.2647141863875564e+52,1.6755297820274208e+49,8.318675889173936e+50,7.917667159871018e-16,8.476246994999815e-16,0.8662801448127991,-1.8496453409577374e+48,-3.2451855365842673e+32,0.988973385277363,14380.530572471062,0.5977148253300081,0.0004422142966292892,0.02195507025107523,6.126121908203327,0.19943324429929274
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,46080,1.1375815617910119e+66,1.123290058845066e+66,1.4291502945945978e+64,3.367537044140764e+54,3.254083557100618e+50,5.735866600443101e+49,1.1173237217902519e+65,1.9694699614320077e+64,1.573622137563248e+49,2.2953644818225647e+49,1.8379012658584944e+50,9.253427630471688e+49,0.056311643743105017,0.02746490846043774,0.0,1.692725209305849e+50,-1.692725209305849e+50,30542,46080,2.020371428208181e+52,1.600438121591648e+49,7.630591858903403e+50,8.027676113912478e-16,8.030516730828753e-16,0.8528314993076637,-1.8780780122960438e+48,-4.867778304876401e+32,0.987436942171034,14294.049963317242,0.5604703480112809,0.000443976834385605,0.02116799126626216,5.673220428189939,0.20757727296038692
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,46080,5.407717645577101e+65,5.339396295887322e+65,6.832134968977787e+63,1.5942386988800947e+54,1.86864092950224e+50,2.6695461377099306e+49,6.659056668621455e+64,9.5131486899654e+63,7.523365877334816e+48,1.1026535714977672e+49,1.1747632598920348e+50,4.879711221373275e+49,0.02391625957228788,0.012326184745082513,0.0,1.6747465440460827e+51,-1.6747465440460827e+51,31930,46080,1.2214745980124666e+52,7.652759388965821e+48,3.6282042928701367e+50,9.143461259914775e-16,8.715806322107245e-16,0.8822790679461091,-1.0246732053263574e+48,-1.6225927682921336e+32,0.9873659547025986,14235.240136797855,0.7128110101267053,0.00044658899654413285,0.02117296562003834,6.999845041469308,0.16055156894342668
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,46080,6.188524406046254e+65,6.112419010193246e+65,7.61053958530075e+63,1.8229780831998714e+54,2.134971367138862e+50,2.9978000293004647e+49,7.608147234283763e+64,1.0682908610818227e+64,8.62157329080876e+48,1.224652315098408e+49,1.3381561347471312e+50,5.482491053523232e+49,0.027242671404111858,0.013848810825730109,2.191072314371457e+50,0.0,2.191072314371457e+50,31927,46080,1.419687458766028e+52,8.765885005798505e+48,4.1362064085268326e+50,8.074199819546074e-16,8.119326749378222e-16,0.8847979266697636,-1.1722959181836761e+48,-3.2451855365842673e+32,0.9877021740790661,14223.936264034563,0.7239517211079081,0.00044700525441689493,0.02109206311446367,7.1217938030278045,0.1589160147340566
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,5.55,46080,6.859678396727041e+65,6.8061263383884565e+65,5.3552058338584865e+63,2.0760265648078796e+54,2.572468916607627e+50,2.412143342821074e+49,9.519514741777403e+64,8.926224127732715e+63,9.650001928473785e+48,1.0630342837381994e+49,1.8162970293028793e+50,6.577519258111964e+49,0.0245827311255429,0.010426678118840866,1.8136667951218844e+50,0.0,1.8136667951218844e+50,35571,46080,2.9638502055157745e+52,9.752671331593943e+48,5.613945886061488e+50,8.601942369162249e-16,8.772412228364346e-16,0.930714494082184,-1.3072413113694896e+48,-3.2451855365842673e+32,0.9921932115120534,14613.51230556574,1.3635041445997167,0.00044866666192507765,0.025826671229733405,10.664660225370552,0.0974978016435351
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,5.55,46080,7.1230580112802485e+65,7.070780023049296e+65,5.227798823095152e+63,2.1780912225580518e+54,2.646640705281522e+50,2.4066566719172134e+49,9.793990142100708e+64,8.905920502598358e+63,9.939428582948968e+48,1.0974167353929233e+49,1.8426792637680147e+50,6.500349630293557e+49,0.024939802334648153,0.010304348888284727,7.117336230730104e+49,0.0,7.117336230730104e+49,35201,46080,3.147992176728594e+52,1.0038817384401603e+49,6.17255641833682e+50,8.110397842703718e-16,8.32045957101469e-16,0.9335715300178454,-1.3457864831062902e+48,-3.2451855365842673e+32,0.9926607381059983,14765.054073920024,1.3946689435774375,0.0004447541814039676,0.02734655061335035,10.997167714716575,0.09654763654994968
