shape_lane,interval_index,substep,macro_index,z_mid,state_rows,M,I,N,U,C_old,C_local,B_old,B_local,R_rec,Q_coll,J_G1,J_G2a,kappa_G1,kappa_G2a,S_plus,S_minus,S_net,local_budget_violation_nodes,old_local_budget_mismatch_nodes,gamma_M_weight,recomb_down_M_weight,coll_up_M_weight,max_current_gamma_resid,max_old_capacity_rel_violation,max_local_budget_rel_violation,min_local_budget_slack,min_old_capacity_slack,x_mass_weighted,T_mass_weighted_K,gamma_mass_weighted_Myr_inv,recombination_down_mass_weighted_Myr_inv,collisional_up_mass_weighted_Myr_inv,old_to_local_budget_ratio,local_budget_to_J_ratio,M_sink_H_cMpc3,M_sink_H_cap_cosmic_cMpc3,M_sink_H_cap_volume_cMpc3,kappa_sink_G1_cMpc_inv,kappa_sink_G2a_cMpc_inv,J_sink_G1_s_inv_cMpc3,J_sink_G2a_s_inv_cMpc3,cycling_capacity_macro_s_inv_cMpc3,mass_transfer_rate_macro_H_s_inv_cMpc3,volume_filling_macro,mass_relative_residual,J_G1_relative_residual,J_G2a_relative_residual,kappa_G1_relative_residual,kappa_G2a_relative_residual,old_capacity_relative_residual,transfer_relative_residual,mass_cap_slack_cosmic,mass_cap_slack_volume,endpoint_state_cone_pass
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95,2560,9.539493075182652e+64,9.467432617699557e+64,7.20604574830956e+62,2.874161432436065e+53,4.73428154941028e+49,2.8422988603375048e+48,1.5115684180593824e+64,9.07493385666409e+62,5.853418464944103e+47,5.4974474619818335e+47,3.532375821099312e+49,9.511942065891984e+48,0.003343251001252501,0.0017468404186684,1.335353044246615e+47,0.0,1.335353044246615e+47,2048,2560,5.663653763450356e+51,5.912820969917181e+47,3.043923326395187e+49,7.197193795361579e-16,7.912077827817832e-16,0.9399634594885619,-1.3076097174730576e+48,-1.6225927682921336e+32,0.9924460915359786,14548.26886460798,1.8735934771045346,0.00019560204884019555,0.010069603699902,16.65652270235972,0.06339365378001785,9.539493075182652e+64,1.9982867080879831e+65,1.406538245611929e+67,0.0033432510012525,0.0017468404186684,3.5323758210993117e+49,9.511942065891984e+48,4.73428154941028e+49,1.335353044246615e+47,0.006782249330897,0.0,1.4699163173750098e-16,0.0,2.5943661952496507e-16,0.0,0.0,0.0,1.044337400569718e+65,1.3969987525367464e+67,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95,2560,8.679765514890578e+63,8.614199360701927e+63,6.556615418865196e+61,2.6151334341221693e+52,4.3076139797467485e+48,2.5861424120272385e+47,1.3753413651089972e+63,8.257073758342963e+61,5.325890939469317e+46,5.002001104709486e+46,3.5842206439798e+48,4.952766839411187e+47,0.0003392320031498,9.09561185233408e-05,1.2150070462139308e+46,0.0,1.2150070462139308e+46,2059,2560,5.15392432971575e+50,5.37993991357097e+46,2.769595880010647e+48,6.707037523333856e-16,8.093124515345596e-16,0.9399634594885631,-1.189764030772775e+47,-2.028240960365167e+31,0.9924460915359788,14548.26886460798,1.8738465013647105,0.0001956020488401956,0.010069603699902004,16.656522702359897,0.06339365378001716,8.679765514890578e+63,3.8278277477244722e+65,2.6943011245571405e+67,0.0003392320031498,9.095611852334072e-05,3.5842206439798e+48,4.952766839411182e+47,4.307613979746748e+48,1.2150070462139308e+46,0.0003221527629476,0.0,0.0,9.828401906872544e-16,0.0,8.940043205069932e-16,1.5067206819563053e-16,0.0,3.7410300925755665e+65,2.6934331480056516e+67,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,2560,4.01904125339805e+63,3.988681783656756e+63,3.035946974129411e+61,1.2109001259131374e+52,1.9945790308062923e+48,1.1974762478627635e+47,6.3683214418581345e+62,3.8233198823400595e+61,2.466077610058102e+46,2.316105055474347e+46,1.6862789280673135e+48,2.0267395043080673e+47,0.00015959948771519997,3.722047989476879e-05,5.6259163148195474e+45,0.0,5.6259163148195474e+45,2060,2560,2.386491611900508e+50,2.4911042143189795e+46,1.2824217518212982e+48,5.838380206451223e-16,7.032509089575004e-16,0.9399634594885622,-5.509032142955572e+46,-1.0141204801825835e+31,0.9924460915359787,14548.268864607979,1.8738784437217746,0.0001956020488401956,0.010069603699902006,16.656522702359943,0.063393653780017,4.01904125339805e+63,2.155772488130218e+65,1.5173880910684788e+67,0.0001595994877152,3.722047989476873e-05,1.6862789280673138e+48,2.0267395043080645e+47,1.994579030806293e+48,5.625916314819547e+45,0.0002648657437773,0.0,1.924465450270232e-16,1.4010371527645618e-15,1.698317124958802e-16,1.6385165472001623e-15,3.2540054682841286e-16,1.126617007161161e-16,2.1155820755962377e+65,1.516986186943139e+67,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,5.95,2560,1.964175379263532e+63,1.949338178241291e+63,1.4837201022240932e+61,5.9178795740271915e+51,9.74785471782024e+47,5.852274746660738e+46,3.112309477479982e+62,1.8685229402887437e+61,1.205215030060663e+46,1.1319208335829319e+46,8.323289488555661e+47,9.083518472928472e+46,7.877657227216792e-05,1.6681616753250225e-05,2.7494831763726468e+45,0.0,2.7494831763726468e+45,2060,2560,1.1663175039964235e+50,1.2174459669474708e+46,6.2674182023628245e+47,4.921476344744394e-16,6.50067193949626e-16,0.939963459488562,-2.6923598481642777e+46,-1.0141204801825835e+31,0.9924460915359788,14548.268864607984,1.873874484564511,0.00019560204884019558,0.010069603699902016,16.65652270235995,0.06339365378001699,1.964175379263532e+63,1.0728828021765943e+65,7.551722624250346e+66,7.877657227216796e-05,1.6681616753250225e-05,8.323289488555666e+47,9.083518472928473e+46,9.747854717820244e+47,2.7494831763726465e+45,0.0002600963352329,0.0,5.848382795731766e-16,1.1164401582987444e-16,5.161125991587588e-16,0.0,3.3291279266315696e-16,1.1526262563830472e-16,1.053241048383959e+65,7.549758448871083e+66,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,5.95,2560,2.1093043292808906e+62,2.093370837454739e+62,1.5933491826151556e+60,6.355139738254361e+50,1.046810400668438e+47,6.284687502753031e+45,3.342271736127733e+61,2.006584324862828e+60,1.2942659334089306e+45,1.2155561768496055e+45,9.064197770518977e+46,8.495508904457507e+45,8.578896982260555e-06,1.5601754330147302e-06,2.952636932747992e+44,0.0,2.952636932747992e+44,2059,2560,1.25247734617114e+49,1.3074005895088243e+45,6.730505069569984e+46,5.300189681424521e-16,7.466453018040615e-16,0.9399634594885622,-2.8912928772400797e+45,-1.2676506002282294e+30,0.9924460915359787,14548.26886460798,1.873849048278652,0.00019560204884019558,0.010069603699902004,16.656522702359965,0.0633936537800168,2.10930432928089e+62,1.0764576037551994e+64,7.5768846549060595e+65,8.578896982260538e-06,1.560175433014733e-06,9.06419777051896e+46,8.495508904457523e+45,1.0468104006684382e+47,2.9526369327479917e+44,0.0002783867546294,2.1652601539087204e-16,1.9019938222416816e-15,1.9397846542565977e-15,1.9746896343569464e-15,1.764453548186642e-15,1.9375437606180056e-16,1.341650943188051e-16,1.0553645604623905e+64,7.574775350576778e+65,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,5.95,2560,5.3626593415515666e+60,5.322150303761757e+60,4.050903778980918e+58,1.6157198850406816e+49,2.661392903835632e+45,1.5978082288799493e+44,8.497334642014262e+59,5.101505754745775e+58,3.290519628627322e+43,3.0904092863572855e+43,2.3099132289977495e+45,2.105413174849612e+44,2.1862395471979992e-07,3.8665298908961205e-08,7.506733765160074e+42,0.0,7.506733765160074e+42,2059,2560,3.184279464504518e+47,3.3239129542154676e+43,1.7111521264925626e+45,4.95306011042354e-16,7.938468490076019e-16,0.9399634594885629,-7.350773684980247e+43,-1.9807040628566084e+28,0.9924460915359786,14548.268864607979,1.8738504765804076,0.00019560204884019555,0.010069603699902003,16.65652270235989,0.06339365378001707,5.362659341551566e+60,2.794052134789696e+62,1.96665532123548e+64,2.186239547197995e-07,3.866529890896117e-08,2.3099132289977447e+45,2.10541317484961e+44,2.6613929038356318e+45,7.506733765160073e+42,0.000272679166687,1.3307275381518243e-16,2.057951654278565e-15,9.40767392603634e-16,1.9371915313212197e-15,8.557343518803806e-16,1.1907773917947963e-16,1.6491060932930027e-16,2.74042554137418e+62,1.966119055301325e+64,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95,2560,1.1210987133420885e+65,1.11263003628237e+65,8.468677059718438e+62,3.3777672025615782e+53,5.563814462480155e+49,3.891345023797957e+48,1.7764229139423772e+64,1.2424343969315082e+63,1.238927768136293e+48,1.1635833582221792e+48,4.2373301066970855e+49,1.0318435795834129e+49,0.004010461751333104,0.001894950640020303,1.5693313763778343e+47,0.0,1.5693313763778343e+47,2016,2560,6.556020908896981e+51,1.25150083349097e+48,6.442732833359481e+49,5.757979371145292e-16,6.54170495765836e-16,0.930059762955091,-1.4798988765357426e+48,-3.2451855365842673e+32,0.9924460915359784,14548.268864607977,1.8454421807143484,0.0003522826512327238,0.018135529301957696,14.297921228917055,0.07385114356601996,1.1210987133420882e+65,8.021334743528933e+65,3.134891613405384e+67,0.0040104617513331,0.0018949506400203,4.237330106697081e+49,1.0318435795834112e+49,5.563814462480155e+49,1.5693313763778343e+47,0.0035761960909527,2.0858133114420156e-16,1.1028329289935609e-15,1.6354188875266476e-15,1.0813739062591566e-15,1.6020291076958533e-15,0.0,0.0,6.900236030186845e+65,3.1236806262719627e+67,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95,2560,7.803775406491859e+64,7.744826401397439e+64,5.894900509442043e+62,2.351205679794733e+53,3.872875595330177e+49,2.7086983718285958e+48,1.2365374504824783e+64,8.64837224016596e+62,8.623963199975322e+47,8.09950371562556e+47,3.109949730332321e+49,5.5783148609145925e+48,0.0029434417730056046,0.0010244412549615988,1.0923845914607199e+47,0.0,1.0923845914607199e+47,2016,2560,4.563754046666172e+51,8.711482146372598e+47,4.484675563107783e+49,6.471590825637105e-16,7.192910974708128e-16,0.9300597629550915,-1.0301321658265523e+48,-3.2451855365842673e+32,0.9924460915359787,14548.26886460798,1.8455313896305001,0.0003522826512327238,0.018135529301957727,14.297921228917287,0.07385114356601878,7.803775406491859e+64,1.5365306480192269e+66,6.005056759539585e+67,0.0029434417730056,0.0010244412549616,3.1099497303323163e+49,5.578314860914599e+48,3.8728755953301766e+49,1.0923845914607199e+47,0.0012995339959268,0.0,1.5026182343410397e-15,1.1635003105766601e-15,1.620718168331552e-15,1.2700021603789993e-15,1.3406825834518355e-16,0.0,1.4584928939543084e+66,5.997252984133093e+67,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95,2560,3.423207107061138e+64,3.3973485139210114e+64,2.585859314012674e+62,1.0313807835295035e+53,1.6988770911665434e+49,1.1881986646636279e+48,5.4241999136950634e+63,3.7936982774283727e+62,3.782990998514721e+47,3.5529314003491053e+47,1.3886012247035421e+49,2.2030908770273135e+48,0.0013142549575558995,0.0004045912142158991,4.791858430499688e+46,0.0,4.791858430499688e+46,2026,2560,2.0019743795351012e+51,3.8213820930432e+47,1.9672494992260868e+49,5.773268378980573e-16,6.758562356715977e-16,0.9300597629550916,-4.5187817019134776e+47,-8.112963841460668e+31,0.9924460915359788,14548.268864607979,1.845564837409312,0.00035228265123272393,0.018135529301957713,14.297921228917435,0.07385114356601813,3.423207107061138e+64,8.653499364327135e+65,3.381953683671262e+67,0.0013142549575559,0.0004045912142159,1.3886012247035424e+49,2.2030908770273187e+48,1.6988770911665434e+49,4.791858430499688e+46,0.0010121981041872,0.0,1.8696141002048122e-16,2.3568237300954707e-15,3.2998229643410403e-16,2.277785117995432e-15,0.0,0.0,8.311178653621022e+65,3.378530476564201e+67,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95,2560,1.5802161110665916e+64,1.568279303210223e+64,1.1936807856368753e+62,4.7610456504836256e+52,7.842332836496335e+48,5.484946175696738e+47,2.503911631752134e+63,1.75124173064264e+62,1.7462990514193527e+47,1.6400992591903464e+47,6.490006856721127e+48,9.370225850010998e+47,0.0006142529283624013,0.0001720814648939008,2.212011034391277e+46,0.0,2.212011034391277e+46,2027,2560,9.24153378307213e+50,1.7640210951631408e+47,9.081189819781561e+48,6.22456545118009e-16,7.172212487485333e-16,0.9300597629550899,-2.0859537341539574e+47,-4.056481920730334e+31,0.9924460915359788,14548.26886460798,1.8455743139831022,0.0003522826512327238,0.018135529301957727,14.297921228917337,0.0738511435660184,1.5802161110665916e+64,4.30666533586075e+65,1.683127493716077e+67,0.0006142529283624,0.0001720814648939,6.490006856721113e+48,9.370225850010956e+47,7.842332836496335e+48,2.212011034391277e+46,0.0009388570485398,0.0,2.2001234630720714e-15,4.5022833655120445e-15,2.1180893845328273e-15,4.725387652095408e-15,0.0,0.0,4.1486437247540906e+65,1.6815472776050105e+67,True
