history_provenance,interval_index,z_mid,sequence,level,delta_chi_cMpc,group,component,finite_cell_deposition_rate,differential_hazard_rate,relative_difference,observed_order
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G1,EFFECTIVE_HI_SUBGRID,3.941410100084521e+50,4.025240782605081e+50,0.020826252899660138,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G1,TOTAL_PHYSICAL,3.941410100084521e+50,4.025240782605081e+50,0.020826252899660138,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2a,EFFECTIVE_HI_SUBGRID,9.718435065682861e+49,9.819056446195713e+49,0.010247561062940695,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2a,EXPLICIT_HEI_ATOMIC,6.585753786371366e+48,6.654262600321941e+48,0.010295477961338801,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2a,TOTAL_PHYSICAL,1.0377010444319998e+50,1.0484482706227906e+50,0.01025060223944748,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2b,EXPLICIT_HI_ATOMIC,9.609613936586316e+47,9.614376044788035e+47,0.000495311206836015,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2b,EXPLICIT_HEI_ATOMIC,1.5462924789035094e+48,1.5470485527076108e+48,0.0004887201521750047,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G2b,TOTAL_PHYSICAL,2.507253872562141e+48,2.508486157186414e+48,0.0004912463322719647,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,0,1.0,G3,TOTAL_PHYSICAL,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G1,EFFECTIVE_HI_SUBGRID,3.98301307301623e+50,4.025240782605081e+50,0.010490728845672115,0.9892883772514577
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G1,TOTAL_PHYSICAL,3.98301307301623e+50,4.025240782605081e+50,0.010490728845672115,0.9892883772514577
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G2a,EFFECTIVE_HI_SUBGRID,9.768569043218936e+49,9.819056446195713e+49,0.005141777446074031,0.9949415148973053
