z,closure,m_HI_to_HII_s-1_cMpc-3,m_HeI_to_HeII_s-1_cMpc-3,m_HeII_to_HeIII_s-1_cMpc-3,source_HI,source_HII,source_HeI,source_HeII,source_HeIII,stoich_residual_max
5.95,LOCAL_NODE_STATE_PRIMARY_DETERMINISTIC,2.5325774117717777e+50,3.93439774892681e+49,6.412667140395016e+47,2.5325774117717777e+50,-2.5325774117717777e+50,3.93439774892681e+49,-3.8702710775228174e+49,-6.412667140395016e+47,3.0814879110195774e-33
5.95,LOCAL_NODE_STATE_PRIMARY_PATCHY_AUDITOR,2.5325783927720567e+50,3.9343812628307936e+49,6.417334071238762e+47,2.5325783927720567e+50,-2.5325783927720567e+50,3.9343812628307936e+49,-3.8702079221184116e+49,-6.417334071238762e+47,1.5407439555097887e-33
5.95,B2C0_HOMOGENEOUS_MACRO_REFERENCE,2.0795788485745098e+50,3.280214254055391e+49,6.578671029265383e+47,2.0795788485745098e+50,-2.0795788485745098e+50,3.280214254055391e+49,-3.214427543762746e+49,-6.578671029265383e+47,0.0
5.95,FIXED_WEIGHT_HOMOGENEOUS_MACRO_AUDITOR,2.0710588407085265e+50,3.2703484997643906e+49,6.573333801929184e+47,2.0710588407085265e+50,-2.0710588407085265e+50,3.2703484997643906e+49,-3.2046151617451014e+49,-6.573333801929184e+47,0.0
5.85,LOCAL_NODE_STATE_PRIMARY_DETERMINISTIC,2.4603478773500245e+50,3.7265512781576274e+49,5.91310118861036e+47,2.4603478773500245e+50,-2.4603478773500245e+50,3.7265512781576274e+49,-3.6674202662715033e+49,-5.91310118861036e+47,1.5407439555097887e-33
5.85,LOCAL_NODE_STATE_PRIMARY_PATCHY_AUDITOR,2.4603498186880627e+50,3.726535638104837e+49,5.917404664883698e+47,2.4603498186880627e+50,-2.4603498186880627e+50,3.726535638104837e+49,-3.6673615914559887e+49,-5.917404664883698e+47,1.5407439555097887e-33
5.85,B2C0_HOMOGENEOUS_MACRO_REFERENCE,2.002858871854802e+50,3.088458835985796e+49,6.029598769450269e+47,2.002858871854802e+50,-2.002858871854802e+50,3.088458835985796e+49,-3.028162848291294e+49,-6.029598769450269e+47,0.0
5.85,FIXED_WEIGHT_HOMOGENEOUS_MACRO_AUDITOR,1.994719318944472e+50,3.079184191364019e+49,6.024957005758214e+47,1.994719318944472e+50,-1.994719318944472e+50,3.079184191364019e+49,-3.0189346213064276e+49,-6.024957005758214e+47,0.0
5.75,LOCAL_NODE_STATE_PRIMARY_DETERMINISTIC,2.322624381539199e+50,3.7216980110426805e+49,5.374635471978138e+47,2.322624381539199e+50,-2.322624381539199e+50,3.7216980110426805e+49,-3.6679516563229065e+49,-5.374635471978138e+47,3.0814879110195774e-33
5.75,LOCAL_NODE_STATE_PRIMARY_PATCHY_AUDITOR,2.3226293709866416e+50,3.721684446080041e+49,5.378547136553782e+47,2.3226293709866416e+50,-2.3226293709866416e+50,3.721684446080041e+49,-3.6678989747144733e+49,-5.378547136553782e+47,3.0814879110195774e-33
5.75,B2C0_HOMOGENEOUS_MACRO_REFERENCE,1.8747522257243454e+50,3.0459433524674517e+49,5.444218525257867e+47,1.8747522257243454e+50,-1.8747522257243454e+50,3.0459433524674517e+49,-2.9915011672148675e+49,-5.444218525257867e+47,0.0
5.75,FIXED_WEIGHT_HOMOGENEOUS_MACRO_AUDITOR,1.8671480494909195e+50,3.036908191292796e+49,5.4402384021871665e+47,1.8671480494909195e+50,-1.8671480494909195e+50,3.036908191292796e+49,-2.982505807270926e+49,-5.4402384021871665e+47,0.0
5.65,LOCAL_NODE_STATE_PRIMARY_DETERMINISTIC,2.21252637599783e+50,3.563190648548015e+49,4.900059711955616e+47,2.21252637599783e+50,-2.21252637599783e+50,3.563190648548015e+49,-3.5141900514284483e+49,-4.900059711955616e+47,1.5407439555097887e-33
5.65,LOCAL_NODE_STATE_PRIMARY_PATCHY_AUDITOR,2.2125296269784544e+50,3.5631780504807945e+49,4.903624879465925e+47,2.2125296269784544e+50,-2.2125296269784544e+50,3.5631780504807945e+49,-3.514141801686151e+49,-4.903624879465925e+47,1.5407439555097887e-33
5.65,B2C0_HOMOGENEOUS_MACRO_REFERENCE,1.7689511117513624e+50,2.890235319762825e+49,4.927520679288872e+47,1.7689511117513624e+50,-1.7689511117513624e+50,2.890235319762825e+49,-2.8409601129699406e+49,-4.927520679288872e+47,0.0
5.65,FIXED_WEIGHT_HOMOGENEOUS_MACRO_AUDITOR,1.7618130650435223e+50,2.881652706028638e+49,4.9241104078455085e+47,1.7618130650435223e+50,-1.7618130650435223e+50,2.881652706028638e+49,-2.8324116019501863e+49,-4.9241104078455085e+47,0.0
5.55,LOCAL_NODE_STATE_PRIMARY_DETERMINISTIC,2.1124104877179066e+50,3.388197085025058e+49,4.4771229441116205e+47,2.1124104877179066e+50,-2.1124104877179066e+50,3.388197085025058e+49,-3.343425855583934e+49,-4.4771229441116205e+47,1.5407439555097887e-33
5.55,LOCAL_NODE_STATE_PRIMARY_PATCHY_AUDITOR,2.1124113373275547e+50,3.388185186272972e+49,4.480379133047369e+47,2.1124113373275547e+50,-2.1124113373275547e+50,3.388185186272972e+49,-3.3433813949425327e+49,-4.480379133047369e+47,3.0814879110195774e-33
5.55,B2C0_HOMOGENEOUS_MACRO_REFERENCE,1.6716563320256315e+50,2.7241594441461905e+49,4.466434015101351e+47,1.6716563320256315e+50,-1.6716563320256315e+50,2.7241594441461905e+49,-2.6794951039951786e+49,-4.466434015101351e+47,0.0
5.55,FIXED_WEIGHT_HOMOGENEOUS_MACRO_AUDITOR,1.6649524287374293e+50,2.716027980389421e+49,4.4635183747625924e+47,1.6649524287374293e+50,-1.6649524287374293e+50,2.716027980389421e+49,-2.6713927966417905e+49,-4.4635183747625924e+47,0.0
