history_provenance,interval_index,z_mid,group,total_absorption_rate_s-1_cMpc-3,component_sum_rate_s-1_cMpc-3,component_sum_relative_residual
CANONICAL_DIRECT_REEVOLVED,0,5.95,G1,4.0252407077143035e+50,4.0252407077143035e+50,0.0
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2a,1.048448269871939e+50,1.0484482698719397e+50,5.942836102922692e-16
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2b,2.5084861585721825e+48,2.5084861585721815e+48,3.881048566476536e-16
CANONICAL_DIRECT_REEVOLVED,0,5.95,G3,0.0,0.0,0.0
CANONICAL_DIRECT_REEVOLVED,1,5.85,G1,3.3871114138298826e+50,3.3871114138298826e+50,0.0
CANONICAL_DIRECT_REEVOLVED,1,5.85,G2a,1.4218062456405152e+50,1.4218062456405156e+50,2.921521479852962e-16
CANONICAL_DIRECT_REEVOLVED,1,5.85,G2b,4.6556536578525576e+48,4.6556536578525563e+48,2.78816748416043e-16
CANONICAL_DIRECT_REEVOLVED,1,5.85,G3,0.0,0.0,0.0
CANONICAL_DIRECT_REEVOLVED,2,5.75,G1,3.300063818663713e+50,3.300063818663713e+50,0.0
CANONICAL_DIRECT_REEVOLVED,2,5.75,G2a,1.7449183277876422e+50,1.744918327787642e+50,1.1902670230114595e-16
CANONICAL_DIRECT_REEVOLVED,2,5.75,G2b,8.131902142287092e+48,8.131902142287093e+48,1.596273776935324e-16
CANONICAL_DIRECT_REEVOLVED,2,5.75,G3,0.0,0.0,0.0
CANONICAL_DIRECT_REEVOLVED,3,5.65,G1,2.9585444032244034e+50,2.9585444032244034e+50,0.0
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2a,1.1100974529792631e+50,1.1100974529792627e+50,3.7418674150452776e-16
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2b,7.409846555664363e+48,7.409846555664364e+48,1.7518233405810685e-16
CANONICAL_DIRECT_REEVOLVED,3,5.65,G3,0.0,0.0,0.0
CANONICAL_DIRECT_REEVOLVED,4,5.55,G1,3.2262570827228445e+50,3.2262570827228445e+50,0.0
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2a,1.36071033488426e+50,1.3607103348842609e+50,6.105395660394071e-16
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2b,6.663755340553555e+48,6.663755340553553e+48,3.895923989688002e-16
CANONICAL_DIRECT_REEVOLVED,4,5.55,G3,0.0,0.0,0.0
