interval_index,z_mid,group,absorbed_photon_rate_s_inv_cMpc3,thin_atomic_HI_heating_erg_s_inv_cMpc3,thick_atomic_HI_heating_erg_s_inv_cMpc3,heating_difference_fraction_of_max,production_status
0,5.95,G1,4.025238807587089e+50,1.8857349977905876e+39,2.685536362541514e+39,0.2978181103435209,AUDITOR_ENVELOPE_ONLY
0,5.95,G2a,1.048448257276587e+50,2.6034809991251774e+39,2.854051494796259e+39,0.08779466527774377,AUDITOR_ENVELOPE_ONLY
0,5.95,G2b,2.508486158572069e+48,1.2564257103777919e+38,1.300942413330685e+38,0.03421881129920351,AUDITOR_ENVELOPE_ONLY
0,5.95,G3,0.0,0.0,0.0,0.0,AUDITOR_ENVELOPE_ONLY
0,5.95,TOTAL,5.098771926449397e+50,4.614858567953544e+39,5.669682098670841e+39,0.18604632717671818,AUDITOR_ENVELOPE_ONLY
1,5.85,G1,3.3871854362323254e+50,1.5868211617831273e+39,2.259843475256006e+39,0.29781811034352085,AUDITOR_ENVELOPE_ONLY
1,5.85,G2a,1.4217149585071004e+50,3.5303677172013474e+39,3.8701458792457695e+39,0.08779466527774388,AUDITOR_ENVELOPE_ONLY
1,5.85,G2b,4.655653657805569e+48,2.3318777081118473e+38,2.4144989935544016e+38,0.03421881129920328,AUDITOR_ENVELOPE_ONLY
1,5.85,G3,0.0,0.0,0.0,0.0,AUDITOR_ENVELOPE_ONLY
1,5.85,TOTAL,4.8554569313174815e+50,5.35037664979566e+39,6.371439253857217e+39,0.16025619383303605,AUDITOR_ENVELOPE_ONLY
2,5.75,G1,3.3027178934803284e+50,1.5472499936714156e+39,2.2034888915012607e+39,0.29781811034352096,AUDITOR_ENVELOPE_ONLY
2,5.75,G2a,1.7451331588529884e+50,4.3334718604224577e+39,4.750544307814086e+39,0.0877946652777437,AUDITOR_ENVELOPE_ONLY
2,5.75,G2b,8.131902142287459e+48,4.07302663039696e+38,4.217338956328339e+38,0.034218811299203365,AUDITOR_ENVELOPE_ONLY
2,5.75,G3,0.0,0.0,0.0,0.0,AUDITOR_ENVELOPE_ONLY
2,5.75,TOTAL,5.1291700737561905e+50,6.28802451713357e+39,7.37576709494818e+39,0.1474751797083762,AUDITOR_ENVELOPE_ONLY
3,5.65,G1,2.958544580265381e+50,1.3860124390667936e+39,1.9738652612428634e+39,0.2978181103435209,AUDITOR_ENVELOPE_ONLY
3,5.65,G2a,1.1100966570309916e+50,2.7565647934594596e+39,3.021868748771092e+39,0.08779466527774371,AUDITOR_ENVELOPE_ONLY
3,5.65,G2b,7.409846555670883e+48,3.7113705773042035e+38,3.842868985983121e+38,0.034218811299203476,AUDITOR_ENVELOPE_ONLY
3,5.65,G3,0.0,0.0,0.0,0.0,AUDITOR_ENVELOPE_ONLY
3,5.65,TOTAL,4.142739702853081e+50,4.513714290256673e+39,5.3800209086122676e+39,0.16102290921747572,AUDITOR_ENVELOPE_ONLY
4,5.55,G1,3.2262755204750077e+50,1.5114384393808752e+39,2.1524884957091388e+39,0.2978181103435209,AUDITOR_ENVELOPE_ONLY
4,5.55,G2a,1.3607238422858395e+50,3.378916073216595e+39,3.704117860969746e+39,0.08779466527774371,AUDITOR_ENVELOPE_ONLY
4,5.55,G2b,6.663755340553535e+48,3.337675796586715e+38,3.455933741137241e+38,0.03421881129920355,AUDITOR_ENVELOPE_ONLY
4,5.55,G3,0.0,0.0,0.0,0.0,AUDITOR_ENVELOPE_ONLY
4,5.55,TOTAL,4.653636916166383e+50,5.224122092256142e+39,6.20219973079261e+39,0.15769850714102596,AUDITOR_ENVELOPE_ONLY
