family,node_count,time_knot_count,unknown_count,constraint_rank,nullity,formula
SINGLE_NODE_ENDPOINTS_PLUS_ONE_INTERVAL_INTEGRAL,1,4,4,3,1,K-3
NODE_ENDPOINTS_PLUS_POINTWISE_MACRO_TOTAL,1,4,4,4,0,(N-1)(K-2)
NODE_ENDPOINTS_PLUS_POINTWISE_MACRO_TOTAL,2560,4,10240,5122,5118,(N-1)(K-2)
NODE_ENDPOINTS_PLUS_POINTWISE_MACRO_TOTAL,46080,4,184320,92162,92158,(N-1)(K-2)
SINGLE_NODE_ENDPOINTS_PLUS_ONE_INTERVAL_INTEGRAL,1,8,8,3,5,K-3
NODE_ENDPOINTS_PLUS_POINTWISE_MACRO_TOTAL,1,8,8,8,0,(N-1)(K-2)
NODE_ENDPOINTS_PLUS_POINTWISE_MACRO_TOTAL,2560,8,20480,5126,15354,(N-1)(K-2)
NODE_ENDPOINTS_PLUS_POINTWISE_MACRO_TOTAL,46080,8,368640,92166,276474,(N-1)(K-2)
SINGLE_NODE_ENDPOINTS_PLUS_ONE_INTERVAL_INTEGRAL,1,16,16,3,13,K-3
NODE_ENDPOINTS_PLUS_POINTWISE_MACRO_TOTAL,1,16,16,16,0,(N-1)(K-2)
NODE_ENDPOINTS_PLUS_POINTWISE_MACRO_TOTAL,2560,16,40960,5134,35826,(N-1)(K-2)
NODE_ENDPOINTS_PLUS_POINTWISE_MACRO_TOTAL,46080,16,737280,92174,645106,(N-1)(K-2)
