shape_lane,interval_index,substep,group,node_rows,J_sum,kappa_sum,Phi_min,Phi_max,Phi_distinct_rounded_1e_minus_9,negative_J_rows,negative_kappa_rows,nonpositive_Phi_rows,max_J_equals_kappa_Phi_relative_residual,dynamic_opacity_law_present_in_rows
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,G1,46080,2.0202821952699816e+50,0.01912115475313976,1.0565691357830649e+52,1.0565691357834573e+52,13,0,0,0,8.320520377948669e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,G2a,46080,4.648655054551566e+49,0.008537119428908394,5.445226687130701e+51,5.445226687132366e+51,14,0,0,0,7.197193795361579e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,G1,46080,2.0422038319672503e+50,0.01932863418780074,1.056569135783063e+52,1.0565691357836643e+52,13,0,0,0,7.335501143278415e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,G2a,46080,4.696395184651106e+49,0.00862479278548743,5.4452266871306995e+51,5.4452266871335593e+51,13,0,0,0,7.524627539733977e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,G1,46080,1.6912427145616515e+50,0.027364336192355124,6.180463149820888e+51,6.180463149826352e+51,14,0,0,0,7.59212742674228e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,G2a,46080,6.479631580844808e+49,0.012233511704903409,5.296624335796717e+51,5.29662433579846e+51,14,0,0,0,7.107171170036316e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,G1,46080,1.6963288532385931e+50,0.027446630003574037,6.18046314982088e+51,6.180463149821384e+51,14,0,0,0,7.960057259113508e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,G2a,46080,6.651170309154143e+49,0.012557375957744584,5.296624335796725e+51,5.296624335798898e+51,13,0,0,0,7.310065194836926e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,G1,46080,1.8693321414003968e+50,0.05727465753439419,3.263803262861613e+51,3.2638032628624054e+51,13,0,0,0,7.917667159871018e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,G2a,46080,8.838279021543817e+49,0.02623271440251522,3.36918203962003e+51,3.3691820396220266e+51,14,0,0,0,7.365578906064136e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,G1,46080,1.8379012658584941e+50,0.056311643743105017,3.2638032628616145e+51,3.2638032628637233e+51,16,0,0,0,8.027676113912478e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,G2a,46080,9.253427630471687e+49,0.027464908460437736,3.369182039620023e+51,3.369182039622397e+51,14,0,0,0,7.419349152648881e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,G1,46080,1.1747632598920348e+50,0.023916259572287882,4.9119857406683166e+51,4.91198574067189e+51,14,0,0,0,9.143461259914775e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,G2a,46080,4.879711221373275e+49,0.012326184745082513,3.9588172028005215e+51,3.958817202804314e+51,13,0,0,0,7.24696997524578e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,G1,46080,1.3381561347471312e+50,0.027242671404111858,4.9119857406683053e+51,4.9119857406705404e+51,16,0,0,0,7.685341385951511e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,G2a,46080,5.482491053523232e+49,0.013848810825730109,3.958817202800527e+51,3.958817202801752e+51,13,0,0,0,8.074199819546074e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,G1,46080,1.8162970293028793e+50,0.024582731125542896,7.388507892093382e+51,7.388507892097827e+51,16,0,0,0,8.601942369162249e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,G2a,46080,6.577519258111965e+49,0.010426678118840866,6.30835553101621e+51,6.308355531018505e+51,12,0,0,0,8.239047207599942e-16,False
