interval_index,substep,quantity,shape_a,shape_b,total_variation,l1_distance,same_global_sum_by_construction
0,1,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,6.480891882564993e-07,1.2961783765129986e-06,True
0,1,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,9.905927943297772e-07,1.9811855886595545e-06,True
0,1,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.477896043408514e-07,6.955792086817028e-07,True
0,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.5587072839352724e-16,7.117414567870545e-16,True
0,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.5388555772537227e-16,3.0777111545074454e-16,True
0,1,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2.366999689784252e-16,4.733999379568504e-16,True
0,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.464652329263542e-06,6.929304658527084e-06,True
0,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,5.295659446862539e-06,1.0591318893725078e-05,True
0,1,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.859265799517772e-06,3.718531599035544e-06,True
0,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.8393998075984935e-16,3.678799615196987e-16,True
0,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.8206295574873382e-16,3.6412591149746765e-16,True
0,1,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2.842642570985432e-18,5.685285141970864e-18,True
0,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.464652324889701e-06,6.929304649779402e-06,True
0,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,5.295659433654136e-06,1.0591318867308272e-05,True
0,1,G2a_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.8592657974174065e-06,3.718531594834813e-06,True
0,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,6.477862764893188e-07,1.2955725529786376e-06,True
0,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,9.90129799259687e-07,1.980259598519374e-06,True
0,2,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.4762705039619494e-07,6.952541007923899e-07,True
0,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.5808246869891277e-16,5.161649373978255e-16,True
0,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,6.217052426257114e-17,1.2434104852514227e-16,True
0,2,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2.4494498768699857e-16,4.898899753739971e-16,True
0,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.464652329139253e-06,6.929304658278506e-06,True
0,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,5.295659446695432e-06,1.0591318893390865e-05,True
0,2,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.8592657994645453e-06,3.7185315989290907e-06,True
0,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.479611347320666e-18,6.959222694641332e-18,True
0,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.0994487655360818e-18,2.1988975310721637e-18,True
0,2,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2.4106557678857388e-18,4.8213115357714775e-18,True
0,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.4646523337997476e-06,6.929304667599495e-06,True
0,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,5.295659432581201e-06,1.0591318865162402e-05,True
