s,time_s,node_a_baseline_J,node_b_baseline_J,partition_shape_f,node_a_redistributed_J,node_b_redistributed_J,baseline_pointwise_total_J,redistributed_pointwise_total_J
0.0,0.0,1.0961549859190125e+48,1.0541124515878392e+48,0.0,1.0961549859190125e+48,1.0541124515878392e+48,2.1502674375068517e+48,2.1502674375068517e+48
0.001,638562959250.9846,1.0961672662322658e+48,1.0541242427787482e+48,0.000999,1.0965884895679202e+48,1.0537030194430937e+48,2.150291509011014e+48,2.150291509011014e+48
0.002,1277125918501.9692,1.0961795465455192e+48,1.054136033969657e+48,0.001996,1.0970211499268668e+48,1.0532944305883093e+48,2.150315580515176e+48,2.150315580515176e+48
0.003,1915688877752.9539,1.0961918268587723e+48,1.054147825160566e+48,0.002991,1.097452966995852e+48,1.0528866850234863e+48,2.1503396520193384e+48,2.1503396520193384e+48
0.004,2554251837003.9385,1.0962041071720257e+48,1.054159616351475e+48,0.003984,1.0978839407748761e+48,1.0524797827486247e+48,2.1503637235235006e+48,2.1503637235235006e+48
0.005,3192814796254.9233,1.096216387485279e+48,1.054171407542384e+48,0.004975,1.0983140712639388e+48,1.0520737237637242e+48,2.150387795027663e+48,2.150387795027663e+48
0.006,3831377755505.9077,1.0962286677985325e+48,1.0541831987332928e+48,0.005964,1.0987433584630404e+48,1.0516685080687849e+48,2.150411866531825e+48,2.150411866531825e+48
0.007,4469940714756.893,1.0962409481117857e+48,1.0541949899242018e+48,0.006951,1.0991718023721806e+48,1.051264135663807e+48,2.1504359380359874e+48,2.1504359380359874e+48
0.008,5108503674007.877,1.0962532284250392e+48,1.0542067811151108e+48,0.007936,1.0995994029913596e+48,1.0508606065487904e+48,2.15046000954015e+48,2.15046000954015e+48
0.009000000000000001,5747066633258.862,1.0962655087382923e+48,1.0542185723060197e+48,0.008919000000000002,1.100026160320577e+48,1.050457920723735e+48,2.150484081044312e+48,2.150484081044312e+48
0.01,6385629592509.847,1.0962777890515456e+48,1.0542303634969285e+48,0.0099,1.1004520743598334e+48,1.0500560781886407e+48,2.150508152548474e+48,2.150508152548474e+48
0.011,7024192551760.83,1.096290069364799e+48,1.0542421546878377e+48,0.010879,1.1008771451091287e+48,1.049655078943508e+48,2.1505322240526366e+48,2.1505322240526366e+48
0.012,7662755511011.815,1.0963023496780523e+48,1.0542539458787466e+48,0.011856,1.1013013725684624e+48,1.0492549229883365e+48,2.150556295556799e+48,2.150556295556799e+48
0.013000000000000001,8301318470262.801,1.0963146299913057e+48,1.0542657370696554e+48,0.012831,1.1017247567378351e+48,1.048855610323126e+48,2.150580367060961e+48,2.150580367060961e+48
0.014,8939881429513.785,1.096326910304559e+48,1.0542775282605644e+48,0.013804,1.1021472976172464e+48,1.048457140947877e+48,2.1506044385651234e+48,2.1506044385651234e+48
0.015,9578444388764.77,1.0963391906178122e+48,1.0542893194514734e+48,0.014775,1.1025689952066963e+48,1.0480595148625893e+48,2.1506285100692856e+48,2.1506285100692856e+48
0.016,10217007348015.754,1.0963514709310655e+48,1.0543011106423823e+48,0.015744,1.1029898495061852e+48,1.0476627320672627e+48,2.150652581573448e+48,2.150652581573448e+48
0.017,10855570307266.74,1.096363751244319e+48,1.0543129018332911e+48,0.016711,1.1034098605157128e+48,1.0472667925618973e+48,2.15067665307761e+48,2.15067665307761e+48
0.018000000000000002,11494133266517.725,1.0963760315575722e+48,1.0543246930242001e+48,0.017676,1.1038290282352788e+48,1.0468716963464935e+48,2.1507007245817723e+48,2.1507007245817723e+48
0.019,12132696225768.707,1.0963883118708257e+48,1.0543364842151092e+48,0.018639,1.104247352664884e+48,1.0464774434210509e+48,2.150724796085935e+48,2.150724796085935e+48
0.02,12771259185019.693,1.0964005921840788e+48,1.054348275406018e+48,0.0196,1.1046648338045275e+48,1.0460840337855693e+48,2.1507488675900968e+48,2.1507488675900968e+48
0.021,13409822144270.678,1.096412872497332e+48,1.054360066596927e+48,0.020559,1.1050814716542099e+48,1.0456914674400492e+48,2.150772939094259e+48,2.150772939094259e+48
0.022,14048385103521.66,1.0964251528105855e+48,1.054371857787836e+48,0.021515999999999997,1.105497266213931e+48,1.0452997443844904e+48,2.1507970105984216e+48,2.1507970105984216e+48
0.023,14686948062772.646,1.0964374331238388e+48,1.0543836489787449e+48,0.022470999999999998,1.1059122174836908e+48,1.0449088646188928e+48,2.150821082102584e+48,2.150821082102584e+48
