s,time_s,baseline_J,null_shape_g,plus_J,minus_J
0.0,0.0,1.0961549859190125e+48,-0.0,1.0961549859190125e+48,1.0961549859190125e+48
0.001,638562959250.9846,1.0961672662322658e+48,-0.000498501,1.0938957769506886e+48,1.0984387555138429e+48
0.002,1277125918501.9692,1.0961795465455192e+48,-0.000994008,1.0916502105606326e+48,1.1007088825304058e+48
0.003,1915688877752.9539,1.0961918268587723e+48,-0.001486527,1.0894182594090076e+48,1.102965394308537e+48
0.004,2554251837003.9385,1.0962041071720257e+48,-0.001976064,1.0871998961559785e+48,1.105208318188073e+48
0.005,3192814796254.9233,1.096216387485279e+48,-0.002462625,1.0849950934617083e+48,1.1074376815088498e+48
0.006,3831377755505.9077,1.0962286677985325e+48,-0.0029462159999999998,1.0828038239863611e+48,1.1096535116107038e+48
0.007,4469940714756.893,1.0962409481117857e+48,-0.0034268429999999997,1.0806260603901004e+48,1.1118558358334711e+48
0.008,5108503674007.877,1.0962532284250392e+48,-0.003904512,1.0784617753330904e+48,1.114044681516988e+48
0.009000000000000001,5747066633258.862,1.0962655087382923e+48,-0.004379229000000001,1.0763109414754943e+48,1.1162200760010903e+48
0.01,6385629592509.847,1.0962777890515456e+48,-0.004851,1.0741735314774764e+48,1.1183820466256147e+48
0.011,7024192551760.83,1.096290069364799e+48,-0.005319831,1.0720495179992006e+48,1.1205306207303974e+48
0.012,7662755511011.815,1.0963023496780523e+48,-0.005785728,1.0699388737008303e+48,1.1226658256552742e+48
0.013000000000000001,8301318470262.801,1.0963146299913057e+48,-0.006248697,1.0678415712425297e+48,1.1247876887400817e+48
0.014,8939881429513.785,1.096326910304559e+48,-0.006708744,1.065757583284462e+48,1.126896237324656e+48
0.015,9578444388764.77,1.0963391906178122e+48,-0.0071658749999999995,1.0636868824867914e+48,1.1289914987488331e+48
0.016,10217007348015.754,1.0963514709310655e+48,-0.007620096000000001,1.0616294415096816e+48,1.1310735003524494e+48
0.017,10855570307266.74,1.096363751244319e+48,-0.008071413,1.0595852330132966e+48,1.1331422694753413e+48
0.018000000000000002,11494133266517.725,1.0963760315575722e+48,-0.008519832,1.0575542296577998e+48,1.1351978334573446e+48
0.019,12132696225768.707,1.0963883118708257e+48,-0.008965359,1.0555364041033554e+48,1.137240219638296e+48
0.02,12771259185019.693,1.0964005921840788e+48,-0.009408,1.0535317290101266e+48,1.139269455358031e+48
0.021,13409822144270.678,1.096412872497332e+48,-0.009847761,1.0515401770382779e+48,1.1412855679563862e+48
0.022,14048385103521.66,1.0964251528105855e+48,-0.010284647999999999,1.0495617208479728e+48,1.1432885847731982e+48
0.023,14686948062772.646,1.0964374331238388e+48,-0.010718666999999998,1.0475963330993749e+48,1.1452785331483027e+48
0.024,15325511022023.63,1.0964497134370922e+48,-0.011149824,1.0456439864526483e+48,1.1472554404215361e+48
0.025,15964073981274.617,1.0964619937503455e+48,-0.011578125,1.0437046535679565e+48,1.1492193339327345e+48
0.026000000000000002,16602636940525.602,1.0964742740635988e+48,-0.012003576,1.0417783071054635e+48,1.151170241021734e+48
0.027,17241199899776.584,1.096486554376852e+48,-0.012426182999999999,1.039864919725333e+48,1.153108189028371e+48
0.028,17879762859027.57,1.0964988346901055e+48,-0.012845951999999999,1.0379644640877291e+48,1.1550332052924818e+48
0.029,18518325818278.555,1.0965111150033587e+48,-0.013262889,1.0360769128528151e+48,1.1569453171539024e+48
0.03,19156888777529.54,1.096523395316612e+48,-0.013676999999999998,1.034202238680755e+48,1.158844551952469e+48
0.031,19795451736780.523,1.0965356756298655e+48,-0.014088291,1.0323404142317127e+48,1.1607309370280182e+48
0.032,20434014696031.508,1.0965479559431186e+48,-0.014496767999999998,1.0304914121658515e+48,1.1626044997203857e+48
0.033,21072577655282.492,1.096560236256372e+48,-0.014902437,1.028655205143336e+48,1.164465267369408e+48
0.034,21711140614533.48,1.0965725165696253e+48,-0.015305303999999999,1.0268317658243295e+48,1.166313267314921e+48
0.035,22349703573784.465,1.0965847968828787e+48,-0.015705374999999997,1.025021066868996e+48,1.1681485268967614e+48
0.036000000000000004,22988266533035.45,1.096597077196132e+48,-0.016102656,1.023223080937499e+48,1.169971073454765e+48
0.037,23626829492286.43,1.0966093575093853e+48,-0.016497153,1.0214377806900023e+48,1.1717809343287682e+48
0.038,24265392451537.414,1.0966216378226385e+48,-0.016888872,1.0196651387866701e+48,1.173578136858607e+48
0.039,24903955410788.4,1.096633918135892e+48,-0.017277819,1.017905127887666e+48,1.175362708384118e+48
0.04,25542518370039.387,1.0966461984491453e+48,-0.017664,1.0161577206531534e+48,1.1771346762451371e+48
0.041,26181081329290.37,1.0966584787623985e+48,-0.018047421,1.0144228897432966e+48,1.1788940677815005e+48
0.042,26819644288541.355,1.096670759075652e+48,-0.018428088000000002,1.0127006078182594e+48,1.1806409103330445e+48
0.043000000000000003,27458207247792.34,1.0966830393889051e+48,-0.018806007,1.010990847538205e+48,1.1823752312396051e+48
0.044,28096770207043.32,1.0966953197021585e+48,-0.019181184,1.009293581563298e+48,1.184097057841019e+48
0.045,28735333166294.31,1.0967076000154118e+48,-0.019553625,1.0076087825537016e+48,1.185806417477122e+48
0.046,29373896125545.293,1.0967198803286652e+48,-0.019923336,1.0059364231695798e+48,1.1875033374877507e+48
0.047,30012459084796.277,1.0967321606419185e+48,-0.020290323,1.0042764760710964e+48,1.1891878452127406e+48
0.048,30651022044047.26,1.096744440955172e+48,-0.020654592,1.0026289139184152e+48,1.1908599679919287e+48
0.049,31289585003298.246,1.096756721268425e+48,-0.021016149,1.0009937093716997e+48,1.1925197331651504e+48
0.05,31928147962549.234,1.0967690015816783e+48,-0.021375,9.993708350911142e+47,1.1941671680722425e+48
0.051000000000000004,32566710921800.22,1.0967812818949318e+48,-0.021731151000000004,9.977602637368223e+47,1.1958023000530413e+48
0.052000000000000005,33205273881051.203,1.096793562208185e+48,-0.022084608,9.961619679689877e+47,1.1974251564473824e+48
0.053,33843836840302.184,1.0968058425214385e+48,-0.022435377,9.945759204477742e+47,1.1990357645951028e+48
0.054,34482399799553.168,1.0968181228346916e+48,-0.022783464,9.930020938333454e+47,1.2006341518360377e+48
0.055,35120962758804.156,1.096830403147945e+48,-0.023128875,9.914404607858657e+47,1.2022203455100244e+48
0.056,35759525718055.14,1.0968426834611983e+48,-0.023471616,9.898909939654982e+47,1.2037943729568984e+48
0.057,36398088677306.125,1.0968549637744517e+48,-0.023811693000000002,9.883536660324072e+47,1.2053562615164963e+48
0.058,37036651636557.11,1.096867244087705e+48,-0.024149112,9.868284496467562e+47,1.2069060385286538e+48
0.059000000000000004,37675214595808.09,1.0968795244009585e+48,-0.024483879,9.853153174687092e+47,1.2084437313332077e+48
0.06,38313777555059.08,1.0968918047142116e+48,-0.024815999999999998,9.838142421584296e+47,1.2099693672699935e+48
0.061,38952340514310.06,1.096904085027465e+48,-0.025145481,9.823251963760817e+47,1.2114829736788483e+48
0.062,39590903473561.05,1.0969163653407183e+48,-0.025472328,9.80848152781829e+47,1.2129845778996076e+48
0.063,40229466432812.03,1.0969286456539717e+48,-0.025796547000000003,9.793830840358355e+47,1.2144742072721079e+48
0.064,40868029392063.016,1.096940925967225e+48,-0.026118144,9.779299627982646e+47,1.2159518891361853e+48
0.065,41506592351314.0,1.0969532062804784e+48,-0.026437125000000002,9.764887617292805e+47,1.2174176508316763e+48
0.066,42145155310564.984,1.0969654865937315e+48,-0.026753495999999998,9.750594534890466e+47,1.2188715196984165e+48
0.067,42783718269815.97,1.096977766906985e+48,-0.027067263000000005,9.73642010737727e+47,1.2203135230762429e+48
0.068,43422281229066.96,1.0969900472202383e+48,-0.027378432,9.722364061354856e+47,1.2217436883049909e+48
0.069,44060844188317.945,1.0970023275334917e+48,-0.027687009000000002,9.70842612342486e+47,1.2231620427244974e+48
0.07,44699407147568.93,1.0970146078467448e+48,-0.027993,9.694606020188916e+47,1.224568613674598e+48
0.07100000000000001,45337970106819.914,1.0970268881599984e+48,-0.028296411,9.680903478248672e+47,1.2259634284951296e+48
0.07200000000000001,45976533066070.9,1.0970391684732514e+48,-0.028597248,9.667318224205753e+47,1.2273465145259274e+48
0.073,46615096025321.875,1.097051448786505e+48,-0.028895516999999996,9.65384998466181e+47,1.2287178991068289e+48
0.074,47253658984572.86,1.0970637290997582e+48,-0.029191223999999998,9.640498486218471e+47,1.2300776095776693e+48
0.075,47892221943823.84,1.0970760094130117e+48,-0.029484375,9.627263455477378e+47,1.2314256732782855e+48
0.076,48530784903074.83,1.097088289726265e+48,-0.029774975999999998,9.614144619040169e+47,1.232762117548513e+48
0.077,49169347862325.81,1.097100570039518e+48,-0.030063033000000003,9.60114170350848e+47,1.2340869697281882e+48
0.078,49807910821576.8,1.0971128503527715e+48,-0.030348552,9.588254435483952e+47,1.2354002571571478e+48
0.079,50446473780827.79,1.0971251306660248e+48,-0.030631539,9.57548254156822e+47,1.2367020071752274e+48
0.08,51085036740078.77,1.0971374109792782e+48,-0.030912,9.562825748362926e+47,1.2379922471222638e+48
0.081,51723599699329.76,1.0971496912925315e+48,-0.031189941000000002,9.550283782469702e+47,1.2392710043380927e+48
0.082,52362162658580.74,1.0971619716057849e+48,-0.031465368,9.537856370490192e+47,1.2405383061625506e+48
0.083,53000725617831.73,1.097174251919038e+48,-0.031738287000000004,9.525543239026027e+47,1.2417941799354734e+48
0.084,53639288577082.71,1.0971865322322915e+48,-0.032008704000000006,9.51334411467885e+47,1.243038652996698e+48
0.085,54277851536333.695,1.0971988125455447e+48,-0.032276625,9.501258724050299e+47,1.2442717526860596e+48
0.08600000000000001,54916414495584.68,1.097211092858798e+48,-0.032542056,9.48928679374201e+47,1.245493506343395e+48
0.08700000000000001,55554977454835.664,1.0972233731720514e+48,-0.032805003000000006,9.477428050355623e+47,1.2467039413085406e+48
0.088,56193540414086.64,1.0972356534853046e+48,-0.033065472,9.465682220492772e+47,1.247903084921332e+48
0.089,56832103373337.63,1.097247933798558e+48,-0.033323469,9.454049030755099e+47,1.2490909645216061e+48
0.09,57470666332588.62,1.0972602141118113e+48,-0.033579000000000005,9.44252820774424e+47,1.2502676074491986e+48
0.091,58109229291839.6,1.0972724944250647e+48,-0.033832071000000005,9.431119478061835e+47,1.251433041043946e+48
0.092,58747792251090.586,1.097284774738318e+48,-0.034082688,9.419822568309517e+47,1.2525872926456842e+48
0.093,59386355210341.57,1.0972970550515714e+48,-0.034330857,9.408637205088931e+47,1.2537303895942497e+48
0.094,60024918169592.555,1.0973093353648245e+48,-0.034576584,9.397563115001706e+47,1.2548623592294784e+48
0.095,60663481128843.54,1.097321615678078e+48,-0.03481987500000001,9.38660002464949e+47,1.255983228891207e+48
0.096,61302044088094.52,1.0973338959913312e+48,-0.035060736,9.375747660633914e+47,1.257093025919271e+48
0.097,61940607047345.51,1.0973461763045845e+48,-0.035299173,9.365005749556617e+47,1.2581917776535074e+48
0.098,62579170006596.49,1.097358456617838e+48,-0.035535192,9.354374018019239e+47,1.259279511433752e+48
0.099,63217732965847.484,1.097370736931091e+48,-0.035768799000000004,9.343852192623413e+47,1.2603562545998408e+48
0.1,63856295925098.47,1.0973830172443445e+48,-0.036000000000000004,9.333439999970785e+47,1.2614220344916105e+48
0.101,64494858884349.45,1.0973952975575978e+48,-0.036228801000000005,9.323137166662987e+47,1.2624768784488968e+48
0.10200000000000001,65133421843600.44,1.0974075778708512e+48,-0.036455208,9.312943419301661e+47,1.2635208138115363e+48
0.10300000000000001,65771984802851.42,1.0974198581841045e+48,-0.03667922700000001,9.302858484488439e+47,1.2645538679193651e+48
0.10400000000000001,66410547762102.41,1.097432138497358e+48,-0.036900864000000005,9.292882088824964e+47,1.2655760681122195e+48
0.105,67049110721353.38,1.097444418810611e+48,-0.037120125000000004,9.28301395891287e+47,1.2665874417299351e+48
0.106,67687673680604.37,1.0974566991238643e+48,-0.037337016,9.273253821353799e+47,1.2675880161123488e+48
0.107,68326236639855.35,1.0974689794371178e+48,-0.037551543,9.263601402749387e+47,1.2685778185992968e+48
0.108,68964799599106.336,1.097481259750371e+48,-0.037763712000000005,9.25405642970127e+47,1.269556876530615e+48
0.109,69603362558357.32,1.0974935400636245e+48,-0.037973529,9.244618628811091e+47,1.2705252172461398e+48
0.11,70241925517608.31,1.0975058203768776e+48,-0.038181,9.235287726680482e+47,1.271482868085707e+48
0.111,70880488476859.3,1.097518100690131e+48,-0.038386131000000004,9.226063449911085e+47,1.2724298563891535e+48
0.112,71519051436110.28,1.0975303810033843e+48,-0.038588928,9.216945525104537e+47,1.273366209496315e+48
0.113,72157614395361.27,1.0975426613166377e+48,-0.038789397,9.207933678862477e+47,1.2742919547470278e+48
0.114,72796177354612.25,1.097554941629891e+48,-0.038987544000000006,9.199027637786538e+47,1.2752071194811283e+48
0.115,73434740313863.23,1.0975672219431444e+48,-0.039183375,9.190227128478365e+47,1.2761117310384524e+48
0.116,74073303273114.22,1.0975795022563976e+48,-0.039376896,9.181531877539587e+47,1.2770058167588364e+48
0.117,74711866232365.2,1.0975917825696508e+48,-0.039568113,9.172941611571851e+47,1.2778894039821165e+48
0.11800000000000001,75350429191616.19,1.0976040628829043e+48,-0.039757032000000005,9.164456057176792e+47,1.2787625200481293e+48
0.11900000000000001,75988992150867.17,1.0976163431961575e+48,-0.039943659,9.156074940956046e+47,1.2796251922967105e+48
0.12,76627555110118.16,1.097628623509411e+48,-0.040128,9.147797989511253e+47,1.2804774480676967e+48
0.121,77266118069369.14,1.0976409038226641e+48,-0.040310061,9.139624929444046e+47,1.2813193147009236e+48
0.122,77904681028620.12,1.0976531841359175e+48,-0.040489848,9.131555487356072e+47,1.2821508195362279e+48
0.123,78543243987871.11,1.0976654644491708e+48,-0.040667366999999996,9.123589389848961e+47,1.2829719899134455e+48
0.124,79181806947122.1,1.0976777447624242e+48,-0.040842624,9.115726363524354e+47,1.2837828531724131e+48
0.125,79820369906373.08,1.0976900250756775e+48,-0.041015625,9.10796613498389e+47,1.284583436652966e+48
0.126,80458932865624.06,1.0977023053889308e+48,-0.041186376,9.100308430829203e+47,1.2853737676949412e+48
0.127,81097495824875.05,1.097714585702184e+48,-0.041354883,9.092752977661934e+47,1.2861538736381747e+48
0.128,81736058784126.03,1.0977268660154373e+48,-0.041521152000000006,9.08529950208372e+47,1.2869237818225026e+48
0.129,82374621743377.02,1.0977391463286908e+48,-0.041685189,9.077947730696203e+47,1.2876835195877613e+48
0.13,83013184702628.0,1.097751426641944e+48,-0.041847,9.070697390101014e+47,1.2884331142737867e+48
0.131,83651747661878.98,1.0977637069551975e+48,-0.042006591,9.063548206899796e+47,1.2891725932204153e+48
0.132,84290310621129.97,1.0977759872684508e+48,-0.042163968,9.056499907694184e+47,1.2899019837674832e+48
0.133,84928873580380.95,1.097788267581704e+48,-0.042319137,9.049552219085815e+47,1.2906213132548265e+48
0.134,85567436539631.94,1.0978005478949573e+48,-0.042472104000000004,9.04270486767633e+47,1.2913306090222816e+48
0.135,86205999498882.94,1.0978128282082106e+48,-0.042622875,9.035957580067368e+47,1.2920298984096844e+48
0.136,86844562458133.92,1.097825108521464e+48,-0.042771456000000006,9.029310082860564e+47,1.2927192087568717e+48
0.137,87483125417384.9,1.0978373888347173e+48,-0.042917853,9.022762102657555e+47,1.293398567403679e+48
0.138,88121688376635.89,1.0978496691479707e+48,-0.043062072,9.016313366059983e+47,1.2940680016899432e+48
0.139,88760251335886.88,1.097861949461224e+48,-0.043204119,9.009963599669482e+47,1.2947275389554998e+48
0.14,89398814295137.86,1.0978742297744773e+48,-0.043344,9.003712530087692e+47,1.2953772065401854e+48
0.14100000000000001,90037377254388.84,1.0978865100877306e+48,-0.043481721,8.99755988391625e+47,1.2960170317838362e+48
0.14200000000000002,90675940213639.83,1.097898790400984e+48,-0.043617288000000004,8.991505387756795e+47,1.2966470420262885e+48
0.14300000000000002,91314503172890.81,1.0979110707142373e+48,-0.043750707,8.985548768210962e+47,1.2972672646073783e+48
0.14400000000000002,91953066132141.8,1.0979233510274907e+48,-0.043881984000000006,8.979689751880393e+47,1.2978777268669421e+48
0.145,92591629091392.77,1.0979356313407438e+48,-0.04401112499999999,8.973928065366723e+47,1.2984784561448154e+48
0.146,93230192050643.75,1.0979479116539971e+48,-0.044138135999999994,8.968263435271591e+47,1.299069479780835e+48
0.147,93868755009894.73,1.0979601919672505e+48,-0.044263023,8.962695588196636e+47,1.2996508251148374e+48
0.148,94507317969145.72,1.0979724722805038e+48,-0.04438579199999999,8.957224250743495e+47,1.3002225194866582e+48
0.149,95145880928396.7,1.0979847525937572e+48,-0.044506449,8.951849149513807e+47,1.3007845902361338e+48
0.15,95784443887647.69,1.0979970329070104e+48,-0.044625,8.946570011109203e+47,1.3013370647031004e+48
0.151,96423006846898.67,1.0980093132202638e+48,-0.04474145099999999,8.941386562131332e+47,1.3018799702273944e+48
0.152,97061569806149.66,1.098021593533517e+48,-0.04485580799999999,8.936298529181824e+47,1.3024133341488518e+48
0.153,97700132765400.64,1.0980338738467705e+48,-0.04496807699999999,8.931305638862322e+47,1.3029371838073088e+48
0.154,98338695724651.62,1.0980461541600238e+48,-0.04507826399999999,8.926407617774459e+47,1.3034515465426017e+48
0.155,98977258683902.61,1.098058434473277e+48,-0.045186375,8.921604192519874e+47,1.3039564496945667e+48
0.156,99615821643153.6,1.0980707147865303e+48,-0.045292415999999995,8.916895089700208e+47,1.3044519206030399e+48
0.157,100254384602404.6,1.0980829950997836e+48,-0.04539639299999999,8.912280035917097e+47,1.3049379866078575e+48
0.158,100892947561655.58,1.098095275413037e+48,-0.04549831199999999,8.90775875777218e+47,1.3054146750488561e+48
0.159,101531510520906.56,1.0981075557262903e+48,-0.045598178999999996,8.903330981867093e+47,1.3058820132658714e+48
