species,group,tau,absorbed_fraction,excess_eV
HI,G1,0.0,1.0,2.924008403812833
HI,G1,1e-06,9.999994107765017e-07,2.9240089097303463
HI,G1,0.0001,9.999410802110511e-05,2.9240589949307743
HI,G1,0.01,0.009941335393328563,2.929061172890065
HI,G1,0.1,0.09435755817477201,2.97395138979765
HI,G1,1.0,0.5994567399107124,3.3603081770900127
HI,G1,10.0,0.9971902030510441,4.149885844553068
HI,G1,100.0,1.0,4.164175190054125
HI,G1,inf,1.0,4.164175190054125
HI,G2a,0.0,1.0,15.49876225979477
HI,G2a,1e-06,9.9999943338677e-07,15.498762907338806
HI,G2a,0.0001,9.999433410026894e-05,15.498827013315465
HI,G2a,0.01,0.009943572800795967,15.50522877500285
HI,G2a,0.1,0.09456120454812664,15.562616296930948
HI,G2a,1.0,0.607734544711462,16.05219858416127
HI,G2a,10.0,0.9986164899078509,16.98130798372469
HI,G2a,100.0,1.0,16.99043150686436
HI,G2a,inf,1.0,16.99043150686436
HI,G2b,0.0,1.0,31.261852675211795
HI,G2b,1e-06,9.999994652720789e-07,31.261853191980652
HI,G2b,0.0001,9.999465292062012e-05,31.26190435132085
HI,G2b,0.01,0.009946728444498322,31.267012520323014
HI,G2b,0.1,0.09484873130656543,31.312741898328714
HI,G2b,1.0,0.6193811552015329,31.69878590396973
HI,G2b,10.0,0.9995924244214478,32.367068522523944
HI,G2b,100.0,1.0,32.369498433973796
HI,G2b,inf,1.0,32.369498433973796
HI,G3,0.0,1.0,52.27078716107162
HI,G3,1e-06,9.999993890472705e-07,52.270789405287076
HI,G3,0.0001,9.99938907524665e-05,52.27101157987273
HI,G3,0.01,0.009939186239916112,52.29320155051263
HI,G3,0.1,0.09416279751681844,52.49239011771305
HI,G3,1.0,0.5917923228850919,54.2085835251361
HI,G3,10.0,0.995416331731384,57.84807736576213
HI,G3,100.0,0.9999999999999991,57.94566920339078
HI,G3,inf,1.0,57.9456692033908
HeI,G1,0.0,0.0,0.0
HeI,G1,1e-06,0.0,0.0
HeI,G1,0.0001,0.0,0.0
HeI,G1,0.01,0.0,0.0
HeI,G1,0.1,0.0,0.0
HeI,G1,1.0,0.0,0.0
HeI,G1,10.0,0.0,0.0
HeI,G1,100.0,0.0,0.0
HeI,G1,inf,0.0,0.0
HeI,G2a,0.0,1.0,5.058090825749232
HeI,G2a,1e-06,9.999994742750606e-07,5.058091255691899
HeI,G2a,0.0001,9.9994742940999e-05,5.0581338194060885
HeI,G2a,0.01,0.00994761926309875,5.062384089246728
HeI,G2a,0.1,0.09492972991681975,5.100465712564532
HeI,G2a,1.0,0.622557783551698,5.42469759277551
HeI,G2a,10.0,0.9996988377672552,5.998603292623535
HeI,G2a,100.0,1.0,6.00043150686436
HeI,G2a,inf,1.0,6.00043150686436
HeI,G2b,0.0,1.0,20.609957426545638
HeI,G2b,1e-06,9.99999483457385e-07,20.60995779309084
HeI,G2b,0.0001,9.999483475524192e-05,20.609994080505203
HeI,G2b,0.01,0.0099485284504084,20.613617217830175
HeI,G2b,0.1,0.09501290726273232,20.64604437537882
HeI,G2b,1.0,0.6260119950519362,20.91950868623229
HeI,G2b,10.0,0.9998339179985958,21.37860941265103
HeI,G2b,100.0,1.0,21.379498433973794
HeI,G2b,inf,1.0,21.379498433973794
HeI,G3,0.0,1.0,42.361130322402616
HeI,G3,1e-06,9.999994299474118e-07,42.36113220991994
HeI,G3,0.0001,9.99942997093247e-05,42.36131907181026
HeI,G3,0.01,0.009943231518865397,42.37998198324238
HeI,G3,0.1,0.09452937271263832,42.54750352730455
HeI,G3,1.0,0.6061350736161861,43.99430950773619
HeI,G3,10.0,0.9981422218636729,46.91628563774135
HeI,G3,100.0,1.0,46.9556692033908
HeI,G3,inf,1.0,46.9556692033908
HeII,G1,0.0,0.0,0.0
HeII,G1,1e-06,0.0,0.0
HeII,G1,0.0001,0.0,0.0
HeII,G1,0.01,0.0,0.0
HeII,G1,0.1,0.0,0.0
HeII,G1,1.0,0.0,0.0
HeII,G1,10.0,0.0,0.0
HeII,G1,100.0,0.0,0.0
HeII,G1,inf,0.0,0.0
HeII,G2a,0.0,0.0,0.0
HeII,G2a,1e-06,0.0,0.0
HeII,G2a,0.0001,0.0,0.0
HeII,G2a,0.01,0.0,0.0
HeII,G2a,0.1,0.0,0.0
HeII,G2a,1.0,0.0,0.0
HeII,G2a,10.0,0.0,0.0
HeII,G2a,100.0,0.0,0.0
HeII,G2a,inf,0.0,0.0
HeII,G2b,0.0,0.0,0.0
HeII,G2b,1e-06,0.0,0.0
HeII,G2b,0.0001,0.0,0.0
HeII,G2b,0.01,0.0,0.0
HeII,G2b,0.1,0.0,0.0
HeII,G2b,1.0,0.0,0.0
HeII,G2b,10.0,0.0,0.0
HeII,G2b,100.0,0.0,0.0
HeII,G2b,inf,0.0,0.0
HeII,G3,0.0,1.0000000000000002,11.890070922932452
HeII,G3,1e-06,9.99999406768169e-07,11.890073037166172
HeII,G3,0.0001,9.999406794200257e-05,11.890282343691664
HeII,G3,0.01,0.00994093880700492,11.91118683130048
HeII,G3,0.1,0.09432150773528002,12.098815973049
HeII,G3,1.0,0.5980001576778425,13.715663811554457
HeII,G3,10.0,0.996861646207295,17.059114501677104
HeII,G3,100.0,1.0,17.125669203390796
HeII,G3,inf,1.0,17.125669203390796
