species,group,supported,gray_sigma_cm2,thin_excess_eV,thick_excess_eV,group_lo_eV,group_hi_eV,threshold_eV
HI,G1,True,3.514656803713979e-18,2.924008403812833,4.164175190054125,13.6,24.59,13.6
HI,G2a,True,7.325959161486502e-19,15.498762259794773,16.99043150686436,24.59,39.5,13.6
HI,G2b,True,2.1304056570433978e-19,31.26185267521179,32.369498433973796,39.5,54.42,13.6
HI,G3,True,6.398205166539379e-20,52.270787161071624,57.9456692033908,54.42,100.0,13.6
HeI,G1,False,0.0,0.0,0.0,13.6,24.59,24.59
HeI,G2a,True,5.371732151822615e-18,5.0580908257492325,6.00043150686436,24.59,39.5,24.59
HeI,G2b,True,2.456081711325024e-18,20.60995742654564,21.379498433973794,39.5,54.42,24.59
HeI,G3,True,1.0097747338299425e-18,42.36113032240261,46.9556692033908,54.42,100.0,24.59
HeII,G1,False,0.0,0.0,0.0,13.6,24.59,54.42
HeII,G2a,False,0.0,0.0,0.0,24.59,39.5,54.42
HeII,G2b,False,0.0,0.0,0.0,39.5,54.42,54.42
HeII,G3,True,8.695736749954114e-19,11.890070922932457,17.125669203390796,54.42,100.0,54.42
