z,column,actual,expected,relative_residual
5.5,N1,8.678533077478965e+64,8.678533077478964e+64,1.3472338002592077e-16
5.5,N2,8.075207262017208e+64,8.075207262017208e+64,0.0
5.5,N3,1.6080365903979422e+65,1.6080365903979422e+65,0.0
5.5,N4_exact,0.0,0.0,0.0
5.5,xHII,0.9999201230238028,0.9999201230238028,0.0
5.5,xHeI,6.813992647120793e-05,6.813992647120793e-05,0.0
5.5,xHeII,0.9977185323140941,0.997718532314094,1.112761754610412e-16
5.5,xHeIII,0.0022133277594345987,0.0022133277594345,4.467446708206335e-14
5.5,T_K,15113.422814278609,15113.422814278609,0.0
5.5,Gamma_HI,1.1424905658719444e-13,1.1424905658719444e-13,0.0
5.5,Gamma_HeII_exact,0.0,0.0,0.0
5.5,Gamma_HeI,2.3763129424602873e-13,2.376312942460288e-13,2.1245980288216388e-16
5.6,N1,1.217836895803048e+65,1.217836895803048e+65,0.0
5.6,N2,9.252080229399122e+64,9.252080229399122e+64,0.0
5.6,N3,1.4212624111682354e+65,1.4212624111682354e+65,0.0
5.6,N4_exact,0.0,0.0,0.0
5.6,xHII,0.9999375172977732,0.9999375172977732,0.0
5.6,xHeI,6.655636548703525e-05,6.655636548703525e-05,0.0
5.6,xHeII,0.9976128662714543,0.9976128662714544,1.1128796170949348e-16
5.6,xHeIII,0.0023205773630585527,0.0023205773630585,2.2799957829269585e-14
5.6,T_K,14742.796866464141,14742.79686646414,1.233815686413996e-16
5.6,Gamma_HI,1.578670459704515e-13,1.5786704597045152e-13,1.5990385334629808e-16
5.6,Gamma_HeII_exact,0.0,0.0,0.0
5.6,Gamma_HeI,2.538870927804948e-13,2.538870927804948e-13,0.0
5.7,N1,4.142464157379759e+64,4.1424641573797585e+64,1.4112388972416355e-16
5.7,N2,4.2587220149430115e+64,4.258722014943012e+64,1.3727138162132048e-16
5.7,N3,1.0530852057505012e+65,1.0530852057505012e+65,0.0
5.7,N4_exact,0.0,0.0,0.0
5.7,xHII,0.9998346829564251,0.9998346829564252,1.110406593760403e-16
5.7,xHeI,0.00012124460869854173,0.0001212446086985,3.441656627989739e-13
5.7,xHeII,0.9974425802219389,0.9974425802219388,1.1130696108623347e-16
5.7,xHeIII,0.0024361751693627426,0.0024361751693627,1.7445677016956527e-14
5.7,T_K,14373.579756777051,14373.579756777051,0.0
5.7,Gamma_HI,6.252157472031705e-14,6.252157472031706e-14,2.0187870411131227e-16
5.7,Gamma_HeII_exact,0.0,0.0,0.0
5.7,Gamma_HeI,1.5296001369918315e-13,1.5296001369918318e-13,1.650336473996222e-16
5.8,N1,6.528384808379411e+64,6.528384808379411e+64,0.0
5.8,N2,6.801165402812488e+64,6.801165402812488e+64,0.0
5.8,N3,7.943383091932291e+64,7.94338309193229e+64,1.4719185721411616e-16
5.8,N4_exact,0.0,0.0,0.0
5.8,xHII,0.9998854503235987,0.9998854503235988,1.1103502148829635e-16
5.8,xHeI,0.00010521688181626419,0.0001052168818162,6.100234820038197e-13
5.8,xHeII,0.9973336864932917,0.9973336864932916,1.1131911412004875e-16
5.8,xHeIII,0.0025610966248919265,0.0025610966248919,1.0329377170516805e-14
5.8,T_K,13995.068790060013,13995.068790060011,1.2997359504497702e-16
5.8,Gamma_HI,9.714555120847936e-14,9.714555120847937e-14,1.299264281948353e-16
5.8,Gamma_HeII_exact,0.0,0.0,0.0
5.8,Gamma_HeI,1.8380913515595327e-13,1.838091351559533e-13,1.3733566041565034e-16
5.9,N1,1.2608039032813332e+65,1.2608039032813332e+65,0.0
5.9,N2,8.457919409688922e+64,8.457919409688922e+64,0.0
5.9,N3,5.491040420432763e+64,5.491040420432762e+64,2.1292892063114233e-16
5.9,N4_exact,0.0,0.0,0.0
5.9,xHII,0.9999321211237712,0.9999321211237712,0.0
5.9,xHeI,9.72582116129686e-05,9.72582116129686e-05,0.0
5.9,xHeII,0.9972066006266086,0.9972066006266086,0.0
5.9,xHeIII,0.0026961411617783,0.0026961411617783,0.0
5.9,T_K,13662.88829063213,13662.88829063213,0.0
5.9,Gamma_HI,1.770261518965671e-13,1.770261518965671e-13,0.0
5.9,Gamma_HeII_exact,0.0,0.0,0.0
5.9,Gamma_HeI,2.018306483820122e-13,2.018306483820122e-13,0.0
6.0,N1,1.8078843011227926e+65,1.8078843011227926e+65,0.0
6.0,N2,6.427146558884292e+64,6.427146558884292e+64,0.0
6.0,N3,2.3676899869126685e+64,2.3676899869126685e+64,0.0
6.0,N4_exact,0.0,0.0,0.0
6.0,xHII,0.999917,0.999917,0.0
6.0,xHeI,2.099999999994901e-05,2.099999999994901e-05,0.0
6.0,xHeII,0.997137,0.997137,0.0
6.0,xHeIII,0.002842,0.002842,0.0
6.0,T_K,13660.956629999951,13660.956629999951,0.0
6.0,Gamma_HI,2.406357625214696e-13,2.406357625214696e-13,0.0
6.0,Gamma_HeII_exact,0.0,0.0,0.0
