interval_index,node_count,quantity,candidate_average,GL256_average,absolute_variation_average,dense_relative_residual,next_node_count,nested_relative_delta
0,9,redshift_threshold_loss_rate_s-1_cMpc-3,8.663715011635203e+48,8.663715013166034e+48,8.663715013166034e+48,1.7669447825316237e-10,17.0,1.439810030895178e-10
0,9,absorption_G1_s-1_cMpc-3,4.025238781084992e+50,4.025238807587089e+50,4.025238807587089e+50,6.5839813163852695e-09,17.0,4.643468167089005e-09
0,9,absorption_G2a_s-1_cMpc-3,1.0484489658438956e+50,1.0484482572765866e+50,1.0484482572765866e+50,6.758247763525612e-07,17.0,3.0377908503370403e-06
0,9,absorption_G2b_s-1_cMpc-3,2.509051458832155e+48,2.5084861585720676e+48,2.5084861585720676e+48,0.00022535514423927086,17.0,0.00022121701729443472
0,9,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0,17.0,0.0
0,9,thermal_photoheat_erg_cm-3_s-1,6.715904776728161e-33,6.71049020537885e-33,6.71049020537885e-33,0.000806881641071702,17.0,0.0008793017312807203
0,9,thermal_photoheat_H_erg_cm-3_s-1,5.516009200269885e-33,5.510615294368488e-33,5.510615294368488e-33,0.0009788209869973823,17.0,0.001077921442123119
0,9,thermal_photoheat_HeI_erg_cm-3_s-1,1.199895576458276e-33,1.1998749110103608e-33,1.1998749110103608e-33,1.7223001935930563e-05,17.0,3.275481791604785e-05
0,9,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,17.0,0.0
0,9,thermal_threshold_H_erg_cm-3_s-1,1.6520985033807604e-32,1.6502514874723454e-32,1.6502514874723454e-32,0.0011192329911146272,17.0,0.0012324630398622438
0,9,thermal_threshold_HeI_erg_cm-3_s-1,3.6915393301894624e-33,3.691492604859116e-33,3.691492604859116e-33,1.265757116371659e-05,17.0,4.235589813280583e-05
0,9,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,17.0,0.0
0,9,thermal_recombination_cooling_erg_cm-3_s-1,1.1713046012010246e-33,1.1713047226401997e-33,1.1713047226401997e-33,1.0367854987372576e-07,17.0,1.1273001253987976e-07
0,9,thermal_excitation_cooling_erg_cm-3_s-1,2.6322247012028477e-35,2.6294507347748837e-35,2.6294507347748837e-35,0.0010549604110386456,17.0,0.001161745905740951
0,9,thermal_collisional_ionization_cooling_erg_cm-3_s-1,4.1253795038079906e-37,4.120855959167586e-37,4.120855959167586e-37,0.0010977196692210204,17.0,0.001208815131931561
0,9,thermal_free_free_cooling_erg_cm-3_s-1,9.938196651734593e-34,9.938197880669946e-34,9.938197880669946e-34,1.2365776646399645e-07,17.0,1.3462394432520058e-07
0,9,thermal_cooling_total_erg_cm-3_s-1,2.191859051336893e-33,2.19183110365086e-33,2.19183110365086e-33,1.2750839234928352e-05,17.0,1.40414854810862e-05
0,9,thermal_expansion_work_erg_cm-3_s-1,1.7552107312998933e-32,1.755210835359897e-32,1.755210835359897e-32,5.928632701830641e-08,17.0,6.421518992745163e-08
0,9,thermal_thermal_rhs_erg_cm-3_s-1,-1.302806158760767e-32,-1.303344925187098e-32,1.303344925187098e-32,0.00041337209814478474,17.0,0.00045039894899997433
0,17,redshift_threshold_loss_rate_s-1_cMpc-3,8.663715012882614e+48,8.663715013166034e+48,8.663715013166034e+48,3.2713475168354705e-11,33.0,3.2704485439034535e-11
0,17,absorption_G1_s-1_cMpc-3,4.02523879977606e+50,4.025238807587089e+50,4.025238807587089e+50,1.940513158306976e-09,33.0,1.9403344248986706e-09
0,17,absorption_G2a_s-1_cMpc-3,1.0484521508222464e+50,1.0484482572765866e+50,1.0484482572765866e+50,3.713626907911444e-06,33.0,3.7138000715092674e-06
0,17,absorption_G2b_s-1_cMpc-3,2.5084965367104104e+48,2.5084861585720676e+48,2.5084861585720676e+48,4.137211723198827e-06,33.0,4.14302014770466e-06
0,17,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0,33.0,0.0
0,17,thermal_photoheat_erg_cm-3_s-1,6.710004658015467e-33,6.71049020537885e-33,6.71049020537885e-33,7.235646704227876e-05,33.0,7.233788092505737e-05
0,17,thermal_photoheat_H_erg_cm-3_s-1,5.5100697779086824e-33,5.510615294368488e-33,5.510615294368488e-33,9.899374764251689e-05,33.0,9.897164807791375e-05
0,17,thermal_photoheat_HeI_erg_cm-3_s-1,1.199934880106785e-33,1.1998749110103608e-33,1.1998749110103608e-33,4.997945691998937e-05,33.0,4.9981904569059056e-05
0,17,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,33.0,0.0
0,17,thermal_threshold_H_erg_cm-3_s-1,1.6500648594281397e-32,1.6502514874723454e-32,1.6502514874723454e-32,0.00011309066867831724,33.0,0.00011306505519697679
0,17,thermal_threshold_HeI_erg_cm-3_s-1,3.691695695276269e-33,3.691492604859116e-33,3.691492604859116e-33,5.5015799540123434e-05,33.0,5.5018437333977586e-05
0,17,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,33.0,0.0
0,17,thermal_recombination_cooling_erg_cm-3_s-1,1.1713047332422219e-33,1.1713047226401997e-33,1.1713047226401997e-33,9.05146368652561e-09,33.0,9.049059289569793e-09
0,17,thermal_excitation_cooling_erg_cm-3_s-1,2.629170273402227e-35,2.6294507347748837e-35,2.6294507347748837e-35,0.00010666158104722398,33.0,0.00010663776261472727
0,17,thermal_collisional_ionization_cooling_erg_cm-3_s-1,4.120398703505602e-37,4.120855959167586e-37,4.120855959167586e-37,0.00011096133097459906,33.0,0.00011093656447993787
0,17,thermal_free_free_cooling_erg_cm-3_s-1,9.938197989654006e-34,9.938197880669946e-34,9.938197880669946e-34,1.096617933751444e-08,33.0,1.0963365508545654e-08
0,17,thermal_cooling_total_erg_cm-3_s-1,2.191828274811995e-33,2.19183110365086e-33,2.19183110365086e-33,1.2906281238217853e-06,33.0,1.2903402575052623e-06
0,17,thermal_expansion_work_erg_cm-3_s-1,1.755210844011091e-32,1.755210835359897e-32,1.755210835359897e-32,4.928863225653111e-09,33.0,4.927567286299299e-09
0,17,thermal_thermal_rhs_erg_cm-3_s-1,-1.3033932056907438e-32,-1.303344925187098e-32,1.303344925187098e-32,3.7043535224522e-05,33.0,3.703401147032238e-05
0,33,redshift_threshold_loss_rate_s-1_cMpc-3,8.663715013165956e+48,8.663715013166034e+48,8.663715013166034e+48,8.989729320466259e-15,65.0,7.7910987444041e-15
0,33,absorption_G1_s-1_cMpc-3,4.025238807586369e+50,4.025238807587089e+50,4.025238807587089e+50,1.7873340865205796e-13,65.0,1.8079730482586888e-13
0,33,absorption_G2a_s-1_cMpc-3,1.0484482570950342e+50,1.0484482572765866e+50,1.0484482572765866e+50,1.7316295473083497e-10,65.0,1.7314393765508047e-10
0,33,absorption_G2b_s-1_cMpc-3,2.5084861440017755e+48,2.5084861585720676e+48,2.5084861585720676e+48,5.808400441512163e-09,65.0,5.80832217369986e-09
0,33,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0,65.0,0.0
0,33,thermal_photoheat_erg_cm-3_s-1,6.71049008064787e-33,6.71049020537885e-33,6.71049020537885e-33,1.858746179898276e-08,65.0,1.8587357184021237e-08
0,33,thermal_photoheat_H_erg_cm-3_s-1,5.510615172574235e-33,5.510615294368488e-33,5.510615294368488e-33,2.2101752049968342e-08,65.0,2.2101626518749236e-08
0,33,thermal_photoheat_HeI_erg_cm-3_s-1,1.1998749080736349e-33,1.1998749110103608e-33,1.1998749110103608e-33,2.447526737638315e-09,65.0,2.4475184690242386e-09
0,33,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,65.0,0.0
0,33,thermal_threshold_H_erg_cm-3_s-1,1.65025144519888e-32,1.6502514874723454e-32,1.6502514874723454e-32,2.5616377657604915e-08,65.0,2.5616265544278835e-08
0,33,thermal_threshold_HeI_erg_cm-3_s-1,3.691492595122255e-33,3.691492604859116e-33,3.691492604859116e-33,2.637648734835722e-09,65.0,2.6376457691940708e-09
0,33,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,65.0,0.0
0,33,thermal_recombination_cooling_erg_cm-3_s-1,1.171304722643016e-33,1.1713047226401997e-33,1.1713047226401997e-33,2.4043969340593265e-12,65.0,2.404250894401038e-12
0,33,thermal_excitation_cooling_erg_cm-3_s-1,2.6294506721388095e-35,2.6294507347748837e-35,2.6294507347748837e-35,2.382097271195126e-08,65.0,2.3820864762560272e-08
0,33,thermal_collisional_ionization_cooling_erg_cm-3_s-1,4.120855857097105e-37,4.120855959167586e-37,4.120855959167586e-37,2.4769242475846714e-08,65.0,2.476913545774887e-08
0,33,thermal_free_free_cooling_erg_cm-3_s-1,9.93819788069791e-34,9.938197880669946e-34,9.938197880669946e-34,2.8138289379372576e-12,65.0,2.8140010586210077e-12
