interval_index,selected_node_count,quantity,selected_average,GL512_average,absolute_variation_average,relative_residual
0,17,redshift_threshold_loss_rate_s-1_cMpc-3,8.663715012882614e+48,8.663715013166029e+48,8.663715013166029e+48,3.2712875853066695e-11
0,17,absorption_G1_s-1_cMpc-3,4.02523879977606e+50,4.025238807587089e+50,4.025238807587089e+50,1.940513158306976e-09
0,17,absorption_G2a_s-1_cMpc-3,1.0484521508222464e+50,1.0484482572765847e+50,1.0484482572765847e+50,3.7136269096943015e-06
0,17,absorption_G2b_s-1_cMpc-3,2.5084965367104104e+48,2.508486158572031e+48,2.508486158572031e+48,4.137211737817504e-06
0,17,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0
0,17,thermal_photoheat_erg_cm-3_s-1,6.710004658015467e-33,6.71049020537868e-33,6.71049020537868e-33,7.235646701699354e-05
0,17,thermal_photoheat_H_erg_cm-3_s-1,5.5100697779086824e-33,5.510615294368327e-33,5.510615294368327e-33,9.899374761321676e-05
0,17,thermal_photoheat_HeI_erg_cm-3_s-1,1.199934880106785e-33,1.1998749110103543e-33,1.1998749110103543e-33,4.997945692540701e-05
0,17,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
0,17,thermal_threshold_H_erg_cm-3_s-1,1.6500648594281397e-32,1.6502514874722983e-32,1.6502514874722983e-32,0.0001130906686497946
0,17,thermal_threshold_HeI_erg_cm-3_s-1,3.691695695276269e-33,3.691492604859095e-33,3.691492604859095e-33,5.5015799545869685e-05
0,17,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
0,17,thermal_recombination_cooling_erg_cm-3_s-1,1.1713047332422219e-33,1.1713047226401999e-33,1.1713047226401999e-33,9.05146354048595e-09
0,17,thermal_excitation_cooling_erg_cm-3_s-1,2.629170273402227e-35,2.629450734774807e-35,2.629450734774807e-35,0.00010666158101815597
0,17,thermal_collisional_ionization_cooling_erg_cm-3_s-1,4.120398703505602e-37,4.120855959167465e-37,4.120855959167465e-37,0.00011096133094541553
0,17,thermal_free_free_cooling_erg_cm-3_s-1,9.938197989654006e-34,9.938197880669942e-34,9.938197880669942e-34,1.096617968175581e-08
0,17,thermal_cooling_total_erg_cm-3_s-1,2.191828274811995e-33,2.1918311036508594e-33,2.1918311036508594e-33,1.290628123509614e-06
0,17,thermal_expansion_work_erg_cm-3_s-1,1.755210844011091e-32,1.7552108353598964e-32,1.7552108353598964e-32,4.928863537514344e-09
0,17,thermal_thermal_rhs_erg_cm-3_s-1,-1.3033932056907438e-32,-1.3033449251871144e-32,1.3033449251871144e-32,3.7043535211922054e-05
1,17,redshift_threshold_loss_rate_s-1_cMpc-3,5.1922976779568805e+48,5.192298086226042e+48,5.192298086226042e+48,7.862976178340742e-08
1,17,absorption_G1_s-1_cMpc-3,3.3871923477059475e+50,3.387185435356282e+50,3.387185435356282e+50,2.040735530308709e-06
1,17,absorption_G2a_s-1_cMpc-3,1.421720255791701e+50,1.4217149578291925e+50,1.4217149578291925e+50,3.7264590060397813e-06
1,17,absorption_G2b_s-1_cMpc-3,4.6556449181154256e+48,4.6556536578058114e+48,4.6556536578058114e+48,1.8772209077838688e-06
1,17,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0
1,17,thermal_photoheat_erg_cm-3_s-1,7.636407607520488e-33,7.636425668197606e-33,7.636425668197606e-33,2.3650694583095317e-06
1,17,thermal_photoheat_H_erg_cm-3_s-1,6.271908451870631e-33,6.271923031561527e-33,6.271923031561527e-33,2.3245965906212363e-06
1,17,thermal_photoheat_HeI_erg_cm-3_s-1,1.3644991556498566e-33,1.3645026366360797e-33,1.3645026366360797e-33,2.5511025992754414e-06
1,17,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
