interval_index,z_mid,group,shape_lane,state_measure_vs_inherited_shape_TV
0,5.95,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.3880747813126968
0,5.95,G1,RECOMBINATION_WEIGHTED_AUDITOR,0.47213589140246315
0,5.95,G1,SCRIPT_SELF_SHIELDING_AUDITOR,0.6450721112577811
0,5.95,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.44993851580231725
0,5.95,G2a,RECOMBINATION_WEIGHTED_AUDITOR,0.5297451819596439
0,5.95,G2a,SCRIPT_SELF_SHIELDING_AUDITOR,0.672205569382146
1,5.85,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.3181810755044605
1,5.85,G1,RECOMBINATION_WEIGHTED_AUDITOR,0.42914236598456224
1,5.85,G1,SCRIPT_SELF_SHIELDING_AUDITOR,0.6023673570696253
1,5.85,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.38182257593498814
1,5.85,G2a,RECOMBINATION_WEIGHTED_AUDITOR,0.47490361734152287
1,5.85,G2a,SCRIPT_SELF_SHIELDING_AUDITOR,0.6189556401857434
2,5.75,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.21588008609901832
2,5.75,G1,RECOMBINATION_WEIGHTED_AUDITOR,0.3854889125790845
2,5.75,G1,SCRIPT_SELF_SHIELDING_AUDITOR,0.5497486170937687
2,5.75,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.2814621671899802
2,5.75,G2a,RECOMBINATION_WEIGHTED_AUDITOR,0.42715562861737943
2,5.75,G2a,SCRIPT_SELF_SHIELDING_AUDITOR,0.5702726462039835
3,5.65,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.2218299069007053
3,5.65,G1,RECOMBINATION_WEIGHTED_AUDITOR,0.38879715037837664
3,5.65,G1,SCRIPT_SELF_SHIELDING_AUDITOR,0.5731588671646501
3,5.65,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.27333838978924996
3,5.65,G2a,RECOMBINATION_WEIGHTED_AUDITOR,0.426046269491683
3,5.65,G2a,SCRIPT_SELF_SHIELDING_AUDITOR,0.5880296227513753
4,5.55,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.25081049807497313
4,5.55,G1,RECOMBINATION_WEIGHTED_AUDITOR,0.40425132990445506
4,5.55,G1,SCRIPT_SELF_SHIELDING_AUDITOR,0.607037759241545
4,5.55,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,0.2915730370464627
4,5.55,G2a,RECOMBINATION_WEIGHTED_AUDITOR,0.443640828243409
4,5.55,G2a,SCRIPT_SELF_SHIELDING_AUDITOR,0.6244138864521638
