species,group,supported,canonical_excess_eV,thin_excess_eV,thick_excess_eV,hardening_coordinate,reconstructed_excess_eV,relative_residual,status
HI,G1,True,2.924008403812852,2.924008403812833,4.164175190054125,1.5397796679774438e-14,2.924008403812852,0.0,BDF_CANONICAL_THIN_LIMIT_CALIBRATION
HI,G2a,True,15.498762259794793,15.498762259794772,16.99043150686436,1.4290220244654916e-14,15.498762259794793,0.0,BDF_CANONICAL_THIN_LIMIT_CALIBRATION
HI,G2b,True,31.261852675211813,31.26185267521179,32.3694984339738,1.9244674485665614e-14,31.261852675211813,0.0,BDF_CANONICAL_THIN_LIMIT_CALIBRATION
HI,G3,True,52.27078716107171,52.27078716107162,57.9456692033908,1.627708822139032e-14,52.27078716107171,0.0,BDF_CANONICAL_THIN_LIMIT_CALIBRATION
HeI,G1,False,0.0,0.0,0.0,0.0,0.0,0.0,STRUCTURAL_EXACT_ZERO
HeI,G2a,True,5.058090825749249,5.0580908257492325,6.00043150686436,1.7907950184568845e-14,5.058090825749249,0.0,BDF_CANONICAL_THIN_LIMIT_CALIBRATION
HeI,G2b,True,20.60995742654565,20.60995742654564,21.379498433973797,1.3849997509582413e-14,20.60995742654565,0.0,BDF_CANONICAL_THIN_LIMIT_CALIBRATION
HeI,G3,True,42.36113032240269,42.36113032240261,46.9556692033908,1.7011435305734206e-14,42.36113032240269,0.0,BDF_CANONICAL_THIN_LIMIT_CALIBRATION
HeII,G1,False,0.0,0.0,0.0,0.0,0.0,0.0,STRUCTURAL_EXACT_ZERO
HeII,G2a,False,0.0,0.0,0.0,0.0,0.0,0.0,STRUCTURAL_EXACT_ZERO
HeII,G2b,False,0.0,0.0,0.0,0.0,0.0,0.0,STRUCTURAL_EXACT_ZERO
HeII,G3,True,11.890070922932539,11.890070922932455,17.125669203390796,1.5946366963147314e-14,11.890070922932539,0.0,BDF_CANONICAL_THIN_LIMIT_CALIBRATION
