interval_index,node_index,fraction,z_mid,thermal_photoheat_erg_cm-3_s-1,thermal_photoheat_H_erg_cm-3_s-1,thermal_photoheat_HeI_erg_cm-3_s-1,thermal_photoheat_HeII_erg_cm-3_s-1,thermal_threshold_H_erg_cm-3_s-1,thermal_threshold_HeI_erg_cm-3_s-1,thermal_threshold_HeII_erg_cm-3_s-1,thermal_recombination_cooling_erg_cm-3_s-1,thermal_excitation_cooling_erg_cm-3_s-1,thermal_collisional_ionization_cooling_erg_cm-3_s-1,thermal_free_free_cooling_erg_cm-3_s-1,thermal_cooling_total_erg_cm-3_s-1,thermal_expansion_work_erg_cm-3_s-1,thermal_thermal_rhs_erg_cm-3_s-1
0,0,0.0,5.95,8.061970534183521e-33,7.892750706577928e-33,1.6921982760559372e-34,0.0,2.6877956762829937e-32,5.699484443602918e-34,0.0,1.1719915649466801e-33,4.047956928766264e-35,6.592008357118841e-37,9.998596165792276e-34,2.2129899516492825e-33,1.7744392445840284e-32,-1.1895411863306044e-32
0,1,0.0096073597983847,5.95,6.246961604139811e-33,5.500784778487164e-33,7.461768256526477e-34,0.0,1.868099704897412e-32,2.5082261243980578e-33,0.0,1.172015518870867e-33,2.8169172867246427e-35,4.5839627751227404e-37,9.997774384997278e-34,2.2004205265153534e-33,1.774078895319029e-32,-1.369424787556583e-32
0,2,0.0380602337443566,5.95,5.9157954651809254e-33,4.864704269529912e-33,1.0510911956510142e-33,0.0,1.639055269495271e-32,3.5124081264594306e-33,0.0,1.1719802359708413e-33,2.4801196243286446e-35,4.02687856597993e-37,9.994235694974385e-34,2.1966076895681644e-33,1.7729340037255954e-32,-1.4010152261643196e-32
0,3,0.0842651938487273,5.95,6.0044803222751374e-33,4.921711138019935e-33,1.0827691842552037e-33,0.0,1.637393156282789e-32,3.58478058250652e-33,0.0,1.1719112361313028e-33,2.4914964359121464e-35,4.030698012473705e-37,9.988387273774565e-34,2.196067997669128e-33,1.7710784998336662e-32,-1.390237267373065e-32
0,4,0.1464466094067262,5.95,6.11046666191549e-33,5.007282333149548e-33,1.1031843287659416e-33,0.0,1.6381346323977232e-32,3.6088905786961904e-33,0.0,1.1718190096902765e-33,2.511230964012812e-35,4.042954494468791e-37,9.980579499101604e-34,2.195393564690012e-33,1.7686024113226303e-32,-1.3770951016000826e-32
0,5,0.2222148834901988,5.95,6.238889951330612e-33,5.111702223645841e-33,1.1271877276847708e-33,0.0,1.639103023461849e-32,3.636479321736285e-33,0.0,1.1717070442592809e-33,2.5352092677002675e-35,4.057678495425055e-37,9.971157900734402e-34,2.1945806948592664e-33,1.765616955664856e-32,-1.3611860300177213e-32
0,6,0.3086582838174551,5.95,6.384703131839501e-33,5.230904049386673e-33,1.1537990824528257e-33,0.0,1.640296276335982e-32,3.6663775941340776e-33,0.0,1.1715798907499602e-33,2.56242846509616e-35,4.0741310997781325e-37,9.960532196960521e-34,2.193664808206952e-33,1.7622531045704654e-32,-1.3431492722072103e-32
0,7,0.4024548389919358,5.95,6.542031375827018e-33,5.360104358896979e-33,1.181927016930039e-33,0.0,1.6416857111843932e-32,3.6970153268060615e-33,0.0,1.1714426751675304e-33,2.591707087263212e-35,4.0914382928269816e-37,9.949150824335816e-34,2.192683972303027e-33,1.7586536886024926e-32,-1.3237189482500935e-32
0,8,0.4999999999999999,5.95,6.70458076849775e-33,5.494048562568593e-33,1.2105322059291569e-33,0.0,1.64322305679427e-32,3.7270082603383215e-33,0.0,1.1713008553508896e-33,2.6217604919048206e-35,4.108678910113031e-37,9.937477500234059e-34,2.1916770781843552e-33,1.754965832892319e-32,-1.3036754638609796e-32
0,9,0.5975451610080641,5.95,6.865921261409149e-33,5.6272937829491067e-33,1.2386274784600445e-33,0.0,1.6448436667225538e-32,3.755223537729295e-33,0.0,1.1711599752878412e-33,2.651285814961677e-35,4.124976305424012e-37,9.925969410549978e-34,2.1906822721229985e-33,1.7513339975558438e-32,-1.2838100986272282e-32
0,10,0.6913417161825448,5.95,7.019786766601516e-33,5.754513029979826e-33,1.2652737366216906e-33,0.0,1.6464717238047862e-32,3.7807938327092994e-33,0.0,1.171025430581098e-33,2.6790556724158804e-35,4.139593988981158e-37,9.9150584508454e-34,2.1897357917886948e-33,1.7478940812486903e-32,-1.2648889837674084e-32
0,11,0.777785116509801,5.95,7.160360306749682e-33,5.8707762980832925e-33,1.289584008666388e-33,0.0,1.6480263311640098e-32,3.803095793756412e-33,0.0,1.1709022592030636e-33,2.704003528447737e-35,4.152012366550151e-37,9.905136399525296e-34,2.1888711356767253e-33,1.7447688491505812e-32,-1.2476199320432855e-32
0,12,0.8535533905932737,5.95,7.282510264910874e-33,5.971770703053513e-33,1.310739561857362e-33,0.0,1.6494276366605583e-32,3.8217088751208216e-33,0.0,1.1707949667059376e-33,2.725282703203658e-35,4.161964609878338e-37,9.896544251677239e-34,2.1881184153666858e-33,1.7420647306490223e-32,-1.2326255456946036e-32
0,13,0.9157348061512728,5.95,7.381955268312145e-33,6.053939689090713e-33,1.3280155792214313e-33,0.0,1.6506024264623499e-32,3.8363676096240546e-33,0.0,1.1707073895977976e-33,2.7422867501695336e-35,4.1694192673566444e-37,9.889565363267138e-34,2.1875037353529424e-33,1.7398698452847078e-32,-1.2204246919887879e-32
0,14,0.9619397662556434,5.95,7.455353939465279e-33,6.1145433150099624e-33,1.340810624455316e-33,0.0,1.6514888548081227e-32,3.8469162768803256e-33,0.0,1.1706425956618145e-33,2.754630055639981e-35,4.174512835389086e-37,9.884421653312933e-34,2.1870485128330464e-33,1.7382529910297154e-32,-1.2114224483664924e-32
0,15,0.9903926402016152,5.95,7.500333593274185e-33,6.151659640949898e-33,1.3486739523242876e-33,0.0,1.652040143179969e-32,3.853271212817818e-33,0.0,1.1706028164531073e-33,2.762099762277884e-35,4.177451168479417e-37,9.88127193201708e-34,2.1867687523944418e-33,1.7372632787642209e-32,-1.2059067946762463e-32
0,16,1.0,5.95,7.515482736477019e-33,6.164156196417977e-33,1.3513265400590424e-33,0.0,1.6522271954817022e-32,3.855393263157956e-33,0.0,1.1705894055563788e-33,2.7645985871255174e-35,4.178408227011721e-37,9.880211448942234e-34,2.1866743771445588e-33,1.736930112699481e-32,-1.2040492767662349e-32
1,0,0.0,5.85,6.889559940739689e-33,5.650777879267835e-33,1.2387820614718558e-33,0.0,1.5146223733230754e-32,3.534298981585047e-33,0.0,1.0750773643745212e-33,3.642131649304341e-35,6.398928769417905e-37,9.27909376776493e-34,2.0400479505209998e-33,1.699820613612319e-32,-1.2148694145904504e-32
1,1,0.0096073597983847,5.85,6.732001493432314e-33,5.51717019492525e-33,1.2148312985070637e-33,0.0,1.4749707802095523e-32,3.460792961476465e-33,0.0,1.0750690501076909e-33,3.558134710254388e-35,6.247042186973962e-37,9.278071537885146e-34,2.0390822552174464e-33,1.699477220934724e-32,-1.2301852971132372e-32
1,2,0.0380602337443566,5.85,6.69882540285646e-33,5.487502256484633e-33,1.2113231463718274e-33,0.0,1.4557420308585074e-32,3.435329375803867e-33,0.0,1.075034669698919e-33,3.5456835902062825e-35,6.212419582809182e-37,9.274949051632145e-34,2.0386076527224768e-33,1.698452629863648e-32,-1.2324308548502498e-32
1,3,0.0842651938487273,5.85,6.779523388393342e-33,5.5554078547292016e-33,1.2241155336641406e-33,0.0,1.4552598855810296e-32,3.4456116844763096e-33,0.0,1.0749758513228613e-33,3.6024389313453115e-35,6.29094153066126e-37,9.269876247946348e-34,2.038616959584015e-33,1.6967962856416506e-32,-1.2227056427607177e-32
