interval_index,z_mid,refinement,species_reservoir,assigned_total_cMpc-3,all_substeps_feasible,reservoir_end_cMpc-3
0,5.95,1,HI,6.141078034884462e+62,True,1.6156535021137932e+65
0,5.95,1,HeI,5.233713142548616e+63,True,1.9899056935375488e+64
0,5.95,1,HeII,0.0,True,4.156219244523664e+65
0,5.95,1,INVALID_HI,3.2398647620992304e+65,False,4.584453555491792e+62
0,5.95,2,HI,6.141078034884463e+62,True,1.615653502113793e+65
0,5.95,2,HeI,5.233713142548616e+63,True,1.9899056935375485e+64
0,5.95,2,HeII,0.0,True,4.156219244523664e+65
0,5.95,2,INVALID_HI,1.615714564093147e+65,False,4.584453555491792e+62
0,5.95,4,HI,6.141078034884463e+62,True,1.6156535021137932e+65
0,5.95,4,HeI,5.233713142548617e+63,True,1.9899056935375485e+64
0,5.95,4,HeII,0.0,True,4.1562192445236635e+65
0,5.95,4,INVALID_HI,8.060787971484386e+64,False,4.584453555491792e+62
0,5.95,8,HI,6.1410780348844625e+62,True,1.6156535021137934e+65
0,5.95,8,HeI,5.233713142548617e+63,True,1.9899056935375485e+64
0,5.95,8,HeII,0.0,True,4.1562192445236644e+65
0,5.95,8,INVALID_HI,4.024142930460361e+64,False,4.584453555491792e+62
1,5.85,1,HI,1.536450779641145e+63,True,1.6172106412980904e+65
1,5.85,1,HeI,5.436301286414943e+63,True,1.9277052122939284e+64
1,5.85,1,HeII,0.0,True,4.1628955130183548e+65
1,5.85,1,INVALID_HI,3.183651677949077e+65,False,3.749247656263292e+62
1,5.85,2,HI,1.536450779641145e+63,True,1.6172106412980904e+65
1,5.85,2,HeI,5.436301286414943e+63,True,1.927705212293928e+64
1,5.85,2,HeII,0.0,True,4.162895513018355e+65
1,5.85,2,INVALID_HI,1.610665645367218e+65,False,3.749247656263292e+62
1,5.85,4,HI,1.5364507796411451e+63,True,1.6172106412980904e+65
1,5.85,4,HeI,5.4363012864149425e+63,True,1.9277052122939284e+64
1,5.85,4,HeII,0.0,True,4.1628955130183548e+65
1,5.85,4,INVALID_HI,8.020097355553747e+64,False,3.749247656263292e+62
1,5.85,8,HI,1.5364507796411451e+63,True,1.6172106412980906e+65
1,5.85,8,HeI,5.436301286414944e+63,True,1.9277052122939284e+64
1,5.85,8,HeII,0.0,True,4.1628955130183505e+65
1,5.85,8,INVALID_HI,3.981490227613161e+64,False,3.749247656263292e+62
2,5.75,1,HI,3.1968703904903917e+63,True,1.5693532638275742e+65
2,5.75,1,HeI,5.469298085719018e+63,True,2.0134294457643804e+64
2,5.75,1,HeII,0.0,True,4.1546885789055715e+65
2,5.75,1,INVALID_HI,3.466465166382662e+65,False,6.3270803765989555e+62
2,5.75,2,HI,3.1968703904903917e+63,True,1.5693532638275745e+65
2,5.75,2,HeI,5.469298085719017e+63,True,2.0134294457643804e+64
2,5.75,2,HeII,0.0,True,4.1546885789055715e+65
2,5.75,2,INVALID_HI,1.7318911525923812e+65,False,6.3270803765989555e+62
2,5.75,4,HI,3.1968703904903913e+63,True,1.5693532638275742e+65
2,5.75,4,HeI,5.469298085719018e+63,True,2.0134294457643806e+64
2,5.75,4,HeII,0.0,True,4.1546885789055715e+65
2,5.75,4,INVALID_HI,8.658494060443991e+64,False,6.3270803765989555e+62
2,5.75,8,HI,3.1968703904903917e+63,True,1.5693532638275742e+65
2,5.75,8,HeI,5.469298085719018e+63,True,2.0134294457643804e+64
2,5.75,8,HeII,0.0,True,4.1546885789055715e+65
2,5.75,8,INVALID_HI,4.329293519887805e+64,False,6.3270803765989555e+62
3,5.65,1,HI,2.8468914799090167e+63,True,1.5575664555593596e+65
3,5.65,1,HeI,5.2900055922179e+63,True,2.0158349476586732e+64
3,5.65,1,HeII,0.0,True,4.1547946042594317e+65
3,5.65,1,INVALID_HI,2.8997896155447245e+65,False,9.131184436137568e+62
3,5.65,2,HI,2.8468914799090167e+63,True,1.5575664555593596e+65
