interval_index,z_mid,group,component,conditioned_quadrature_average_rate_s-1_cMpc-3,canonical_component_average_rate_s-1_cMpc-3,relative_difference,load_bearing,interpretation
0,5.95,G1,EFFECTIVE_HI_SUBGRID,4.025238799776057e+50,4.0252407077143035e+50,4.7399357836351396e-07,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,9.81905658419174e+49,9.819056437741711e+49,1.491487800491274e-08,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,6.654649240307116e+48,6.654262609776826e+48,5.810268589671076e-05,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G2b,EXPLICIT_HEI_ATOMIC,1.54711244099684e+48,1.547048554267626e+48,4.1295878553985696e-05,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G2b,EXPLICIT_HI_ATOMIC,9.613840957135675e+47,9.614376043045554e+47,5.5654772341295776e-05,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
0,5.95,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G1,EFFECTIVE_HI_SUBGRID,3.3871923477059446e+50,3.387111413829882e+50,2.3894660131931542e-05,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G2a,EFFECTIVE_HI_SUBGRID,1.3629551835083624e+50,1.363036094857456e+50,5.936111992837018e-05,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G2a,EXPLICIT_HEI_ATOMIC,5.876507228333751e+48,5.877015078305959e+48,8.641290951985233e-05,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G2b,EXPLICIT_HEI_ATOMIC,2.3348316117976025e+48,2.334836802134148e+48,2.2229975734190028e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G2b,EXPLICIT_HI_ATOMIC,2.320813306317819e+48,2.320816855718409e+48,1.5293755649473704e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
1,5.85,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G1,EFFECTIVE_HI_SUBGRID,3.3027178942549323e+50,3.300063818663713e+50,0.0008042497772949618,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G2a,EFFECTIVE_HI_SUBGRID,1.700257485399351e+50,1.700048082770266e+50,0.00012317453324253618,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G2a,EXPLICIT_HEI_ATOMIC,4.4875531267485656e+48,4.4870245017376127e+48,0.00011781192876219057,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G2b,EXPLICIT_HEI_ATOMIC,3.476597575362564e+48,3.4766049602275325e+48,2.1241599355338044e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G2b,EXPLICIT_HI_ATOMIC,4.6552966980854015e+48,4.6552971820595604e+48,1.0396203292859665e-07,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
2,5.75,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
