interval_index,z_mid,group,component,partition_lane,macro_index,macro_owner_current_s-1_cMpc-3
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,0,7.028926691523652e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,1,7.132090533033744e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,2,3.355455808537819e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1.6562165129184973e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1.803646748624335e+47
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,5,4.596399582803438e+45
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,6,8.431685697160845e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,7,6.188358706981145e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,8,2.763119414956144e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,9,1.2914192807825813e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,10,1.2565989627340578e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,11,3.218925799382535e+46
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,12,8.905236667767354e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,13,2.5889163464269196e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,14,9.838705240082165e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,15,5.955692536331437e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,16,6.028642679769346e+47
0,5.95,G1,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,17,1.6089759228528161e+46
0,5.95,G1,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,0,7.028926691523659e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,1,7.132090533033749e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,2,3.355455808537822e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,3,1.6562165129184986e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,4,1.8036467486243367e+47
