# z zre gamma density mfp_13.6eV mfp_14.48eV mfp_16.7eV mfp_20.05eV mfp_25.5eV mfp_39.5eV
4.000000 12.000000 1.000000 0.000000 315.048263 357.597971 467.555493 638.660928 914.340683 1365.773273
4.010000 12.000000 1.000000 0.000000 312.993700 355.120800 463.847200 632.243700 901.456700 1334.402000
4.020000 12.000000 1.000000 0.000000 311.206862 353.224370 462.046992 632.500626 909.807381 1364.849272
4.030000 12.000000 1.000000 0.000000 306.572300 347.888200 454.747100 621.120400 889.344400 1328.695000
4.040000 12.000000 1.000000 0.000000 307.373861 348.909369 456.396990 624.059224 895.010177 1336.744265
4.060000 12.000000 1.000000 0.000000 303.481000 344.602300 451.168000 618.014900 888.985700 1333.422000
4.070000 12.000000 1.000000 0.000000 302.562100 343.485600 449.337700 614.237500 879.828100 1312.777000
4.080000 12.000000 1.000000 0.000000 300.053359 340.504267 445.009588 607.693720 869.832171 1294.500255
4.090000 12.000000 1.000000 0.000000 297.392700 337.820700 442.526000 606.093100 871.067400 1307.197000
4.100000 12.000000 1.000000 0.000000 292.921100 332.532900 434.948400 594.602600 852.678600 1274.281000
4.110000 12.000000 1.000000 0.000000 292.933600 332.626600 435.318800 595.450300 854.103900 1277.883000
4.120000 12.000000 1.000000 0.000000 291.234157 331.133565 434.680485 596.839916 860.019468 1293.050252
4.130000 12.000000 1.000000 0.000000 289.677156 329.246064 431.716984 591.915415 852.126366 1281.797250
4.140000 12.000000 1.000000 0.000000 287.929500 327.335100 429.399000 588.924500 847.498200 1272.265000
4.150000 12.000000 1.000000 0.000000 283.601000 322.199200 422.229600 579.206300 836.143100 1263.188000
4.160000 12.000000 1.000000 0.000000 283.223500 322.004900 422.679000 580.782300 838.836400 1268.122000
4.180000 12.000000 1.000000 0.000000 280.655200 319.306200 419.734400 577.981600 837.537200 1267.997000
4.190000 12.000000 1.000000 0.000000 280.718600 319.631300 420.821100 580.294100 841.974600 1277.961000
4.200000 12.000000 1.000000 0.000000 277.875500 316.022700 415.096600 571.416100 829.534200 1265.006000
4.210000 12.000000 1.000000 0.000000 277.186353 315.469961 415.012580 572.373610 832.217960 1270.178244
4.220000 12.000000 1.000000 0.000000 275.076853 313.218460 412.389679 568.783109 825.240458 1249.344239
4.230000 12.000000 1.000000 0.000000 274.581400 312.851000 412.463500 569.939500 829.480500 1265.810000
4.240000 12.000000 1.000000 0.000000 272.441552 310.468359 409.414378 565.650208 822.233057 1250.083238
4.250000 12.000000 1.000000 0.000000 268.194800 305.641700 403.123300 557.297600 811.525300 1238.262000
4.260000 12.000000 1.000000 0.000000 266.325700 303.687900 401.325000 556.919800 815.859000 1257.134000
4.270000 12.000000 1.000000 0.000000 267.208900 304.905300 403.464100 560.666600 823.155200 1274.895000
4.280000 12.000000 1.000000 0.000000 262.819550 300.016557 397.353975 553.136405 814.461554 1263.700239
4.290000 12.000000 1.000000 0.000000 264.484600 302.003000 400.079200 556.817200 820.250900 1279.274000
4.300000 12.000000 1.000000 0.000000 261.747649 298.848356 395.863975 551.069804 811.946553 1264.515238
4.310000 12.000000 1.000000 0.000000 260.209900 297.216000 394.076000 549.268700 810.683200 1266.849000
4.330000 12.000000 1.000000 0.000000 258.359300 295.211700 391.717300 546.257400 805.861300 1254.665000
4.340000 12.000000 1.000000 0.000000 259.141549 296.444056 394.395074 552.559904 820.567354 1285.059241
4.350000 12.000000 1.000000 0.000000 256.359648 293.364955 390.565773 547.257702 812.368652 1274.468238
4.360000 12.000000 1.000000 0.000000 254.649100 291.316100 387.569200 542.924900 807.450000 1272.259000
4.370000 12.000000 1.000000 0.000000 254.579747 291.293354 387.704772 543.187901 806.165950 1259.770234
4.380000 12.000000 1.000000 0.000000 250.000600 285.918000 380.193000 532.504300 792.406900 1250.944000
4.390000 12.000000 1.000000 0.000000 250.134700 286.552700 382.557800 538.753400 807.049500 1284.640000
4.400000 12.000000 1.000000 0.000000 246.534546 282.460852 377.007370 530.494198 794.159847 1261.498233
4.410000 12.000000 1.000000 0.000000 243.976200 279.414900 372.747400 524.388100 784.075600 1239.295000
4.430000 12.000000 1.000000 0.000000 244.395800 280.207000 374.601200 528.544100 794.462100 1267.625000
4.440000 12.000000 1.000000 0.000000 242.190600 277.836500 371.936600 525.621900 791.745900 1270.973000
4.450000 12.000000 1.000000 0.000000 241.318644 276.789351 370.396868 522.878696 785.064944 1251.786230
4.460000 12.000000 1.000000 0.000000 240.149944 275.461350 368.693267 521.137295 785.341944 1262.336231
4.470000 12.000000 1.000000 0.000000 237.302743 272.259250 364.532167 515.301994 776.417042 1245.123227
4.480000 12.000000 1.000000 0.000000 236.116000 271.044200 363.373400 514.495400 775.607800 1243.975000
4.490000 12.000000 1.000000 0.000000 235.280000 269.988400 361.628900 511.565100 772.094700 1245.256000
4.500000 12.000000 1.000000 0.000000 232.245700 266.537200 357.139100 505.283200 762.083500 1228.276000
4.510000 12.000000 1.000000 0.000000 231.747600 266.037200 356.725300 505.404100 763.748800 1229.239000
4.530000 12.000000 1.000000 0.000000 228.742100 262.491100 351.672700 497.899400 752.824000 1218.879000
4.540000 12.000000 1.000000 0.000000 227.504100 261.212900 350.417100 497.091400 753.184900 1218.851000
4.550000 12.000000 1.000000 0.000000 225.545200 258.860500 346.925100 491.171000 741.528700 1196.724000
4.560000 12.000000 1.000000 0.000000 225.692600 259.362700 348.539500 495.447900 752.757800 1223.006000
4.570000 12.000000 1.000000 0.000000 223.885940 257.115946 344.922962 488.755988 739.424333 1201.026216
4.580000 12.000000 1.000000 0.000000 220.988940 253.837545 340.728961 483.416987 732.673931 1192.295214
4.590000 12.000000 1.000000 0.000000 219.218989 251.726745 337.705010 479.156286 727.417230 1186.805712
