z,group,macro_effective_HI_absorption_rate,LOCAL_NEUTRAL_HAZARD_PRIMARY_sum,RECOMBINATION_WEIGHTED_AUDITOR_sum,SCRIPT_SELF_SHIELDING_AUDITOR_sum,maximum_lane_difference,normalization_type
5.95,G1,4.0252407077143035e+50,4.0252407077143035e+50,4.0252407077143035e+50,4.0252407077143035e+50,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
5.95,G2a,9.819056437741711e+49,9.819056437741711e+49,9.819056437741711e+49,9.819056437741711e+49,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
5.85,G1,3.387111413829882e+50,3.387111413829882e+50,3.387111413829882e+50,3.387111413829882e+50,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
5.85,G2a,1.363036094857456e+50,1.363036094857456e+50,1.363036094857456e+50,1.363036094857456e+50,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
5.75,G1,3.300063818663713e+50,3.300063818663713e+50,3.300063818663713e+50,3.300063818663713e+50,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
5.75,G2a,1.700048082770266e+50,1.700048082770266e+50,1.700048082770266e+50,1.700048082770266e+50,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
5.65,G1,2.9585444032244034e+50,2.9585444032244034e+50,2.9585444032244034e+50,2.9585444032244034e+50,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
5.65,G2a,1.0700304406712743e+50,1.0700304406712743e+50,1.0700304406712743e+50,1.0700304406712743e+50,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
5.55,G1,3.226257082722844e+50,3.226257082722844e+50,3.226257082722844e+50,3.226257082722844e+50,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
5.55,G2a,1.3220344239654479e+50,1.3220344239654479e+50,1.3220344239654479e+50,1.3220344239654479e+50,0.0,DISAGGREGATION_IDENTITY_NOT_OPACITY_FIT
