source,z,mode,energy_eV,lambda_density_cMpc,lambda_mean_cMpc,density_effect,central_gamma12,zre_max,Q_numeric_mass,Q_at_z
PUBLIC_REPO_EXACT_CHECKPOINT,4.8,public_continuous_joint,13.6,91.65377978065037,95.12070709980452,-0.03644766134377564,0.58,18.0,0.887088606856948,0.8988079400690209
PUBLIC_REPO_EXACT_CHECKPOINT,4.8,public_continuous_joint,14.48,101.7183695896999,106.90049450318335,-0.04847615474153988,0.58,18.0,0.887088606856948,0.8988079400690209
PUBLIC_REPO_EXACT_CHECKPOINT,4.8,public_continuous_joint,16.7,126.88980622243218,137.52856043810428,-0.07735668999793055,0.58,18.0,0.887088606856948,0.8988079400690209
PUBLIC_REPO_EXACT_CHECKPOINT,4.8,public_continuous_joint,20.05,163.24231007188226,183.91539503322406,-0.11240540770177088,0.58,18.0,0.887088606856948,0.8988079400690209
PUBLIC_REPO_EXACT_CHECKPOINT,4.8,public_continuous_joint,25.5,215.61844363089352,253.7986462896462,-0.15043501301886275,0.58,18.0,0.887088606856948,0.8988079400690209
PUBLIC_REPO_EXACT_CHECKPOINT,4.8,public_continuous_joint,39.5,298.28394626117836,372.8231116966505,-0.19993171854678726,0.58,18.0,0.887088606856948,0.8988079400690209
PUBLIC_REPO_EXACT_CHECKPOINT,4.9,public_continuous_joint,13.6,76.03906323069516,77.67488415387328,-0.021059843744827056,0.501,18.0,0.8742029692241716,0.8870894282445245
PUBLIC_REPO_EXACT_CHECKPOINT,4.9,public_continuous_joint,14.48,84.56821965559064,87.39895083561157,-0.03238861740280208,0.501,18.0,0.8742029692241716,0.8870894282445245
PUBLIC_REPO_EXACT_CHECKPOINT,4.9,public_continuous_joint,16.7,106.15384548804631,112.96317166367447,-0.060279169532363897,0.501,18.0,0.8742029692241716,0.8870894282445245
PUBLIC_REPO_EXACT_CHECKPOINT,4.9,public_continuous_joint,20.05,137.73004816819568,152.31920191102142,-0.09578013513587158,0.501,18.0,0.8742029692241716,0.8870894282445245
PUBLIC_REPO_EXACT_CHECKPOINT,4.9,public_continuous_joint,25.5,183.9638102911598,212.74249871759892,-0.1352747504608417,0.501,18.0,0.8742029692241716,0.8870894282445245
PUBLIC_REPO_EXACT_CHECKPOINT,4.9,public_continuous_joint,39.5,259.4086423306174,318.674219793438,-0.18597543755260804,0.501,18.0,0.8742029692241716,0.8870894282445245
PUBLIC_REPO_EXACT_CHECKPOINT,5.0,public_continuous_joint,13.6,76.62793080505116,78.47638766093532,-0.02355430609103193,0.557,18.0,0.8600787384930872,0.8742037906117484
PUBLIC_REPO_EXACT_CHECKPOINT,5.0,public_continuous_joint,14.48,85.27112415534893,88.31172504396764,-0.03443031927079776,0.557,18.0,0.8600787384930872,0.8742037906117484
PUBLIC_REPO_EXACT_CHECKPOINT,5.0,public_continuous_joint,16.7,107.09296853734826,114.10816585392548,-0.06147848634739839,0.557,18.0,0.8600787384930872,0.8742037906117484
