history_provenance,interval_index,z_mid,group,component,absorption_rate_s-1_cMpc-3,minimum_kappa_cMpc_inv,physical_component,unresolved_sink_interpretation
CANONICAL_DIRECT_REEVOLVED,0,5.95,G1,EFFECTIVE_HI_SUBGRID,4.0252407077143035e+50,0.034839426073827805,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2a,EFFECTIVE_HI_SUBGRID,9.819056437741713e+49,0.016572651720517764,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2a,EXPLICIT_HEI_ATOMIC,6.654262609776826e+48,0.0002721103830071971,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2b,EXPLICIT_HI_ATOMIC,9.614376043045554e+47,0.00030572155467614026,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2b,EXPLICIT_HEI_ATOMIC,1.547048554267626e+48,0.00012441523819069482,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G3,EXPLICIT_HI_ATOMIC,0.0,9.18167497436141e-05,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G3,EXPLICIT_HEI_ATOMIC,0.0,5.115113371395996e-05,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,0,5.95,G3,EXPLICIT_HEII_ATOMIC,0.0,1.9192121953263515,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,1,5.85,G1,EFFECTIVE_HI_SUBGRID,3.3871114138298826e+50,0.04281025793711,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,1,5.85,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,1,5.85,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,1,5.85,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,1,5.85,G2a,EFFECTIVE_HI_SUBGRID,1.363036094857456e+50,0.019682155407192425,True,NOT_COMPUTED_IN_R1
