interval_index,node_index,fraction,z_snapshot,H_nuclei_relative_residual,He_nuclei_relative_residual,xHII_relative_residual,xHeI_relative_residual,xHeII_relative_residual,xHeIII_relative_residual,U_relative_residual,minimum_species,minimum_temperature_K,thermal_normalization_factor
1,8,0.4999999999999999,5.8500000000000005,2.709503884302863e-16,2.1435948451763156e-16,1.110318997753301e-16,7.360961416759018e-13,5.566284853995326e-16,7.442537001784929e-14,1.5613862391108812e-16,6.622527313428475e-154,2098.46360814381,0.830185171137703
1,9,0.5975451610080641,5.840245483899194,0.0,0.0,1.1103246440588889e-16,2.1527443962951862e-13,1.113243743493652e-16,5.489732218198059e-14,0.0,6.702512271551223e-154,2106.087054508075,0.8335417855729166
1,10,0.6913417161825448,5.830865828381746,2.709503884302863e-16,4.2871896903526313e-16,1.1103303237091368e-16,2.674337350048115e-12,0.0,3.6830986300593875e-14,1.5540223451459723e-16,6.788747982785299e-154,2113.497604983379,0.8367868730670592
1,11,0.777785116509801,5.82222148834902,2.709503884302863e-16,2.1435948451763156e-16,1.1103357401707066e-16,2.1523841297366843e-12,1.113219855047842e-16,3.0634310106039255e-14,0.0,6.874735716442422e-154,2120.3957169659634,0.8397928253404536
1,12,0.8535533905932737,5.814644660940672,0.0,0.0,2.2206812064000115e-16,6.549446137522238e-14,1.1132099878364856e-16,2.1343200035603926e-14,0.0,6.954151713216759e-154,2126.495144085466,0.8424396770021196
1,13,0.9157348061512728,5.808426519384873,0.0,2.1435948451763156e-16,0.0,7.399848381388989e-13,2.2264039056718116e-16,2.7818599053278323e-14,0.0,7.021525110826504e-154,2131.537479161305,0.8446203906803874
1,14,0.9619397662556434,5.8038060233744355,2.709503884302863e-16,4.2871896903526313e-16,0.0,1.0636221282191297e-12,2.226392028854465e-16,7.605040618505041e-15,0.0,7.072589829224794e-154,2135.305464543315,0.8462457904804512
1,15,0.9903926402016152,5.800960735979839,0.0,0.0,2.220699156657689e-16,2.204396305720782e-12,1.11319236984897e-16,5.822195829824604e-14,1.5420515996959652e-16,7.104376210150867e-154,2137.6346924591767,0.8472488273501975
1,16,1.0,5.8,2.709503884302863e-16,4.2871896903526313e-16,2.220700429765927e-16,2.1952344180267352e-12,3.3395734236014615e-16,7.95870044285723e-15,0.0,7.115159282570626e-154,2138.4226889576717,0.8475878772382438
2,0,0.0,5.8,2.709503884302863e-16,2.1435948451763156e-16,1.1103502148829633e-16,2.844543618357739e-12,1.1131911412004875e-16,1.574806683373865e-14,0.0,7.11515825247605e-154,2067.4582677408603,0.8110071820697471
