interval_index,node_index,perturbation,observable,baseline,perturbed,expected_direction,pass
0,8,TRANSFER_2_PERCENT_HEII_TO_HEI,G2a_EXPLICIT_HEI_FRACTION,0.06343951593021427,0.926932342906702,increase,True
0,8,TRANSFER_2_PERCENT_HII_TO_HI,G2b_EXPLICIT_HI_FRACTION,0.37688801108017744,0.9951624650465607,increase,True
0,8,RESCALE_T_AND_U_BY_1P05,G1_SUBGRID_NODE_HASH_CHANGED,296d993089f270ff5f4f2193d36244d97c5cce108af4fef6dc9f0dc340e01caa,bd5e74ee8fb65db0c4dc74cf6b2954b6cc3df66e5b1d16e70af15aed9134e041,different,True
1,8,TRANSFER_2_PERCENT_HEII_TO_HEI,G2a_EXPLICIT_HEI_FRACTION,0.04064708508752292,0.8972136460258621,increase,True
1,8,TRANSFER_2_PERCENT_HII_TO_HI,G2b_EXPLICIT_HI_FRACTION,0.4938096608783249,0.9956078322668436,increase,True
1,8,RESCALE_T_AND_U_BY_1P05,G1_SUBGRID_NODE_HASH_CHANGED,760a08ca17ba40848e0cf50db741181b7cbdea3ff1680ec9e1df742f9431e1d1,59b3abc253df1f6632a8466cc6f2972ed6c712a7c9b7e813003fa8df062d973d,different,True
2,8,TRANSFER_2_PERCENT_HEII_TO_HEI,G2a_EXPLICIT_HEI_FRACTION,0.025806293807119025,0.8276868042876723,increase,True
2,8,TRANSFER_2_PERCENT_HII_TO_HI,G2b_EXPLICIT_HI_FRACTION,0.5689469929748255,0.9950201195781112,increase,True
2,8,RESCALE_T_AND_U_BY_1P05,G1_SUBGRID_NODE_HASH_CHANGED,df11ca988785abce21fd294b70876ec6b50797e688033f765ee04b928dd949bd,4f13909249e7e67daffbb3ebbc1bcc4fbf76e343a55f8ca1fa5b482130cb6eb7,different,True
3,8,TRANSFER_2_PERCENT_HEII_TO_HEI,G2a_EXPLICIT_HEI_FRACTION,0.03687661938665888,0.9009472040113452,increase,True
3,8,TRANSFER_2_PERCENT_HII_TO_HI,G2b_EXPLICIT_HI_FRACTION,0.5262606265991462,0.9961899063828088,increase,True
3,8,RESCALE_T_AND_U_BY_1P05,G1_SUBGRID_NODE_HASH_CHANGED,b043a68fa5eaee12989943bab22d699fa696ae4f09a41eeed7fa34956eb357c2,c7cfccb8535111514c044153012f4d6e7d0c6ae7149899e42cc819929fd2579f,different,True
4,8,TRANSFER_2_PERCENT_HEII_TO_HEI,G2a_EXPLICIT_HEI_FRACTION,0.02823961369175568,0.8982572457247552,increase,True
4,8,TRANSFER_2_PERCENT_HII_TO_HI,G2b_EXPLICIT_HI_FRACTION,0.5378536369513959,0.997018416313582,increase,True
4,8,RESCALE_T_AND_U_BY_1P05,G1_SUBGRID_NODE_HASH_CHANGED,774c0263c5b3f79c7e0681b9bc5540c5b213c26795be97f6d3847a965392fd0a,ca7efa31472efc5e92247e0be5cf83b7ed201147c279d54868d5d7c6bba7bd3b,different,True
