interval_index,node_index,group,lane_a,lane_b,total_variation
0,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.3634756401503621
0,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.6088920602689278
0,8,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.254438809550678
0,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.3556758830682858
0,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.600941854515979
0,8,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.254438809550678
1,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.3686326883501435
1,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.580528951096828
1,8,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.2267925531189007
1,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.3573031581125756
1,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.5691134700435458
1,8,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.2267925531189007
2,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.37667484480832
2,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.5483110873756532
2,8,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.2020010868221798
2,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.3595896833938235
2,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.5314047362682855
2,8,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.2020010868221798
3,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.3699549617856725
3,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.5771475844231255
3,8,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.2238210314602648
3,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.3585257756813765
3,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.565650017688468
3,8,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.2238210314602648
4,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.3681539367159646
4,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.5865880122921644
4,8,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.2318703397989036
4,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,0.3586013601522546
4,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,0.5769193752565533
4,8,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,0.2318703397989036
