0 0.011432257999786088 (46080, 5) 421576704
20 0.011570021999887103 (46080, 5) 421576704
40 0.011937737000152993 (46080, 5) 421576704
60 0.011627647000295838 (46080, 5) 421576704
80 0.011344678000114072 (46080, 5) 421576704
100 0.011511494999922434 (46080, 5) 421576704
120 0.01162959100020089 (46080, 5) 421576704
140 0.01153019299999869 (46080, 5) 421576704
160 0.011678252999899996 (46080, 5) 421576704
180 0.0112671740002952 (46080, 5) 421576704
200 0.01165487700018275 (46080, 5) 421576704
220 0.011285009999937756 (46080, 5) 421576704
240 0.01130872499970792 (46080, 5) 421576704
260 0.011573257000236481 (46080, 5) 421576704
280 0.011430064999785827 (46080, 5) 421576704
300 0.011438967999765737 (46080, 5) 421576704
320 0.011356726000030903 (46080, 5) 421576704
340 0.011277098000391561 (46080, 5) 421576704
360 0.011281304000021919 (46080, 5) 421576704
380 0.011558054000033735 (46080, 5) 421576704
400 0.011416204999932233 (46080, 5) 421576704
420 0.011392188999707287 (46080, 5) 421576704
440 0.011531795999871974 (46080, 5) 421576704
460 0.011448451999967801 (46080, 5) 421576704
480 0.011246412000218697 (46080, 5) 421576704
500 0.011422213000059855 (46080, 5) 421576704
520 0.011288674999832438 (46080, 5) 421576704
540 0.011325209000005998 (46080, 5) 421576704
560 0.011365799000031984 (46080, 5) 421576704
580 0.011371878999852925 (46080, 5) 421576704
600 0.011301133999950252 (46080, 5) 421576704
620 0.011600267000176245 (46080, 5) 421576704
640 0.011514470000292931 (46080, 5) 421576704
660 0.011707445999945776 (46080, 5) 421576704
680 0.011564143000214244 (46080, 5) 421576704
700 0.01140095199980351 (46080, 5) 421576704
720 0.011316115999761678 (46080, 5) 421576704
740 0.011471807000361878 (46080, 5) 421576704
760 0.011690460000409075 (46080, 5) 421576704
780 0.01148926299993036 (46080, 5) 421576704
800 0.011547028000222781 (46080, 5) 421576704
820 0.011259482000241405 (46080, 5) 421576704
840 0.012074870999640552 (46080, 5) 421576704
860 0.011250900000050024 (46080, 5) 421576704
880 0.011310538000088854 (46080, 5) 421576704
900 0.011774524999964342 (46080, 5) 421576704
920 0.011328193999815994 (46080, 5) 421576704
940 0.01149292800027979 (46080, 5) 421576704
960 0.011315565000131755 (46080, 5) 421576704
980 0.011290539000128774 (46080, 5) 421576704
