         69460 function calls (69418 primitive calls) in 3.286 seconds

   Ordered by: cumulative time
   List reduced from 220 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.003    0.001    3.613    1.204 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/second_order_sdirk_trial.py:18(solve)
      762    2.480    0.003    2.481    0.003 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK/analysis/thermal_backends.py:21(_thermal_rhs_numpy)
        3    0.000    0.000    2.031    0.677 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_sdirk2.py:30(solve_sdirk2)
        3    0.066    0.022    1.056    0.352 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_trapezoid.py:54(_root)
        3    0.000    0.000    1.015    0.338 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_trapezoid.py:88(solve_backward_euler)
      249    0.033    0.000    0.977    0.004 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_trapezoid.py:98(balance)
      249    0.031    0.000    0.944    0.004 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_sdirk2.py:56(balance)
      252    0.003    0.000    0.836    0.003 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_trapezoid.py:97(rhs)
      252    0.001    0.000    0.809    0.003 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_sdirk2.py:54(rhs_final)
        9    0.026    0.003    0.220    0.024 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/mprk22.py:65(_solve)
