event_or_channel,photon_owner,first_moment_status,energy_owner
EXT_HI_PHOTO,EXTERNAL_GROUP,IDENTIFIED_BY_INHERITED_GROUP_HEATING,RESOLVED_EXTERNAL_PHOTOHEAT
EXT_HEI_PHOTO,EXTERNAL_GROUP,IDENTIFIED_BY_INHERITED_GROUP_HEATING,RESOLVED_EXTERNAL_PHOTOHEAT
EXT_HEII_PHOTO,EXTERNAL_GROUP,IDENTIFIED_BY_INHERITED_GROUP_HEATING,RESOLVED_EXTERNAL_PHOTOHEAT
HEII_GROUND,OTS_FREE_BOUND_24P6,FIRST_MOMENT_UNIDENTIFIED,OTS_ENERGY_UNRESOLVED
HEII_CASE_B,OTS_CASCADE_HEII,ZEROTH_COUNT_ONLY,OTS_ENERGY_UNRESOLVED
HEIII_GROUND,OTS_FREE_BOUND_54P4,FIRST_MOMENT_UNIDENTIFIED,OTS_ENERGY_UNRESOLVED
HEIII_N2_BALMER,OTS_BALMER_CONTINUUM,FIRST_MOMENT_UNIDENTIFIED,OTS_ENERGY_UNRESOLVED
HEIII_TWO_PHOTON,OTS_TWO_PHOTON,ZEROTH_COUNTS_L_M_ONLY_FIRST_MOMENT_NONUNIQUE,OTS_ENERGY_UNRESOLVED
HEIII_LYA_TO_HI,OTS_HEII_LYA_40P8,MONOENERGETIC_EXACT,RESOLVED_HEATING_27P214885400298_EV
HEIII_LYA_TO_HEI,OTS_HEII_LYA_40P8,MONOENERGETIC_EXACT,RESOLVED_HEATING_16P225930989_EV
HEIII_LYA_ESCAPE,OTS_HEII_LYA_40P8,MONOENERGETIC_EXACT,ESCAPED_RADIATION_40P81332_EV
EFFECTIVE_HI_SUBGRID,SUBGRID,ABSORBED_ENERGY_BOOKKEEPING_ONLY,UNRESOLVED_SUBGRID_ENERGY_EXACT_ZERO_RESOLVED_SOURCE
