shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,lp_pass,selected_model,one_mode_pass,two_mode_tested,two_mode_pass,refinement_pass,overall_pass,max_endpoint_relative_residual,max_current_Gamma_relative_residual,H_nuclei_identity_residual,He_nuclei_identity_residual,KL_work,TV_work,node_rate_count,lp_minimum_normalized_slack,lp_max_stationarity,lp_max_complementarity,refinement_order_2_to_4,refinement_order_4_to_8
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,False,True,False,False,False,,7.19719379536157875e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-4.52589354882348971e-15,0.00000000000000000e+00,0.00000000000000000e+00,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,False,True,True,False,False,0.00000000000000000e+00,6.70703752333385622e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,1.11022302462515654e-16,0.00000000000000000e+00,9.13329735802468679e-01,9.53954127358148773e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,5.83838020645122262e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,4.92147634474439715e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,5.30018968142452434e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,4.95306011042354242e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,False,True,False,False,False,,5.75797937114529612e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-4.03323208164607649e-15,1.11022302462515654e-16,0.00000000000000000e+00,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,False,True,True,True,True,2.88853157983333505e-196,6.47159082563710888e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-5.30565175127506450e-15,0.00000000000000000e+00,0.00000000000000000e+00,9.00139003588515729e-01,9.46403523767983201e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,False,True,True,False,False,0.00000000000000000e+00,5.55397910970761870e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.01571972440443514e-01,9.47231665037566284e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,False,True,True,False,False,0.00000000000000000e+00,5.38296849569544405e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1.59004753808034138e-14,0.00000000000000000e+00,0.00000000000000000e+00,9.02613171772267187e-01,9.47832179090621230e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,5.31383391520083047e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,5.07238831400488577e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,6.37651220087023186e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,False,True,True,False,False,3.18662525078077920e-25,5.72276012408397995e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-8.62677984603266168e-15,0.00000000000000000e+00,0.00000000000000000e+00,8.75944500116724756e-01,9.32152242025303113e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,False,True,True,False,False,0.00000000000000000e+00,8.32052037794866946e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-2.78492506833316611e-14,1.11022302462515654e-16,0.00000000000000000e+00,8.76027719499860247e-01,9.32201779246510043e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,False,True,True,False,False,8.96493068200162013e-23,5.87746603641124825e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-3.16621728835286831e-14,0.00000000000000000e+00,0.00000000000000000e+00,8.76326925217401076e-01,9.32379917892860233e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,5.70906082402157540e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,4.98953369159559658e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
