shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,family,k_min_Myr_inv,k_max_Myr_inv,selected_k_Myr_inv,two_mode_weight_slow,selected_model
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437616815e-05,4.41846920437616815e-05,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368552038486e-05,1.52517722479504885e-02,1.52517722479504885e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097715358e-05,5.88685966567699184e-02,5.88685966567699184e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437977855e-05,2.01905706438181021e+00,5.91806602590711200e-03,9.42302885105229970e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,2.46985678886627687e-16,7.17531791731265602e-03,7.17531791731265602e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,5.39536161158525785e-17,3.74908594959265590e-03,3.74908594959265590e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437967826e-05,4.41846920437967826e-05,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551993221e-05,1.52517722479505388e-02,1.52517722479505388e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097492826e-05,4.98645334355111713e-02,4.98645334355111713e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437856424e-05,2.01905706438184485e+00,5.09664034207028545e-04,9.95301622261535068e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,3.04266368799837939e-16,7.28063034876811547e-04,7.28063034876811547e-04,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,1.13333926888008605e-16,1.95210908988054880e-04,1.95210908988054880e-04,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437871874e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551831946e-05,1.52517722479505527e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097456641e-05,4.84642874511335212e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437707617e-05,2.01905706438185373e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,2.85319607159883204e-16,3.42533977666700264e-04,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,2.17607839391383378e-16,7.98829570917202137e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437862184e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551942466e-05,1.52517722479505024e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097764486e-05,4.75813074222723453e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437575412e-05,2.01905706438184884e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,3.85367221280878267e-17,1.69071047994059323e-04,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,6.62089864670912228e-17,3.58022486299994287e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437919037e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551919021e-05,1.52517722479505544e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097574887e-05,4.63210356753644553e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437704771e-05,2.01905706438185817e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,3.64925624727727365e-16,1.84121124033257685e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,3.83454425712205754e-16,3.34846373618593639e-06,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437786561e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368552029745e-05,1.52517722479505562e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097541615e-05,4.61065987724924228e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437851681e-05,2.01905706438184573e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,6.78022573281718091e-17,4.69212864623985737e-07,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,1.85969828902396561e-16,8.29838417563550687e-08,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601592e-05,4.41846920437542818e-05,4.41846920437542818e-05,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368552113364e-05,1.55525526233679032e-02,1.55525526233679032e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097499263e-05,6.67659846336760843e-02,6.67659846336760843e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437663368e-05,2.05887491190402017e+00,6.85598761226234761e-03,9.33403339032370494e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,1.69560813281823221e-16,8.60729213877641647e-03,8.60729213877641647e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,8.70390087765515531e-17,4.06696155169528756e-03,4.06696155169528756e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437608955e-05,4.41846920437608955e-05,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551931421e-05,1.55525526233679465e-02,1.55525526233679465e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097630791e-05,6.24262405123624450e-02,6.24262405123624450e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437979752e-05,2.05887491190407479e+00,4.76511402922273012e-03,9.53359112727794389e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,2.64031879735638245e-16,6.31724345091080452e-03,6.31724345091080452e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,3.67999070353818300e-16,2.19866581635847500e-03,2.19866581635847500e-03,0.00000000000000000e+00,TWO_MODE
