shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,model,refinement,combined_error,cone_pass,error_M,error_I,error_U,error_C,error_J_G1,error_J_G2a,minimum_M,minimum_I,minimum_neutral,minimum_U,minimum_C,minimum_J_G1,minimum_J_G2a,minimum_cycling
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,3.74704237811847101e-05,False,4.99303210887478944e-08,1.52245457034593815e-05,3.74704237811847101e-05,3.25108024727247199e-06,1.28345899219059192e-06,3.55316266071278659e-07,1.17357928200111990e-144,1.17296917043910096e-144,6.10111562018934210e-148,9.18836323297885600e-156,3.24229488334971418e-161,6.94327110096310196e-163,1.73876664641401447e-163,-3.17598006555803512e+41
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,1.98952297378283316e-05,True,2.49670201283124958e-08,7.79062422708021773e-06,1.98952297378283316e-05,2.95701580947044610e-07,6.42513840518061240e-07,1.77716543465011518e-07,1.17344813888188408e-144,1.17284271108486843e-144,6.05427797015648665e-148,9.18745455405186080e-156,3.24216482927638102e-161,6.94326059768642684e-163,1.73876594476283477e-163,3.15523719002642319e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.02702295743029086e-05,True,1.24839749912733734e-08,3.94170867474083091e-06,1.02702295743029086e-05,1.71393699532238770e-08,3.21453411313517170e-07,8.88728821205658623e-08,1.17338255633058531e-144,1.17277589181525864e-144,6.02954212358859316e-148,9.18691935818308290e-156,3.24199338865789744e-161,6.94325533641483833e-163,1.73876559376420235e-163,3.15504781153429049e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.28859787000278946e-05,True,4.99303211692830922e-08,1.54875160629315096e-05,4.28859787000278946e-05,3.39923999843407435e-06,1.08378509457156889e-05,3.95095243576349802e-06,1.05513785167780163e-143,1.05458933120078495e-143,5.48520477016677342e-147,8.26105868717550755e-155,2.53721773027825492e-160,5.63905569957124864e-162,1.39024161192445982e-162,2.46686311116709022e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.29798127324218773e-05,True,2.49670197599870644e-08,7.92842818928346450e-06,2.29798127324218773e-05,2.98484271907689286e-07,5.47446391472093263e-06,1.98270247654421631e-06,1.05501994394782138e-143,1.05447570975143715e-143,5.44233191915445379e-147,8.26025770103749494e-155,2.53713257940480556e-160,5.63897939954945271e-162,1.39023481959755524e-162,2.46674671550064368e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.19247871679144876e-05,True,1.24839746154817751e-08,4.01228877110461252e-06,1.19247871679144876e-05,1.56793468358283777e-08,2.75135934991036376e-06,9.93168997798005787e-07,1.05496098020046618e-143,1.05441561146563627e-143,5.41966044912781008e-147,8.25976929311160001e-155,2.53700050065559892e-160,5.63894066042127760e-162,1.39023140476965736e-162,2.46659869088269402e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.22986936381185351e-05,False,4.99303208681399897e-08,1.54875160629427413e-05,4.22986936381185351e-05,3.35839210810839869e-06,4.97878755180355298e-06,1.58533415009247809e-06,4.62847173918912859e-144,4.62606559716493515e-144,2.40614202419343187e-147,3.62379833389793960e-155,1.11297442149537018e-160,2.51600668848737911e-162,6.03713816604600918e-163,-2.65134623191146883e+41
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.26426236347228399e-05,True,2.49670199120041104e-08,7.92842818928986299e-06,2.26426236347228399e-05,2.95148479225242029e-07,2.50103174150925284e-06,7.93821572326595505e-07,4.62795452468945050e-144,4.62556718488028748e-144,2.38733540295555351e-147,3.62344617524723476e-155,1.11293600818499395e-160,2.51599094959896547e-162,6.03712637906558749e-163,1.08169706733293582e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.17430687578845035e-05,True,1.24839747701966823e-08,4.01228877109809799e-06,1.17430687578845035e-05,1.56403763552885426e-08,1.25344842926263015e-06,3.97200120935292240e-07,4.62769587408959211e-144,4.62530355750974004e-144,2.37739032723573235e-147,3.62323230828811394e-155,1.11287801867593097e-160,2.51598302485736799e-162,6.03712047269162207e-163,1.08163202894720509e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.18719490529538457e-05,False,4.99303212032066360e-08,1.54875160629407863e-05,4.18719490529538457e-05,3.27285864482653681e-06,2.35601648596915472e-06,6.78877284392458260e-07,2.13658869683821348e-144,2.13547797689833590e-144,1.11071993987758125e-147,1.67281248544370561e-155,5.13767310388897327e-161,1.17566130421130632e-162,2.69157880654453249e-163,-4.34426855147532677e+41
