shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,lp_pass,selected_model,one_mode_status,two_mode_status,refinement_status,farkas_h_dot_y
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,FAIL,FAIL,NOT_RUN,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,FAIL,PASS,FAIL,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-1.37500307528635520e-12
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-1.43838951392118537e-12
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-1.12134684003570196e-10
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-2.23988091794342457e-09
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,FAIL,FAIL,NOT_RUN,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,FAIL,PASS,FAIL,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,FAIL,PASS,FAIL,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-5.38207026823974494e-12
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-1.24903750034883844e-10
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-1.26857863930363770e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,FAIL,PASS,FAIL,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,FAIL,PASS,FAIL,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,FAIL,PASS,FAIL,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-3.35025859376583124e-12
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-1.65813387401856068e-10
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,FAIL,FAIL,NOT_RUN,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-9.72495661369231386e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,2,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-6.07295926874857738e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,3,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-3.51886630743690086e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,4,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-4.49995153637828497e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-1.17180047526003758e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,6,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,FAIL,FAIL,NOT_RUN,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,7,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,FAIL,FAIL,NOT_RUN,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,8,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,FAIL,FAIL,NOT_RUN,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,9,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,FAIL,FAIL,NOT_RUN,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,10,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-2.78754910941074550e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,11,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-8.18508742012554635e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,12,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-6.85314625170751601e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,13,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,FAIL,FAIL,NOT_RUN,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,14,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-1.27201449447548603e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,15,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-9.80770909522298354e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,16,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-1.59453679947844625e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,17,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,,,NOT_RUN,-4.58192854931475379e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,0,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-1.88569193676254399e+00
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,1,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-9.51369739092607469e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.39482269097884906e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,3,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-9.30440870783919537e-03
