shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,model,refinement,combined_error,cone_pass,error_M,error_I,error_U,error_C,error_J_G1,error_J_G2a,minimum_M,minimum_I,minimum_neutral,minimum_U,minimum_C,minimum_J_G1,minimum_J_G2a,minimum_cycling
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.14712095834598093e-05,True,4.99303211726478380e-08,1.52245457034649889e-05,4.14712095834598093e-05,3.52876721836071351e-06,1.20299547521193692e-05,6.46529573885290136e-06,1.28982187532846596e-143,1.28915133244214235e-143,6.70542886323612790e-147,1.00984799907311226e-154,3.56349484204204767e-160,6.87510297069806887e-162,1.90023246875060637e-162,3.47567122449464420e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.21686258143435486e-05,True,2.49670197821384947e-08,7.79062422708931995e-06,2.21686258143435486e-05,3.19186722836192469e-07,6.08463219323392969e-06,3.25262125064180893e-06,1.28967774253182990e-143,1.28901234733569863e-143,6.65395196131265932e-147,1.00974955416167343e-154,3.56337404363957601e-160,6.87500695798404536e-162,1.90021812590776243e-162,3.47551473326438246e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.14879729276988705e-05,True,1.24839746227450462e-08,3.94170867473793236e-06,1.14879729276988705e-05,1.75432068987911104e-08,3.06007434258901827e-06,1.63135637610098083e-06,1.28960566405310881e-143,1.28893890964217603e-143,6.62676603830202768e-147,1.00969009967455752e-154,3.56318654824959342e-160,6.87495811353446591e-162,1.90021088784259635e-162,3.47530895986187172e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,3.74704237811847101e-05,False,4.99303210887478944e-08,1.52245457034593815e-05,3.74704237811847101e-05,3.25108024727247199e-06,1.28345899219059192e-06,3.55316266071278659e-07,1.17357928200111990e-144,1.17296917043910096e-144,6.10111562018934210e-148,9.18836323297885600e-156,3.24229488334971418e-161,6.94327110096310196e-163,1.73876664641401447e-163,-3.17598006555803512e+41
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,1.98952297378283316e-05,True,2.49670201283124958e-08,7.79062422708021773e-06,1.98952297378283316e-05,2.95701580947044610e-07,6.42513840518061240e-07,1.77716543465011518e-07,1.17344813888188408e-144,1.17284271108486843e-144,6.05427797015648665e-148,9.18745455405186080e-156,3.24216482927638102e-161,6.94326059768642684e-163,1.73876594476283477e-163,3.15523719002642319e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.02702295743029086e-05,True,1.24839749912733734e-08,3.94170867474083091e-06,1.02702295743029086e-05,1.71393699532238770e-08,3.21453411313517170e-07,8.88728821205658623e-08,1.17338255633058531e-144,1.17277589181525864e-144,6.02954212358859316e-148,9.18691935818308290e-156,3.24199338865789744e-161,6.94325533641483833e-163,1.73876559376420235e-163,3.15504781153429049e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.44945087842643441e-05,True,4.99303210931666734e-08,1.54875160629384926e-05,4.44945087842643441e-05,3.40879734081744393e-06,1.45127842983405240e-05,7.13337792628426419e-06,1.51582231201896008e-143,1.51503430164065825e-143,7.88010378301824294e-147,1.18679332730134870e-154,3.64499600165137222e-160,7.69798300427374269e-162,2.08363682864376767e-162,3.54709487751534366e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.39066373812420658e-05,True,2.49670196997593591e-08,7.92842818930305976e-06,2.39066373812420658e-05,2.99264760505887307e-07,7.35631471518442565e-06,3.59054836422707076e-06,1.51565292451420926e-143,1.51487107185246356e-143,7.81851218715182442e-147,1.18667899122630871e-154,3.64487448599905213e-160,7.69784429496072032e-162,2.08361829231371611e-162,3.54693009651310532e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.24253351026376404e-05,True,1.24839745507070695e-08,4.01228877108850111e-06,1.24253351026376404e-05,1.56884649111792324e-08,3.70372714763389628e-06,1.80130684711030950e-06,1.51556821656472295e-143,1.51478473401292314e-143,7.78594211106297637e-147,1.18660846938259227e-154,3.64468477994480718e-160,7.69777349917148918e-162,2.08360893087797029e-162,3.54671813769758233e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.28859787000278946e-05,True,4.99303211692830922e-08,1.54875160629315096e-05,4.28859787000278946e-05,3.39923999843407435e-06,1.08378509457156889e-05,3.95095243576349802e-06,1.05513785167780163e-143,1.05458933120078495e-143,5.48520477016677342e-147,8.26105868717550755e-155,2.53721773027825492e-160,5.63905569957124864e-162,1.39024161192445982e-162,2.46686311116709022e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.29798127324218773e-05,True,2.49670197599870644e-08,7.92842818928346450e-06,2.29798127324218773e-05,2.98484271907689286e-07,5.47446391472093263e-06,1.98270247654421631e-06,1.05501994394782138e-143,1.05447570975143715e-143,5.44233191915445379e-147,8.26025770103749494e-155,2.53713257940480556e-160,5.63897939954945271e-162,1.39023481959755524e-162,2.46674671550064368e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.19247871679144876e-05,True,1.24839746154817751e-08,4.01228877110461252e-06,1.19247871679144876e-05,1.56793468358283777e-08,2.75135934991036376e-06,9.93168997798005787e-07,1.05496098020046618e-143,1.05441561146563627e-143,5.41966044912781008e-147,8.25976929311160001e-155,2.53700050065559892e-160,5.63894066042127760e-162,1.39023140476965736e-162,2.46659869088269402e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.22986936381185351e-05,False,4.99303208681399897e-08,1.54875160629427413e-05,4.22986936381185351e-05,3.35839210810839869e-06,4.97878755180355298e-06,1.58533415009247809e-06,4.62847173918912859e-144,4.62606559716493515e-144,2.40614202419343187e-147,3.62379833389793960e-155,1.11297442149537018e-160,2.51600668848737911e-162,6.03713816604600918e-163,-2.65134623191146883e+41
